!!SBtab Document='e_coli_noor_2016_glucose' TableName='Parameter' TableType='Quantity' SBtabVersion='1.0' Date='2019-06-11'						
!QuantityType	!Reaction	!Compound	!Value	!Unit	!Reaction:Identifiers:kegg.reaction	!Compound:Identifiers:kegg.compound
equilibrium constant	PTS_RPTSsy		1.0590251	dimensionless	RPTSsy	
equilibrium constant	PGI_R02740		3.3790663	dimensionless	R02740	
equilibrium constant	PFK_R04779		3.4263123	dimensionless	R04779	
equilibrium constant	ALD_R01070		1.2955873	dimensionless	R01070	
equilibrium constant	TIM_R01015		11.520931	dimensionless	R01015	
equilibrium constant	GAP_R01061		1.1455421	dimensionless	R01061	
equilibrium constant	PGK_R01512		10.891927	dimensionless	R01512	
equilibrium constant	PGM_R01518		2.1582045	dimensionless	R01518	
equilibrium constant	PGH_R00658		0.44734927	dimensionless	R00658	
equilibrium constant	PYK_R00200		9.738756	dimensionless	R00200	
equilibrium constant	PDH_R00209		0.70806704	dimensionless	R00209	
equilibrium constant	ZWF_R00835		571.44972	dimensionless	R00835	
equilibrium constant	GLH_R02035		9.1813162	dimensionless	R02035	
equilibrium constant	PGD_R01528		39.285928	dimensionless	R01528	
equilibrium constant	RPI_R01056		1.8561214	dimensionless	R01056	
equilibrium constant	RPE_R01529		1.4263734	dimensionless	R01529	
equilibrium constant	TXT_R01641		1.1748968	dimensionless	R01641	
equilibrium constant	TAL_R08575		1.0646883	dimensionless	R08575	
equilibrium constant	TXT_R01067		1.249071	dimensionless	R01067	
equilibrium constant	FBP_R00762		0.99999999	dimensionless	R00762	
equilibrium constant	CSN_R00351		72.497833	dimensionless	R00351	
equilibrium constant	ACN_R01325		0.97578929	dimensionless	R01325	
equilibrium constant	ACN_R01900		2.1813473	dimensionless	R01900	
equilibrium constant	ICD_R00709		1.6219685	dimensionless	R00709	
equilibrium constant	KGD_R08549		0.020292027	dimensionless	R08549	
equilibrium constant	SCS_R00405		10.169482	dimensionless	R00405	
equilibrium constant	SDH_R02164		0.23275174	dimensionless	R02164	
equilibrium constant	FUM_R01082		20.098177	dimensionless	R01082	
equilibrium constant	MDH_R00342		0.049996996	dimensionless	R00342	
equilibrium constant	PPC_R00345		0.14181468	dimensionless	R00345	
catalytic rate constant geometric mean	PTS_RPTSsy		202.06178	1/s	RPTSsy	
catalytic rate constant geometric mean	PGI_R02740		229.37181	1/s	R02740	
catalytic rate constant geometric mean	PFK_R04779		246.40709	1/s	R04779	
catalytic rate constant geometric mean	ALD_R01070		210.6757	1/s	R01070	
catalytic rate constant geometric mean	TIM_R01015		254.87338	1/s	R01015	
catalytic rate constant geometric mean	GAP_R01061		205.88363	1/s	R01061	
catalytic rate constant geometric mean	PGK_R01512		250.96726	1/s	R01512	
catalytic rate constant geometric mean	PGM_R01518		220.79152	1/s	R01518	
catalytic rate constant geometric mean	PGH_R00658		185.18817	1/s	R00658	
catalytic rate constant geometric mean	PYK_R00200		226.78675	1/s	R00200	
catalytic rate constant geometric mean	PDH_R00209		185.0445	1/s	R00209	
catalytic rate constant geometric mean	ZWF_R00835		681.4386	1/s	R00835	
catalytic rate constant geometric mean	GLH_R02035		249.59265	1/s	R02035	
catalytic rate constant geometric mean	PGD_R01528		303.07154	1/s	R01528	
catalytic rate constant geometric mean	RPI_R01056		204.71178	1/s	R01056	
catalytic rate constant geometric mean	RPE_R01529		202.62388	1/s	R01529	
catalytic rate constant geometric mean	TXT_R01641		201.3239	1/s	R01641	
catalytic rate constant geometric mean	TAL_R08575		199.69186	1/s	R08575	
catalytic rate constant geometric mean	TXT_R01067		200.83689	1/s	R01067	
catalytic rate constant geometric mean	FBP_R00762		199.93127	1/s	R00762	
catalytic rate constant geometric mean	CSN_R00351		248.09879	1/s	R00351	
catalytic rate constant geometric mean	ACN_R01325		198.64103	1/s	R01325	
catalytic rate constant geometric mean	ACN_R01900		210.37422	1/s	R01900	
catalytic rate constant geometric mean	ICD_R00709		203.15079	1/s	R00709	
catalytic rate constant geometric mean	KGD_R08549		194.79001	1/s	R08549	
catalytic rate constant geometric mean	SCS_R00405		200.48586	1/s	R00405	
catalytic rate constant geometric mean	SDH_R02164		195.635	1/s	R02164	
catalytic rate constant geometric mean	FUM_R01082		252.41672	1/s	R01082	
catalytic rate constant geometric mean	MDH_R00342		188.80096	1/s	R00342	
catalytic rate constant geometric mean	PPC_R00345		216.01349	1/s	R00345	
Michaelis constant	FUM_R01082	_S__Malate	0.10801591	mM	R01082	C00149
Michaelis constant	MDH_R00342	_S__Malate	0.097967361	mM	R00342	C00149
Michaelis constant	PDH_R00209	Acetyl_CoA	0.10356212	mM	R00209	C00024
Michaelis constant	CSN_R00351	Acetyl_CoA	0.09034313	mM	R00351	C00024
Michaelis constant	SDH_R02164	Fumarate	0.10079804	mM	R02164	C00122
Michaelis constant	FUM_R01082	Fumarate	0.090993219	mM	R01082	C00122
Michaelis constant	ACN_R01325	cis_Aconitate	0.10031986	mM	R01325	C00417
Michaelis constant	ACN_R01900	cis_Aconitate	0.098092241	mM	R01900	C00417
Michaelis constant	GLH_R02035	_6_Phospho_D_gluconate	0.10584233	mM	R02035	C00345
Michaelis constant	PGD_R01528	_6_Phospho_D_gluconate	0.087064274	mM	R01528	C00345
Michaelis constant	GAP_R01061	Orthophosphate	0.10117525	mM	R01061	C00009
Michaelis constant	FBP_R00762	Orthophosphate	0.099996443	mM	R00762	C00009
Michaelis constant	SCS_R00405	Orthophosphate	0.099887723	mM	R00405	C00009
Michaelis constant	PPC_R00345	Orthophosphate	0.10162383	mM	R00345	C00009
Michaelis constant	PTS_RPTSsy	Pyruvate	0.099536002	mM	RPTSsy	C00022
Michaelis constant	PYK_R00200	Pyruvate	0.10184203	mM	R00200	C00022
Michaelis constant	PDH_R00209	Pyruvate	0.098070702	mM	R00209	C00022
Michaelis constant	ZWF_R00835	NADPplus	0.055059657	mM	R00835	C00006
Michaelis constant	PGD_R01528	NADPplus	0.081369588	mM	R01528	C00006
Michaelis constant	ZWF_R00835	NADPH	0.08794522	mM	R00835	C00005
Michaelis constant	PGD_R01528	NADPH	0.098318202	mM	R01528	C00005
Michaelis constant	GAP_R01061	NADH	0.098553659	mM	R01061	C00004
Michaelis constant	PDH_R00209	NADH	0.1037199	mM	R00209	C00004
Michaelis constant	ICD_R00709	NADH	0.099825133	mM	R00709	C00004
Michaelis constant	KGD_R08549	NADH	0.10125535	mM	R08549	C00004
Michaelis constant	MDH_R00342	NADH	0.10269647	mM	R00342	C00004
Michaelis constant	GAP_R01061	NADplus	0.1012752	mM	R01061	C00003
Michaelis constant	PDH_R00209	NADplus	0.097042873	mM	R00209	C00003
Michaelis constant	ICD_R00709	NADplus	0.099432835	mM	R00709	C00003
Michaelis constant	KGD_R08549	NADplus	0.098951412	mM	R08549	C00003
Michaelis constant	MDH_R00342	NADplus	0.097871096	mM	R00342	C00003
Michaelis constant	PFK_R04779	ATP	0.10160426	mM	R04779	C00002
Michaelis constant	PGK_R01512	ATP	0.10572118	mM	R01512	C00002
Michaelis constant	PYK_R00200	ATP	0.10361605	mM	R00200	C00002
Michaelis constant	SCS_R00405	ATP	0.10009338	mM	R00405	C00002
Michaelis constant	ICD_R00709	_2_Oxoglutarate	0.10032239	mM	R00709	C00026
Michaelis constant	KGD_R08549	_2_Oxoglutarate	0.099238387	mM	R08549	C00026
Michaelis constant	CSN_R00351	Oxaloacetate	0.090430895	mM	R00351	C00036
Michaelis constant	MDH_R00342	Oxaloacetate	0.10249135	mM	R00342	C00036
Michaelis constant	PPC_R00345	Oxaloacetate	0.10162824	mM	R00345	C00036
Michaelis constant	SDH_R02164	Ubiquinone	0.099573923	mM	R02164	C00399
Michaelis constant	TAL_R08575	D_Erythrose_4_phosphate	0.10000135	mM	R08575	C00279
Michaelis constant	TXT_R01067	D_Erythrose_4_phosphate	0.099976886	mM	R01067	C00279
Michaelis constant	SDH_R02164	Ubiquinol	0.10059867	mM	R02164	C00390
Michaelis constant	PFK_R04779	ADP	0.097134998	mM	R04779	C00008
Michaelis constant	PGK_R01512	ADP	0.093485942	mM	R01512	C00008
Michaelis constant	PYK_R00200	ADP	0.095961055	mM	R00200	C00008
Michaelis constant	SCS_R00405	ADP	0.099887189	mM	R00405	C00008
Michaelis constant	ACN_R01900	Isocitrate	0.098237222	mM	R01900	C00311
Michaelis constant	ICD_R00709	Isocitrate	0.099242776	mM	R00709	C00311
Michaelis constant	PGD_R01528	D_Ribulose_5_phosphate	0.11092092	mM	R01528	C00199
Michaelis constant	RPI_R01056	D_Ribulose_5_phosphate	0.099791976	mM	R01056	C00199
Michaelis constant	RPE_R01529	D_Ribulose_5_phosphate	0.099962763	mM	R01529	C00199
Michaelis constant	RPE_R01529	D_Xylulose_5_phosphate	0.09996628	mM	R01529	C00231
Michaelis constant	TXT_R01641	D_Xylulose_5_phosphate	0.10000648	mM	R01641	C00231
Michaelis constant	TXT_R01067	D_Xylulose_5_phosphate	0.099976808	mM	R01067	C00231
Michaelis constant	PTS_RPTSsy	D_Glucose_6_phosphate	0.099544068	mM	RPTSsy	C00092
Michaelis constant	PGI_R02740	D_Glucose_6_phosphate	0.099018161	mM	R02740	C00092
Michaelis constant	ZWF_R00835	D_Glucose_6_phosphate	0.079800789	mM	R00835	C00092
Michaelis constant	GAP_R01061	_3_Phospho_D_glyceroyl_phosphate	0.098566766	mM	R01061	C00236
Michaelis constant	PGK_R01512	_3_Phospho_D_glyceroyl_phosphate	0.093561708	mM	R01512	C00236
Michaelis constant	PDH_R00209	CoA	0.09712592	mM	R00209	C00010
Michaelis constant	CSN_R00351	CoA	0.10880705	mM	R00351	C00010
Michaelis constant	KGD_R08549	CoA	0.098981005	mM	R08549	C00010
Michaelis constant	SCS_R00405	CoA	0.1000855	mM	R00405	C00010
Michaelis constant	PDH_R00209	CO2	0.10349756	mM	R00209	C00011
Michaelis constant	PGD_R01528	CO2	0.11094429	mM	R01528	C00011
Michaelis constant	ICD_R00709	CO2	0.10043614	mM	R00709	C00011
Michaelis constant	KGD_R08549	CO2	0.10120404	mM	R08549	C00011
Michaelis constant	PPC_R00345	CO2	0.097746389	mM	R00345	C00011
Michaelis constant	RPI_R01056	D_Ribose_5_phosphate	0.10010318	mM	R01056	C00117
Michaelis constant	TXT_R01641	D_Ribose_5_phosphate	0.10001446	mM	R01641	C00117
Michaelis constant	ALD_R01070	Glycerone_phosphate	0.099627943	mM	R01070	C00111
Michaelis constant	TIM_R01015	Glycerone_phosphate	0.092448087	mM	R01015	C00111
Michaelis constant	PTS_RPTSsy	D_Glucose	0.10043766	mM	RPTSsy	C00031
Michaelis constant	PFK_R04779	D_Fructose_1_6_bisphosphate	0.097589114	mM	R04779	C00354
Michaelis constant	ALD_R01070	D_Fructose_1_6_bisphosphate	0.099280533	mM	R01070	C00354
Michaelis constant	FBP_R00762	D_Fructose_1_6_bisphosphate	0.09999644	mM	R00762	C00354
Michaelis constant	ALD_R01070	D_Glyceraldehyde_3_phosphate	0.10040987	mM	R01070	C00118
Michaelis constant	TIM_R01015	D_Glyceraldehyde_3_phosphate	0.10609688	mM	R01015	C00118
Michaelis constant	GAP_R01061	D_Glyceraldehyde_3_phosphate	0.1011737	mM	R01061	C00118
Michaelis constant	TXT_R01641	D_Glyceraldehyde_3_phosphate	0.099925499	mM	R01641	C00118
Michaelis constant	TAL_R08575	D_Glyceraldehyde_3_phosphate	0.10000179	mM	R08575	C00118
Michaelis constant	TXT_R01067	D_Glyceraldehyde_3_phosphate	0.099976559	mM	R01067	C00118
Michaelis constant	PTS_RPTSsy	Phosphoenolpyruvate	0.10011658	mM	RPTSsy	C00074
Michaelis constant	PGH_R00658	Phosphoenolpyruvate	0.10272962	mM	R00658	C00074
