Sample ID,Short Description,Description,Strain,Base medium,Carbon Source,Nitrogen Source,Supplement,Special condition/procedure,Doubling time (min),DDA file name,SWATH file name
Lib-00-A1,Glucose,Glucose minimal medium,NQ1243,M9,0.2% glucose,10 mM NH4Cl,0.4 mM 3MBA,,,CHLUDWIG_K150203_001_IDA_ECOLI_1243_1    ,
Lib-00-A2,Glucose,Technical injection replicate of Lib-00-A1,NQ1243,M9,0.2% glucose,10 mM NH4Cl,0.4 mM 3MBA,,,CHLUDWIG_K150203_003_IDA_ECOLI_1243_2 ,
Lib-00-A3,Glucose,Technical injection replicate of Lib-00-A1,NQ1243,M9,0.2% glucose,10 mM NH4Cl,0.4 mM 3MBA,,,CHLUDWIG_K150203_005_IDA_ECOLI_1243_3,
Lib-00-B1,Glucose,Biological replicate of Lib-00-A,NQ1243,M9,0.2% glucose,10 mM NH4Cl,0.4 mM 3MBA,,,CHLUDWIG_K150203_002_IDA_ECOLI_1390_1,
Lib-00-B2,Glucose,Technical injection replicate of Lib-00-B1,NQ1243,M9,0.2% glucose,10 mM NH4Cl,0.4 mM 3MBA,,,CHLUDWIG_K150203_004_IDA_ECOLI_1390_2,
Lib-00-B3,Glucose,Technical injection replicate of Lib-00-B1,NQ1243,M9,0.2% glucose,10 mM NH4Cl,0.4 mM 3MBA,,,CHLUDWIG_K150203_006_IDA_ECOLI_1390_3,
Lib-01,Hi Temp,High temperature (42 °C),NCM3722,MOPS (Record's),0.2% glucose,10 mM NH4Cl,,"High temperature, 42 °C",47,CHLUDWIG_Y150505_001_IDA_Lib1,CHLUDWIG_Y150510_001_SW_LIB1
Lib-02,Hi Osm 1,High osmolarity,NCM3722,MOPS (Record's),0.2% glucose,10 mM NH4Cl,0.6M NaCl instead of 0.1M,Seed culture: LB with 0.3M NaCl,170,CHLUDWIG_Y150505_002_IDA_Lib2,CHLUDWIG_Y150510_002_SW_LIB2
Lib-03,Hi Osm 2,High osmolarity,NCM3722,MOPS (Record's),0.2% fructose,10 mM NH4Cl,0.4M NaCl instead of 0.1M,Seed culture: LB with 0.3M NaCl,110,CHLUDWIG_Y150505_003_IDA_Lib3,CHLUDWIG_Y150510_003_SW_LIB3
Lib-04,Hi Osm 3,High osmolarity,NCM3722,MOPS (Record's),0.2% sorbitol,10 mM NH4Cl,0.45M NaCl instead of 0.1M,Seed culture: LB with 0.3M NaCl,110,CHLUDWIG_Y150505_004_IDA_Lib4,CHLUDWIG_Y150510_004_SW_LIB4
