!!SBtab TableID='ParameterData' TableType='Quantity'										
!QuantityType	!Compound	!Reaction	!Unit	!Median	!Mean	!Std	!Lower	!Upper	!Compound:Identifiers:kegg.compound	!Reaction:Identifiers:kegg.reaction
catalytic rate constant geometric mean		PTS_RPTSsy	1/s	12.49	13.560068	5.7320446	NaN	NaN		RPTSsy
catalytic rate constant geometric mean		PGI_R02740	1/s	177.2	192.38143	81.322522	NaN	NaN		R02740
catalytic rate constant geometric mean		PFK_R04779	1/s	37.31	40.506496	17.122705	NaN	NaN		R04779
catalytic rate constant geometric mean		ALD_R01070	1/s	200	217.1348	91.786142	NaN	NaN		R01070
catalytic rate constant geometric mean		TIM_R01015	1/s	1055	1145.3861	484.1719	NaN	NaN		R01015
catalytic rate constant geometric mean		GAP_R01061	1/s	172.2	186.95306	79.027869	NaN	NaN		R01061
catalytic rate constant geometric mean		PGK_R01512	1/s	236.4	256.65333	108.49122	NaN	NaN		R01512
catalytic rate constant geometric mean		PGM_R01518	1/s	117.9	128.00096	54.107931	NaN	NaN		R01518
catalytic rate constant geometric mean		PGH_R00658	1/s	87.8	95.322176	40.294117	NaN	NaN		R00658
catalytic rate constant geometric mean		PYK_R00200	1/s	2.321	2.5198493	1.0651782	NaN	NaN		R00200
catalytic rate constant geometric mean		PDH_R00209	1/s	1.735	1.8836444	0.79624479	NaN	NaN		R00209
catalytic rate constant geometric mean		ZWF_R00835	1/s	314.7	341.6616	144.4255	NaN	NaN		R00835
catalytic rate constant geometric mean		GLH_R02035	1/s	5.347	5.8050988	2.4539025	NaN	NaN		R02035
catalytic rate constant geometric mean		PGD_R01528	1/s	52.1	56.563615	23.91029	NaN	NaN		R01528
catalytic rate constant geometric mean		RPI_R01056	1/s	1122	1218.1262	514.92026	NaN	NaN		R01056
catalytic rate constant geometric mean		RPE_R01529	1/s	485.6	527.20329	222.85675	NaN	NaN		R01529
catalytic rate constant geometric mean		TXT_R01641	1/s	177.9	193.1414	81.643774	NaN	NaN		R01641
catalytic rate constant geometric mean		TAL_R08575	1/s	4.792	5.2025497	2.199196	NaN	NaN		R08575
catalytic rate constant geometric mean		TXT_R01067	1/s	124.4	135.05784	57.090981	NaN	NaN		R01067
catalytic rate constant geometric mean		FBP_R00762	1/s	286.2	310.71989	131.34597	NaN	NaN		R00762
catalytic rate constant geometric mean		CSN_R00351	1/s	69.76	75.736617	32.015006	NaN	NaN		R00351
catalytic rate constant geometric mean		ACN_R01325	1/s	24.45	26.544729	11.220856	NaN	NaN		R01325
catalytic rate constant geometric mean		ACN_R01900	1/s	138	149.82301	63.332438	NaN	NaN		R01900
catalytic rate constant geometric mean		ICD_R00709	1/s	56.7	61.557715	26.021371	NaN	NaN		R00709
catalytic rate constant geometric mean		KGD_R08549	1/s	200	217.1348	91.786142	NaN	NaN		R08549
catalytic rate constant geometric mean		SCS_R00405	1/s	95.7	103.899	43.919669	NaN	NaN		R00405
catalytic rate constant geometric mean		SDH_R02164	1/s	82.75	89.839522	37.976516	NaN	NaN		R02164
catalytic rate constant geometric mean		FUM_R01082	1/s	217.2	235.80839	99.679751	NaN	NaN		R01082
catalytic rate constant geometric mean		MDH_R00342	1/s	484.3	525.79191	222.26014	NaN	NaN		R00342
catalytic rate constant geometric mean		PPC_R00345	1/s	2573	2793.4392	1180.8287	NaN	NaN		R00345
Michaelis constant	_S__Malate	FUM_R01082	mM	0.5119	0.55575651	0.23492663	NaN	NaN	C00149	R01082
Michaelis constant	_S__Malate	MDH_R00342	mM	1.859	2.0182679	0.85315219	NaN	NaN	C00149	R00342
Michaelis constant	Acetyl_CoA	PDH_R00209	mM	0.03075	0.033384475	0.014112119	NaN	NaN	C00024	R00209
Michaelis constant	Acetyl_CoA	CSN_R00351	mM	0.01363	0.014797736	0.0062552256	NaN	NaN	C00024	R00351
Michaelis constant	Fumarate	SDH_R02164	mM	0.1056	0.11464717	0.048463083	NaN	NaN	C00122	R02164
Michaelis constant	Fumarate	FUM_R01082	mM	0.2267	0.24612229	0.10403959	NaN	NaN	C00122	R01082
Michaelis constant	cis_Aconitate	ACN_R01325	mM	0.0198	0.021496345	0.0090868281	NaN	NaN	C00417	R01325
Michaelis constant	cis_Aconitate	ACN_R01900	mM	0.01989	0.021594056	0.0091281319	NaN	NaN	C00417	R01900
Michaelis constant	_6_Phospho_D_gluconate	GLH_R02035	mM	0.02447	0.026566442	0.011230035	NaN	NaN	C00345	R02035
Michaelis constant	_6_Phospho_D_gluconate	PGD_R01528	mM	0.01533	0.016643382	0.0070354078	NaN	NaN	C00345	R01528
