!!SBtab TableID='ParameterData' TableType='Quantity'										
!QuantityType	!Compound	!Reaction	!Unit	!Median	!Mean	!Std	!Lower	!Upper	!Compound:Identifiers:kegg.compound	!Reaction:Identifiers:kegg.reaction
Michaelis constant	X1	E1	mM	0.17063889	NaN	NaN	NaN	NaN		
Michaelis constant	S2	E1	mM	0.0077923688	NaN	NaN	NaN	NaN		
Michaelis constant	S2	E2	mM	1.0996165	NaN	NaN	NaN	NaN		
Michaelis constant	X3	E2	mM	0.048319622	NaN	NaN	NaN	NaN		
Michaelis constant	X3	E3	mM	0.16482735	NaN	NaN	NaN	NaN		
Michaelis constant	X4	E3	mM	3.3801274	NaN	NaN	NaN	NaN		
equilibrium constant		E1	dimensionless	0.052572571	NaN	NaN	NaN	NaN		
equilibrium constant		E2	dimensionless	22.684841	NaN	NaN	NaN	NaN		
equilibrium constant		E3	dimensionless	1.7597466	NaN	NaN	NaN	NaN		
substrate catalytic rate constant		E1	1/s	7.8532183	NaN	NaN	NaN	NaN		
substrate catalytic rate constant		E2	1/s	483.63341	NaN	NaN	NaN	NaN		
substrate catalytic rate constant		E3	1/s	6.5859937	NaN	NaN	NaN	NaN		
product catalytic rate constant		E1	1/s	6.8215008	NaN	NaN	NaN	NaN		
product catalytic rate constant		E2	1/s	0.93683442	NaN	NaN	NaN	NaN		
product catalytic rate constant		E3	1/s	76.749395	NaN	NaN	NaN	NaN		
