!!SBtab TableID='ParameterData' TableType='Quantity'										
!QuantityType	!Compound	!Reaction	!Unit	!Median	!Mean	!Std	!Lower	!Upper	!Compound:Identifiers:kegg.compound	!Reaction:Identifiers:kegg.reaction
catalytic rate constant geometric mean		PTS_RPTSsy	1/s	1.984	2.0172508	0.370866	NaN	NaN		RPTSsy
catalytic rate constant geometric mean		PGI_R02740	1/s	182.1	185.1519	34.039667	NaN	NaN		R02740
catalytic rate constant geometric mean		PFK_R04779	1/s	24.07	24.4734	4.4993673	NaN	NaN		R04779
catalytic rate constant geometric mean		ALD_R01070	1/s	200	203.35189	37.385686	NaN	NaN		R01070
catalytic rate constant geometric mean		TIM_R01015	1/s	1057	1074.7148	197.58335	NaN	NaN		R01015
catalytic rate constant geometric mean		GAP_R01061	1/s	172.1	174.9843	32.170382	NaN	NaN		R01061
catalytic rate constant geometric mean		PGK_R01512	1/s	236.4	240.36194	44.18988	NaN	NaN		R01512
catalytic rate constant geometric mean		PGM_R01518	1/s	117.8	119.77427	22.020169	NaN	NaN		R01518
catalytic rate constant geometric mean		PGH_R00658	1/s	87.9	89.373157	16.431009	NaN	NaN		R00658
catalytic rate constant geometric mean		PYK_R00200	1/s	0.01723	0.017518766	0.0032207768	NaN	NaN		R00200
catalytic rate constant geometric mean		PDH_R00209	1/s	17.17	17.45776	3.2095611	NaN	NaN		R00209
catalytic rate constant geometric mean		ZWF_R00835	1/s	314.9	320.17756	58.863762	NaN	NaN		R00835
catalytic rate constant geometric mean		GLH_R02035	1/s	3.485	3.5434067	0.65144557	NaN	NaN		R02035
catalytic rate constant geometric mean		PGD_R01528	1/s	52.02	52.891827	9.7240168	NaN	NaN		R01528
catalytic rate constant geometric mean		RPI_R01056	1/s	1124	1142.8376	210.10755	NaN	NaN		R01056
catalytic rate constant geometric mean		RPE_R01529	1/s	486.1	494.24678	90.865909	NaN	NaN		R01529
catalytic rate constant geometric mean		TXT_R01641	1/s	177.5	180.47481	33.179796	NaN	NaN		R01641
catalytic rate constant geometric mean		TAL_R08575	1/s	4.794	4.8743449	0.89613488	NaN	NaN		R08575
catalytic rate constant geometric mean		TXT_R01067	1/s	124.3	126.3832	23.235204	NaN	NaN		R01067
catalytic rate constant geometric mean		FBP_R00762	1/s	1903	1934.8933	355.7248	NaN	NaN		R00762
catalytic rate constant geometric mean		CSN_R00351	1/s	69.68	70.8478	13.025173	NaN	NaN		R00351
catalytic rate constant geometric mean		ACN_R01325	1/s	24.4	24.808931	4.5610536	NaN	NaN		R01325
catalytic rate constant geometric mean		ACN_R01900	1/s	137.9	140.21113	25.77743	NaN	NaN		R01900
catalytic rate constant geometric mean		ICD_R00709	1/s	56.63	57.579089	10.585757	NaN	NaN		R00709
catalytic rate constant geometric mean		KGD_R08549	1/s	200	203.35189	37.385686	NaN	NaN		R08549
catalytic rate constant geometric mean		SCS_R00405	1/s	95.62	97.22254	17.874096	NaN	NaN		R00405
catalytic rate constant geometric mean		SDH_R02164	1/s	82.67	84.055505	15.453373	NaN	NaN		R02164
catalytic rate constant geometric mean		FUM_R01082	1/s	217.2	220.84016	40.600855	NaN	NaN		R01082
catalytic rate constant geometric mean		MDH_R00342	1/s	484.7	492.82331	90.604209	NaN	NaN		R00342
catalytic rate constant geometric mean		PPC_R00345	1/s	7072	7190.5229	1321.9578	NaN	NaN		R00345
Michaelis constant	_S__Malate	FUM_R01082	mM	0.5105	0.51905571	0.095426963	NaN	NaN	C00149	R01082
Michaelis constant	_S__Malate	MDH_R00342	mM	1.851	1.8820218	0.34600452	NaN	NaN	C00149	R00342
Michaelis constant	Acetyl_CoA	PDH_R00209	mM	0.03126	0.031783901	0.0058433827	NaN	NaN	C00024	R00209
Michaelis constant	Acetyl_CoA	CSN_R00351	mM	0.02941	0.029902896	0.0054975651	NaN	NaN	C00024	R00351
Michaelis constant	Fumarate	SDH_R02164	mM	0.1068	0.10858991	0.019963956	NaN	NaN	C00122	R02164
Michaelis constant	Fumarate	FUM_R01082	mM	0.2265	0.23029602	0.042339289	NaN	NaN	C00122	R01082
Michaelis constant	cis_Aconitate	ACN_R01325	mM	0.01985	0.020182675	0.0037105293	NaN	NaN	C00417	R01325
Michaelis constant	cis_Aconitate	ACN_R01900	mM	0.01993	0.020264016	0.0037254836	NaN	NaN	C00417	R01900
Michaelis constant	_6_Phospho_D_gluconate	GLH_R02035	mM	0.0206	0.020945245	0.0038507256	NaN	NaN	C00345	R02035
Michaelis constant	_6_Phospho_D_gluconate	PGD_R01528	mM	0.01536	0.015617425	0.0028712207	NaN	NaN	C00345	R01528
Michaelis constant	Orthophosphate	GAP_R01061	mM	4.714	4.7930041	0.88118061	NaN	NaN	C00009	R01061
Michaelis constant	Orthophosphate	FBP_R00762	mM	9.647	9.8086786	1.8032985	NaN	NaN	C00009	R00762
Michaelis constant	Orthophosphate	SCS_R00405	mM	1.616	1.6430833	0.30207634	NaN	NaN	C00009	R00405
Michaelis constant	Orthophosphate	PPC_R00345	mM	15.83	16.095302	2.959077	NaN	NaN	C00009	R00345
Michaelis constant	Pyruvate	PTS_RPTSsy	mM	19.28	19.603122	3.6039801	NaN	NaN	C00022	RPTSsy
Michaelis constant	Pyruvate	PYK_R00200	mM	0.324	0.32943007	0.060564811	NaN	NaN	C00022	R00200
Michaelis constant	Pyruvate	PDH_R00209	mM	0.009909	0.01007507	0.0018522738	NaN	NaN	C00022	R00209
Michaelis constant	NADPplus	ZWF_R00835	mM	4.04	4.1077082	0.75519085	NaN	NaN	C00006	R00835
Michaelis constant	NADPplus	PGD_R01528	mM	0.01448	0.014722677	0.0027067236	NaN	NaN	C00006	R01528
Michaelis constant	NADPH	ZWF_R00835	mM	11.75	11.946924	2.196409	NaN	NaN	C00005	R00835
Michaelis constant	NADPH	PGD_R01528	mM	0.0007885	0.00080171484	0.00014739307	NaN	NaN	C00005	R01528
Michaelis constant	NADH	GAP_R01061	mM	12.12	12.323125	2.2655725	NaN	NaN	C00004	R01061
Michaelis constant	NADH	PDH_R00209	mM	11.78	11.977427	2.2020169	NaN	NaN	C00004	R00209
Michaelis constant	NADH	ICD_R00709	mM	1.718	1.7467928	0.32114304	NaN	NaN	C00004	R00709
Michaelis constant	NADH	KGD_R08549	mM	2.003	2.0365692	0.37441764	NaN	NaN	C00004	R08549
Michaelis constant	NADH	MDH_R00342	mM	0.008763	0.0089098632	0.0016380538	NaN	NaN	C00004	R00342
Michaelis constant	NADplus	GAP_R01061	mM	0.4281	0.43527473	0.08002406	NaN	NaN	C00003	R01061
Michaelis constant	NADplus	PDH_R00209	mM	0.04044	0.041117753	0.0075593856	NaN	NaN	C00003	R00209
Michaelis constant	NADplus	ICD_R00709	mM	0.07923	0.080557852	0.014810339	NaN	NaN	C00003	R00709
Michaelis constant	NADplus	KGD_R08549	mM	0.004993	0.00507668	0.00093333364	NaN	NaN	C00003	R08549
Michaelis constant	NADplus	MDH_R00342	mM	0.3983	0.40497529	0.074453593	NaN	NaN	C00003	R00342
