!!!SBtab CalculationTime='10.4881'					
!!SBtab Document='small_model' TableName='Reaction' TableType='Reaction' SBtabVersion='1.0' Date='2019-06-10'					
!ID	!ReactionFormula	!Name	!IsReversible	!KineticLaw:Name	!KineticLaw:Formula
E1	X1 <=> S2	E1	True	Common saturable (CM)	u_R1 * ( kC_R1 * sqrt( kEQ_R1  * kM_R1_X1 / kM_R1_S2 ) * ( X1 / kM_R1_X1 ) - kC_R1 / sqrt( kEQ_R1  * kM_R1_X1 / kM_R1_S2 ) * ( S2 / kM_R1_S2 ) ) / ( ( 1 + X1 / kM_R1_X1 ) + ( 1 + S2 / kM_R1_S2 ) - 1 )
E2	X3 <=> S4	E2	True	Common saturable (CM)	u_R2 * ( kC_R2 * sqrt( kEQ_R2  * kM_R2_X3 / kM_R2_S4 ) * ( X3 / kM_R2_X3 ) - kC_R2 / sqrt( kEQ_R2  * kM_R2_X3 / kM_R2_S4 ) * ( S4 / kM_R2_S4 ) ) / ( ( 1 + X3 / kM_R2_X3 ) + ( 1 + S4 / kM_R2_S4 ) - 1 )
E3	S2 + S4 <=> S5	E3	True	Common saturable (CM)	u_R3 * ( kC_R3 * sqrt( kEQ_R3  * kM_R3_S2 * kM_R3_S4 / kM_R3_S5 ) * ( S2 / kM_R3_S2 ) * ( S4 / kM_R3_S4 ) - kC_R3 / sqrt( kEQ_R3  * kM_R3_S2 * kM_R3_S4 / kM_R3_S5 ) * ( S5 / kM_R3_S5 ) ) / ( ( 1 + S2 / kM_R3_S2 ) * ( 1 + S4 / kM_R3_S4 ) + ( 1 + S5 / kM_R3_S5 ) - 1 )
E4	S5 <=> X6	E4	True	Common saturable (CM)	u_R4 * ( kC_R4 * sqrt( kEQ_R4  * kM_R4_S5 / kM_R4_X6 ) * ( S5 / kM_R4_S5 ) - kC_R4 / sqrt( kEQ_R4  * kM_R4_S5 / kM_R4_X6 ) * ( X6 / kM_R4_X6 ) ) / ( ( 1 + S5 / kM_R4_S5 ) + ( 1 + X6 / kM_R4_X6 ) - 1 )
E5	S5 <=> X7	E5	True	Common saturable (CM)	u_R5 * ( kC_R5 * sqrt( kEQ_R5  * kM_R5_S5 / kM_R5_X7 ) * ( S5 / kM_R5_S5 ) - kC_R5 / sqrt( kEQ_R5  * kM_R5_S5 / kM_R5_X7 ) * ( X7 / kM_R5_X7 ) ) / ( ( 1 + S5 / kM_R5_S5 ) + ( 1 + X7 / kM_R5_X7 ) - 1 )
%					
!!SBtab Document='small_model' TableName='Compound' TableType='Compound' SBtabVersion='1.0' Date='2019-06-10'					
!ID	!Name	!IsConstant			
X1	X1	True			
S2	S2	False			
X3	X3	True			
S4	S4	False			
S5	S5	False			
X6	X6	True			
X7	X7	True			
%					
!!SBtab Document='small_model' TableName='Parameter' TableType='Quantity' SBtabVersion='1.0' Date='2019-06-10'					
!QuantityType	!Reaction	!Compound	!Mode	!Unit	
equilibrium constant	E1		0.05322758	dimensionless	
equilibrium constant	E2		1.760469	dimensionless	
equilibrium constant	E3		4.3551954	dimensionless	
equilibrium constant	E4		0.64460454	dimensionless	
equilibrium constant	E5		0.63082446	dimensionless	
catalytic rate constant geometric mean	E1		266.14096	1/s	
catalytic rate constant geometric mean	E2		145.87347	1/s	
catalytic rate constant geometric mean	E3		512.63139	1/s	
catalytic rate constant geometric mean	E4		50.771523	1/s	
catalytic rate constant geometric mean	E5		724.38615	1/s	
Michaelis constant	E1	X1	0.0088336788	mM	
Michaelis constant	E1	S2	0.012932638	mM	
Michaelis constant	E3	S2	2.6270501	mM	
Michaelis constant	E2	X3	1.7344756	mM	
Michaelis constant	E2	S4	0.011077201	mM	
Michaelis constant	E3	S4	0.062246943	mM	
Michaelis constant	E3	S5	0.35696389	mM	
Michaelis constant	E4	S5	0.44571505	mM	
Michaelis constant	E5	S5	0.045454075	mM	
Michaelis constant	E4	X6	0.26407668	mM	
Michaelis constant	E5	X7	0.015196548	mM	
substrate catalytic rate constant	E1		50.746644	1/s	
substrate catalytic rate constant	E2		2421.9188	1/s	
substrate catalytic rate constant	E3		724.08586	1/s	
substrate catalytic rate constant	E4		52.957869	1/s	
substrate catalytic rate constant	E5		995.03494	1/s	
product catalytic rate constant	E1		1395.7772	1/s	
product catalytic rate constant	E2		8.786037	1/s	
product catalytic rate constant	E3		362.92787	1/s	
product catalytic rate constant	E4		48.675441	1/s	
product catalytic rate constant	E5		527.35363	1/s	
concentration of enzyme	E1		0.00076862472	mM	
concentration of enzyme	E2		0.0016143326	mM	
concentration of enzyme	E3		0.00073526349	mM	
concentration of enzyme	E4		0.00063768594	mM	
concentration of enzyme	E5		0.00070975068	mM	
