,,,Catabolic titration - mean absolute concentration [mM],,,,,,,,,,,Anabolic titration - mean absolute concentration [mM],,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,strain,NCM3722,NCM3722,NQ1243,NQ1243,NQ1243,NQ1390,NQ1390,NQ1390,,,,NCM3722,NCM3722,NQ393,NQ393,NQ393,NQ393,NQ393,NQ393,
,,effector concentration [microM],0,400,400,100,0,400,100,40,3-MBA,,,0,100,100,50,40,30,20,10,IPTG
,,growth rate [h-1],0.9,0.9,0.85,0.7,0.57,0.47,0.39,0.36,,,,0.91,0.85,0.85,0.74,0.5,0.45,0.31,0.2,
Name,Comments,KEGG-ID,,,,,,,,,,,,,,,,,,,,
G6P,,C00092,1.25,1.16,0.94,1.12,1.52,1.16,1.06,1.07,,,,1.20,1.06,1.11,0.90,0.95,1.06,1.02,0.99,
F6P,,C00085,0.47,0.76,0.44,0.31,0.39,0.44,0.50,0.43,,,,0.59,0.49,0.80,0.57,0.68,0.77,0.89,0.76,
FBP,,C00354,2.44,2.79,2.70,1.98,1.56,1.77,1.14,0.54,,,,3.13,2.43,3.97,2.19,1.77,2.23,1.53,1.09,
DHAP,,C00111,1.01,1.17,1.15,0.74,0.70,0.75,0.60,0.34,,,,1.23,0.98,1.13,1.04,0.89,0.96,0.74,0.63,
xPG,pool of 3-phosphoglycerate (3PG) and 2-phosphoglycerate (2PG),C00197 (3PG); C00631 (2PG),0.85,1.03,1.04,0.94,1.32,1.27,1.52,1.72,,,,1.15,0.92,1.06,0.75,0.59,0.63,0.47,0.43,
PEP,,C00074,0.10,0.14,0.15,0.11,0.22,0.25,0.37,0.45,,,,0.16,0.14,0.16,0.12,0.10,0.11,0.08,0.07,
6PG,,C00345,2.24,1.88,1.68,2.02,2.18,1.15,1.15,1.24,,,,2.55,1.83,1.79,0.06,0.03,0.03,0.03,0.04,
R5P,,C00117,0.17,0.16,0.14,0.13,0.16,0.12,0.11,0.13,,,,0.17,0.15,0.17,0.08,0.06,0.08,0.08,0.08,
Ru5P,,C00199                      ,0.26,0.31,0.25,0.20,0.25,0.20,0.18,0.21,,,,0.28,0.24,0.30,0.12,0.12,0.13,0.14,0.11,
Xu5P,,C00231                      ,0.16,0.15,0.12,0.09,0.18,0.12,0.13,0.12,,,,0.15,0.15,0.15,0.05,0.04,0.08,0.06,0.07,
R1P,,C00620                      ,0.01,0.02,0.01,0.00,0.01,0.01,0.01,0.01,,,,0.03,0.02,0.03,0.02,0.03,0.03,0.02,0.02,
S7P,,C05382                      ,0.23,0.29,0.18,0.16,0.23,0.17,0.20,0.30,,,,0.26,0.18,NaN,0.10,0.09,0.13,0.13,0.10,
AcCoA,,C00024,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
citrate/isocitrate,pool of citrate (CIT) and isocitrate (ICIT),C00158 (CIT); C00311 (ICIT),0.63,0.67,0.64,0.54,0.44,0.41,0.31,0.23,,,,0.74,0.67,0.74,0.88,0.93,1.09,1.10,1.19,
aconitate,,C00417,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,,,,0.01,0.01,0.03,0.03,0.03,0.04,0.05,0.10,
