!!SBtab TableID='Parameter' TableType='Quantity' TableName='Parameter' StandardConcentration='mM'						
!QuantityType	!Reaction	!Compound	!Mode	!Unit	!Reaction:Identifiers:kegg.reaction	!Compound:Identifiers:kegg.compound
equilibrium constant	PTS_RPTSsy		56620000	dimensionless	RPTSsy	
equilibrium constant	PGI_R02740		0.3637	dimensionless	R02740	
equilibrium constant	PFK_R04779		1753	dimensionless	R04779	
equilibrium constant	ALD_R01070		0.1889	dimensionless	R01070	
equilibrium constant	TIM_R01015		0.2992	dimensionless	R01015	
equilibrium constant	GAP_R01061		0.0007102	dimensionless	R01061	
equilibrium constant	PGK_R01512		1183	dimensionless	R01512	
equilibrium constant	PGM_R01518		0.2762	dimensionless	R01518	
equilibrium constant	PGH_R00658		5.178	dimensionless	R00658	
equilibrium constant	PYK_R00200		13970	dimensionless	R00200	
equilibrium constant	PDH_R00209		1663000	dimensionless	R00209	
equilibrium constant	ZWF_R00835		7.557	dimensionless	R00835	
equilibrium constant	GLH_R02035		16990	dimensionless	R02035	
equilibrium constant	PGD_R01528		10.57	dimensionless	R01528	
equilibrium constant	RPI_R01056		1.954	dimensionless	R01056	
equilibrium constant	RPE_R01529		3.889	dimensionless	R01529	
equilibrium constant	TXT_R01641		4.743	dimensionless	R01641	
equilibrium constant	TAL_R08575		1.303	dimensionless	R08575	
equilibrium constant	TXT_R01067		59.58	dimensionless	R01067	
equilibrium constant	FBP_R00762		48630	dimensionless	R00762	
equilibrium constant	CSN_R00351		1444000	dimensionless	R00351	
equilibrium constant	ACN_R01325		0.02944	dimensionless	R01325	
equilibrium constant	ACN_R01900		1.569	dimensionless	R01900	
equilibrium constant	ICD_R00709		99.55	dimensionless	R00709	
equilibrium constant	KGD_R08549		91950	dimensionless	R08549	
equilibrium constant	SCS_R00405		0.9479	dimensionless	R00405	
equilibrium constant	SDH_R02164		5922	dimensionless	R02164	
equilibrium constant	FUM_R01082		5.053	dimensionless	R01082	
equilibrium constant	MDH_R00342		6.072e-05	dimensionless	R00342	
equilibrium constant	PPC_R00345		3.774e-07	dimensionless	R00345	
catalytic rate constant geometric mean	PTS_RPTSsy		12.49	1/s	RPTSsy	
catalytic rate constant geometric mean	PGI_R02740		177.2	1/s	R02740	
catalytic rate constant geometric mean	PFK_R04779		37.31	1/s	R04779	
catalytic rate constant geometric mean	ALD_R01070		200	1/s	R01070	
catalytic rate constant geometric mean	TIM_R01015		1055	1/s	R01015	
catalytic rate constant geometric mean	GAP_R01061		172.2	1/s	R01061	
catalytic rate constant geometric mean	PGK_R01512		236.4	1/s	R01512	
catalytic rate constant geometric mean	PGM_R01518		117.9	1/s	R01518	
catalytic rate constant geometric mean	PGH_R00658		87.8	1/s	R00658	
catalytic rate constant geometric mean	PYK_R00200		2.321	1/s	R00200	
catalytic rate constant geometric mean	PDH_R00209		1.735	1/s	R00209	
catalytic rate constant geometric mean	ZWF_R00835		314.7	1/s	R00835	
catalytic rate constant geometric mean	GLH_R02035		5.347	1/s	R02035	
catalytic rate constant geometric mean	PGD_R01528		52.1	1/s	R01528	
catalytic rate constant geometric mean	RPI_R01056		1122	1/s	R01056	
catalytic rate constant geometric mean	RPE_R01529		485.6	1/s	R01529	
catalytic rate constant geometric mean	TXT_R01641		177.9	1/s	R01641	
catalytic rate constant geometric mean	TAL_R08575		4.792	1/s	R08575	
catalytic rate constant geometric mean	TXT_R01067		124.4	1/s	R01067	
catalytic rate constant geometric mean	FBP_R00762		286.2	1/s	R00762	
catalytic rate constant geometric mean	CSN_R00351		69.76	1/s	R00351	
catalytic rate constant geometric mean	ACN_R01325		24.45	1/s	R01325	
