!!SBtab TableID='ParameterData' TableType='Quantity'										
!QuantityType	!Compound	!Reaction	!Unit	!Median	!Mean	!Std	!Lower	!Upper	!Compound:Identifiers:kegg.compound	!Reaction:Identifiers:kegg.reaction
catalytic rate constant geometric mean		PTS_RPTSsy	1/s	12.49	12.699326	2.3347361	NaN	NaN		RPTSsy
catalytic rate constant geometric mean		PGI_R02740	1/s	177.2	180.16978	33.123717	NaN	NaN		R02740
catalytic rate constant geometric mean		PFK_R04779	1/s	37.31	37.935296	6.9742997	NaN	NaN		R04779
catalytic rate constant geometric mean		ALD_R01070	1/s	200	203.35189	37.385686	NaN	NaN		R01070
catalytic rate constant geometric mean		TIM_R01015	1/s	1055	1072.6812	197.20949	NaN	NaN		R01015
catalytic rate constant geometric mean		GAP_R01061	1/s	172.2	175.08598	32.189075	NaN	NaN		R01061
catalytic rate constant geometric mean		PGK_R01512	1/s	236.4	240.36194	44.18988	NaN	NaN		R01512
catalytic rate constant geometric mean		PGM_R01518	1/s	117.9	119.87594	22.038862	NaN	NaN		R01518
catalytic rate constant geometric mean		PGH_R00658	1/s	87.8	89.271481	16.412316	NaN	NaN		R00658
catalytic rate constant geometric mean		PYK_R00200	1/s	2.321	2.3598987	0.43386088	NaN	NaN		R00200
catalytic rate constant geometric mean		PDH_R00209	1/s	1.735	1.7640777	0.32432082	NaN	NaN		R00209
catalytic rate constant geometric mean		ZWF_R00835	1/s	314.7	319.9742	58.826376	NaN	NaN		R00835
catalytic rate constant geometric mean		GLH_R02035	1/s	5.347	5.4366129	0.99950631	NaN	NaN		R02035
catalytic rate constant geometric mean		PGD_R01528	1/s	52.1	52.973168	9.7389711	NaN	NaN		R01528
catalytic rate constant geometric mean		RPI_R01056	1/s	1122	1140.8041	209.7337	NaN	NaN		R01056
catalytic rate constant geometric mean		RPE_R01529	1/s	485.6	493.7384	90.772445	NaN	NaN		R01529
catalytic rate constant geometric mean		TXT_R01641	1/s	177.9	180.88151	33.254567	NaN	NaN		R01641
catalytic rate constant geometric mean		TAL_R08575	1/s	4.792	4.8723114	0.89576103	NaN	NaN		R08575
catalytic rate constant geometric mean		TXT_R01067	1/s	124.4	126.48488	23.253896	NaN	NaN		R01067
catalytic rate constant geometric mean		FBP_R00762	1/s	286.2	290.99656	53.498916	NaN	NaN		R00762
catalytic rate constant geometric mean		CSN_R00351	1/s	69.76	70.92914	13.040127	NaN	NaN		R00351
catalytic rate constant geometric mean		ACN_R01325	1/s	24.45	24.859769	4.5704001	NaN	NaN		R01325
catalytic rate constant geometric mean		ACN_R01900	1/s	138	140.31281	25.796123	NaN	NaN		R01900
catalytic rate constant geometric mean		ICD_R00709	1/s	56.7	57.650262	10.598842	NaN	NaN		R00709
catalytic rate constant geometric mean		KGD_R08549	1/s	200	203.35189	37.385686	NaN	NaN		R08549
catalytic rate constant geometric mean		SCS_R00405	1/s	95.7	97.303881	17.889051	NaN	NaN		R00405
catalytic rate constant geometric mean		SDH_R02164	1/s	82.75	84.136846	15.468327	NaN	NaN		R02164
catalytic rate constant geometric mean		FUM_R01082	1/s	217.2	220.84016	40.600855	NaN	NaN		R01082
catalytic rate constant geometric mean		MDH_R00342	1/s	484.3	492.41661	90.529438	NaN	NaN		R00342
catalytic rate constant geometric mean		PPC_R00345	1/s	2573	2616.1221	480.96685	NaN	NaN		R00345
Michaelis constant	_S__Malate	FUM_R01082	mM	0.5119	0.52047917	0.095688662	NaN	NaN	C00149	R01082
Michaelis constant	_S__Malate	MDH_R00342	mM	1.859	1.8901558	0.34749995	NaN	NaN	C00149	R00342
Michaelis constant	Acetyl_CoA	PDH_R00209	mM	0.03075	0.031265354	0.0057480492	NaN	NaN	C00024	R00209
Michaelis constant	Acetyl_CoA	CSN_R00351	mM	0.01363	0.013858432	0.0025478345	NaN	NaN	C00024	R00351
Michaelis constant	Fumarate	SDH_R02164	mM	0.1056	0.1073698	0.019739642	NaN	NaN	C00122	R02164
Michaelis constant	Fumarate	FUM_R01082	mM	0.2267	0.23049937	0.042376675	NaN	NaN	C00122	R01082
Michaelis constant	cis_Aconitate	ACN_R01325	mM	0.0198	0.020131837	0.0037011829	NaN	NaN	C00417	R01325
Michaelis constant	cis_Aconitate	ACN_R01900	mM	0.01989	0.020223346	0.0037180064	NaN	NaN	C00417	R01900
Michaelis constant	_6_Phospho_D_gluconate	GLH_R02035	mM	0.02447	0.024880104	0.0045741386	NaN	NaN	C00345	R02035
Michaelis constant	_6_Phospho_D_gluconate	PGD_R01528	mM	0.01533	0.015586923	0.0028656128	NaN	NaN	C00345	R01528
Michaelis constant	Orthophosphate	GAP_R01061	mM	2.004	2.037586	0.37460457	NaN	NaN	C00009	R01061
Michaelis constant	Orthophosphate	FBP_R00762	mM	2.099	2.1341781	0.39236277	NaN	NaN	C00009	R00762
Michaelis constant	Orthophosphate	SCS_R00405	mM	1.623	1.6502006	0.30338484	NaN	NaN	C00009	R00405
Michaelis constant	Orthophosphate	PPC_R00345	mM	44.71	45.459316	8.35757	NaN	NaN	C00009	R00345
Michaelis constant	Pyruvate	PTS_RPTSsy	mM	7.843	7.9744445	1.4660797	NaN	NaN	C00022	RPTSsy
Michaelis constant	Pyruvate	PYK_R00200	mM	0.4935	0.5017708	0.092249179	NaN	NaN	C00022	R00200
Michaelis constant	Pyruvate	PDH_R00209	mM	0.01002	0.01018793	0.0018730228	NaN	NaN	C00022	R00209
Michaelis constant	NADPplus	ZWF_R00835	mM	0.004125	0.0041941328	0.00077107977	NaN	NaN	C00006	R00835
Michaelis constant	NADPplus	PGD_R01528	mM	0.01445	0.014692174	0.0027011158	NaN	NaN	C00006	R01528
Michaelis constant	NADPH	ZWF_R00835	mM	0.01202	0.012221449	0.0022468797	NaN	NaN	C00005	R00835
Michaelis constant	NADPH	PGD_R01528	mM	0.0007822	0.00079530925	0.00014621542	NaN	NaN	C00005	R01528
Michaelis constant	NADH	GAP_R01061	mM	0.02932	0.029811388	0.0054807415	NaN	NaN	C00004	R01061
Michaelis constant	NADH	PDH_R00209	mM	0.3977	0.40436524	0.074341436	NaN	NaN	C00004	R00209
Michaelis constant	NADH	ICD_R00709	mM	1.737	1.7661112	0.32469468	NaN	NaN	C00004	R00709
Michaelis constant	NADH	KGD_R08549	mM	1.292	1.3136532	0.24151153	NaN	NaN	C00004	R08549
Michaelis constant	NADH	MDH_R00342	mM	0.00873	0.0088763101	0.0016318852	NaN	NaN	C00004	R00342
Michaelis constant	NADplus	GAP_R01061	mM	0.1813	0.18433849	0.033890124	NaN	NaN	C00003	R01061
Michaelis constant	NADplus	PDH_R00209	mM	0.04098	0.041666803	0.007660327	NaN	NaN	C00003	R00209
Michaelis constant	NADplus	ICD_R00709	mM	0.07954	0.080873048	0.014868287	NaN	NaN	C00003	R00709
Michaelis constant	NADplus	KGD_R08549	mM	0.007739	0.0078687015	0.0014466391	NaN	NaN	C00003	R08549
Michaelis constant	NADplus	MDH_R00342	mM	0.3992	0.40589038	0.074621829	NaN	NaN	C00003	R00342
Michaelis constant	ATP	PFK_R04779	mM	0.1193	0.1212994	0.022300561	NaN	NaN	C00002	R04779
Michaelis constant	ATP	PGK_R01512	mM	0.7602	0.77294055	0.14210299	NaN	NaN	C00002	R01512
Michaelis constant	ATP	PYK_R00200	mM	0.3982	0.40487362	0.0744349	NaN	NaN	C00002	R00200
Michaelis constant	ATP	SCS_R00405	mM	0.05547	0.056399648	0.01036892	NaN	NaN	C00002	R00405
Michaelis constant	_2_Oxoglutarate	ICD_R00709	mM	1.737	1.7661112	0.32469468	NaN	NaN	C00026	R00709
Michaelis constant	_2_Oxoglutarate	KGD_R08549	mM	3.946	4.0121328	0.73761958	NaN	NaN	C00026	R08549
Michaelis constant	Oxaloacetate	CSN_R00351	mM	0.009101	0.0092535279	0.0017012356	NaN	NaN	C00036	R00351
