!!!SBtab				
!!SBtab Document='small_model' TableName='Reaction' TableType='Reaction' SBtabVersion='1.0' Date='2019-06-11'				
!ID	!ReactionFormula	!Name	!IsReversible	
E1	X1 <=> S2	E1	True	
E2	X3 <=> S4	E2	True	
E3	S2 + S4 <=> S5	E3	True	
E4	S5 <=> X6	E4	True	
E5	S5 <=> X7	E5	True	
%				
!!SBtab Document='small_model' TableName='Compound' TableType='Compound' SBtabVersion='1.0' Date='2019-06-11'				
!ID	!Name	!IsConstant		
X1	X1	True		
S2	S2	False		
X3	X3	True		
S4	S4	False		
S5	S5	False		
X6	X6	True		
X7	X7	True		
%				
!!SBtab Document='small_model' TableName='Parameter' TableType='Quantity' SBtabVersion='1.0' Date='2019-06-11'				
!QuantityType	!Reaction	!Compound	!Mode	!Unit
equilibrium constant	E1		0.094566593	dimensionless
equilibrium constant	E2		2.100513	dimensionless
equilibrium constant	E3		5.6850819	dimensionless
equilibrium constant	E4		0.50054978	dimensionless
equilibrium constant	E5		0.50997704	dimensionless
catalytic rate constant geometric mean	E1		38.164242	1/s
catalytic rate constant geometric mean	E2		122.91042	1/s
catalytic rate constant geometric mean	E3		253.47386	1/s
catalytic rate constant geometric mean	E4		37.40218	1/s
catalytic rate constant geometric mean	E5		9587.5703	1/s
Michaelis constant	E1	X1	0.12725926	mM
Michaelis constant	E1	S2	0.0056607001	mM
Michaelis constant	E3	S2	1.9407058	mM
Michaelis constant	E2	X3	0.83975018	mM
Michaelis constant	E2	S4	0.0049038645	mM
Michaelis constant	E3	S4	0.058860919	mM
Michaelis constant	E3	S5	0.14306978	mM
Michaelis constant	E4	S5	0.31046581	mM
Michaelis constant	E5	S5	0.36394465	mM
Michaelis constant	E4	X6	0.26436834	mM
Michaelis constant	E5	X7	0.31629682	mM
substrate catalytic rate constant	E1		55.646152	1/s
substrate catalytic rate constant	E2		2331.0801	1/s
substrate catalytic rate constant	E3		540.03381	1/s
substrate catalytic rate constant	E4		28.676274	1/s
substrate catalytic rate constant	E5		7344.3631	1/s
product catalytic rate constant	E1		26.174486	1/s
product catalytic rate constant	E2		6.4806741	1/s
product catalytic rate constant	E3		118.97217	1/s
product catalytic rate constant	E4		48.783293	1/s
product catalytic rate constant	E5		12515.926	1/s
