!!!SBtab DocumentName='CMB result' Document='CMBresult' CalculationTime='206.457880 s'					
					
!!SBtab TableName='Metabolic fluxes' TableID='Flux' TableType='QuantityMatrix' Unit='mM/s'					
!QuantityType	!Reaction	S1	S2	S3	S4
rate of reaction	PTS_RPTSsy	-0.00062087198	-0.0011198689	-0.0022037453	-0.00024752416
rate of reaction	PGI_R02740	0.084950269	0.20119786	0.17701251	0.13767467
rate of reaction	PFK_R04779	-0.00046572886	-0.00045932471	-3.5667498e-05	-0.00018978683
rate of reaction	ALD_R01070	-0.012291876	-0.0054829808	-0.0067685035	-0.0021169129
rate of reaction	TIM_R01015	-0.012291876	-0.0054829808	-0.0067685035	-0.0021169129
rate of reaction	GAP_R01061	-3.0063511e-06	-5.668636e-06	-1.4066715e-05	-7.1779785e-06
rate of reaction	PGK_R01512	-3.006338e-06	-5.6686355e-06	-1.4066715e-05	-7.1783921e-06
rate of reaction	PGM_R01518	-3.0063363e-06	-5.6686373e-06	-1.4066715e-05	-7.178501e-06
rate of reaction	PGH_R00658	-3.0063362e-06	-5.6686375e-06	-1.4066715e-05	-7.1785023e-06
rate of reaction	PYK_R00200	0.00062093071	0.0011197834	0.002203967	0.00024795895
rate of reaction	PDH_R00209	6.3847245e-08	-8.404791e-08	2.2171966e-07	4.4118068e-07
rate of reaction	ZWF_R00835	0.0017443008	0.0013038683	0.0010634684	0.0012394958
rate of reaction	GLH_R02035	0.0017446288	0.0013040544	0.0010634688	0.0012395158
rate of reaction	PGD_R01528	0.0017489088	0.0013066995	0.0010634747	0.0012397681
rate of reaction	RPI_R01056	0.00083516991	0.00054901018	0.00035465379	0.00040326433
rate of reaction	RPE_R01529	0.0009402957	0.00077714587	0.00070883358	0.00083774354
rate of reaction	TXT_R01641	0.00082108283	0.00054973369	0.00035465779	0.00040746583
rate of reaction	TAL_R08575	0.00082381476	0.00055764409	0.00035466477	0.00041098388
rate of reaction	TXT_R01067	0.00012578799	0.00023216399	0.0003541789	0.00043055916
rate of reaction	FBP_R00762	0.80379052	1.2058605	0.33838963	0.44865929
rate of reaction	CSN_R00351	8.6121898e-06	1.8652451e-05	2.5598489e-07	2.4897827e-05
rate of reaction	ACN_R01325	1.1787497e-05	2.5042297e-05	2.7352147e-07	3.1728892e-05
rate of reaction	ACN_R01900	5.0654852e-05	0.00010012976	4.9038457e-07	0.00011136309
rate of reaction	ICD_R00709	5.0901667e-05	0.0001006017	4.9177226e-07	0.000111867
rate of reaction	KGD_R08549	1.6307272e-05	1.8176815e-05	7.583237e-06	1.5414578e-05
rate of reaction	SCS_R00405	6.3633926e-06	3.8900034e-06	6.5564213e-06	2.0683402e-06
rate of reaction	SDH_R02164	6.6437932e-06	4.1567252e-06	6.5602077e-06	2.2124107e-06
rate of reaction	FUM_R01082	3.5412709e-05	1.706839e-05	7.9656699e-06	2.241296e-05
rate of reaction	MDH_R00342	5.9534622e-05	2.7894314e-05	9.1440105e-06	3.9350001e-05
rate of reaction	PPC_R00345	-2.5692192e-05	-1.668157e-05	-2.316208e-05	-1.6476091e-05
					
!!SBtab TableName='Metabolite concentrations' TableID='MetaboliteConcentration' TableType='QuantityMatrix' Unit='mM'					
!QuantityType	!Compound	S1	S2	S3	S4
concentration	_S__Malate	0.13113957	0.094567037	0.027692005	0.083207699
concentration	Acetyl_CoA	0.021644739	0.03130307	0.00077970294	0.040276286
concentration	Fumarate	0.15035416	0.10837082	0.031746336	0.095470533
concentration	cis_Aconitate	0.096108404	0.11222439	0.0094114014	0.11220652
concentration	_6_Phospho_D_gluconate	0.079642402	0.061033572	0.13462519	0.054011489
concentration	Orthophosphate	0.0015050427	0.001481298	0.00071412687	0.0010012773
concentration	Pyruvate	0.13744846	0.097372003	0.061004126	0.36318708
concentration	NADPplus	0.0020640393	0.0017536821	0.0008561679	0.0020153868
concentration	NADPH	0.0012869873	0.0012056374	0.0014053308	0.00057333911
concentration	NADH	0.00079550434	0.0013472022	0.0010948472	0.00046136518
concentration	NADplus	0.0012436672	0.00074177131	0.001032325	0.00079247612
concentration	ATP	0.00084490929	0.00080807304	0.001385916	0.00095544841
concentration	H2O	0.00093970862	0.0019230713	0.00072315464	0.0011950865
concentration	_2_Oxoglutarate	0.38186653	0.36091524	0.27999705	0.43922488
concentration	Oxaloacetate	0.00059109862	0.0010063463	0.0011685976	0.00073984372
concentration	Ubiquinone	0.00084361969	0.00048799474	0.0016844978	0.0013004986
concentration	D_Erythrose_4_phosphate	3.0521965	3.7633356	6.0661279	4.7867907
concentration	Ubiquinol	0.00072722352	0.00092927365	0.00040600772	0.00084106958
concentration	ADP	0.0014550443	0.0012344314	0.001302179	0.00098362878
concentration	Isocitrate	0.000997005	0.0011544863	9.8313805e-05	0.0011581662
concentration	D_Ribulose_5_phosphate	0.38488372	0.39107105	0.25138357	0.28574987
concentration	D_Xylulose_5_phosphate	0.094204829	0.096055548	0.061526153	0.069915354
concentration	D_Glucose_6_phosphate	0.05327047	0.10436899	0.172448	0.047129397
concentration	_3_Phospho_D_glyceroyl_phosphate	0.00038996773	0.00054508451	0.00073374545	0.001035017
concentration	CoA	0.076293839	0.15509147	0.056493287	0.14392903
concentration	CO2	0.0011068047	0.00079973578	0.00076111324	0.00086637321
concentration	D_Ribose_5_phosphate	0.33447026	0.37333296	0.26543223	0.30165621
concentration	Glycerone_phosphate	0.017422291	0.014170939	0.010989316	0.020479884
concentration	D_Glucose	8.2626964	8.7057	4.0096582	9.3052865
concentration	D_Fructose_1_6_bisphosphate	0.12590483	0.20923044	0.044243974	0.10859482
concentration	D_Glyceraldehyde_3_phosphate	0.096283388	0.12417855	0.0668387	0.045641367
concentration	Phosphoenolpyruvate	0.04715667	0.06582834	0.11239493	0.11746964
concentration	Citrate	0.0079154644	0.0096273738	0.00077175236	0.0098040276
concentration	Succinyl_CoA	0.14333743	0.16776106	0.21593563	0.23188785
concentration	_3_Phospho_D_glycerate	0.013992917	0.019358234	0.03279145	0.034348265
concentration	D_Glucono_1_5_lactone_6_phosphate	0.013740779	0.052917568	0.04469848	0.0082393587
concentration	D_Fructose_6_phosphate	0.11526451	0.15991148	0.074612063	0.093925327
concentration	_2_Phospho_D_glycerate	0.0029554774	0.0041251602	0.0070411007	0.0073618001
concentration	Succinate	0.0015542143	0.0023802919	0.00010402819	0.00071284604
concentration	Sedoheptulose_7_phosphate	0.15863875	0.14782022	0.12724154	0.23420226
					
!!SBtab TableName='Enzyme concentrations' TableID='EnzymeConcentration' TableType='QuantityMatrix' Unit='mM'					
!QuantityType	!Reaction	S1	S2	S3	S4
concentration of enzyme	PTS_RPTSsy	0.00041244266	0.0009306217	0.00052657107	0.00077265616
concentration of enzyme	PGI_R02740	0.0010091784	0.0021965553	0.0017799667	0.0016414534
concentration of enzyme	PFK_R04779	0.00093052868	0.00088354103	0.00094706379	0.00069049661
concentration of enzyme	ALD_R01070	0.0010287389	0.0015241133	0.0007763403	0.00061956677
concentration of enzyme	TIM_R01015	0.0018396114	0.00066786276	0.0012312941	0.00071804876
concentration of enzyme	GAP_R01061	0.00085816469	0.0008574072	0.001113915	0.00069521952
concentration of enzyme	PGK_R01512	0.00087771856	0.0011805447	0.00077902593	0.00066077885
concentration of enzyme	PGM_R01518	0.001354433	0.0008762765	0.00093822851	0.00049915043
concentration of enzyme	PGH_R00658	0.00072428484	0.00089381374	0.0010956672	0.00071818501
concentration of enzyme	PYK_R00200	0.0012761861	0.0014282616	0.0013403551	0.00085302032
concentration of enzyme	PDH_R00209	0.00070340328	0.00023164165	0.00073473578	0.00077854183
concentration of enzyme	ZWF_R00835	0.0015177048	0.0014296743	0.0012967748	0.0010478833
concentration of enzyme	GLH_R02035	0.0011859376	0.00052039651	0.00049652877	0.001006737
concentration of enzyme	PGD_R01528	0.0021801532	0.0025218123	0.0012985732	0.0017596678
concentration of enzyme	RPI_R01056	0.00086882525	0.00081686541	0.0010602607	0.0011688842
concentration of enzyme	RPE_R01529	0.0012447647	0.00206482	0.00098137607	0.0010908774
concentration of enzyme	TXT_R01641	0.00031060473	0.00051711538	0.00073817805	0.00028098803
concentration of enzyme	TAL_R08575	0.00048022463	0.00044526862	0.00079282428	0.00057176898
concentration of enzyme	TXT_R01067	0.0006290467	0.0017756718	0.0013234878	0.0013822909
concentration of enzyme	FBP_R00762	0.0022488017	0.0023709894	0.0022573307	0.0013518077
concentration of enzyme	CSN_R00351	0.00047841596	0.00078769677	0.0007075972	0.0010188786
concentration of enzyme	ACN_R01325	0.0038639858	0.0012088228	0.0014112503	0.0011040076
concentration of enzyme	ACN_R01900	0.0029119688	0.0025039998	0.0053953381	0.0035439657
concentration of enzyme	ICD_R00709	0.0011928258	0.0037982616	0.0038836703	0.003447215
concentration of enzyme	KGD_R08549	0.0003664664	0.00041768796	0.0005780532	0.00039256023
concentration of enzyme	SCS_R00405	0.00052342772	0.00087134714	0.00056462084	0.00042999905
concentration of enzyme	SDH_R02164	0.00038311221	0.00095021478	0.00063143977	0.00053656964
concentration of enzyme	FUM_R01082	0.0022035466	0.0020311116	0.0024154488	0.0015070101
concentration of enzyme	MDH_R00342	0.00049339473	0.00060800727	0.00062823266	0.00063597284
concentration of enzyme	PPC_R00345	0.0014647005	0.0010517918	0.0010431945	0.00063289547
					
!!SBtab TableName='Gibbs free energies of reaction' TableID='ReactionGibbsFreeEnergy' TableType='QuantityMatrix' Unit='kJ/mol'					
!QuantityType	!Reaction	S1	S2	S3	S4
Gibbs energy of reaction	PTS_RPTSsy	-0.5539502	-0.41026522	-1.0916549	-0.10190667
Gibbs energy of reaction	PGI_R02740	6.762509	7.6181447	10.75274	6.9663891
Gibbs energy of reaction	PFK_R04779	-3.3141764	-3.4645748	-0.29787	-2.1796381
Gibbs energy of reaction	ALD_R01070	-1.6001328	-0.45970755	-2.1454207	-0.51711123
Gibbs energy of reaction	TIM_R01015	-4.5535509	-5.6963049	-4.7910682	-2.3022267
Gibbs energy of reaction	GAP_R01061	-12.302457	-15.128325	-17.875827	-17.349628
Gibbs energy of reaction	PGK_R01512	-1.3969351	-1.668477	-3.4430735	-2.4787165
Gibbs energy of reaction	PGM_R01518	-0.018993126	-0.041001536	-0.059865606	-0.055295064
Gibbs energy of reaction	PGH_R00658	-0.0026589821	-0.0029820061	-0.0037473716	-0.0028080792
Gibbs energy of reaction	PYK_R00200	3.5118612	4.8962005	6.1766563	2.0902807
Gibbs energy of reaction	PDH_R00209	0.35216375	-1.4398191	5.5074829	3.6353998
Gibbs energy of reaction	ZWF_R00835	10.514224	8.5968291	8.102744	13.423747
Gibbs energy of reaction	GLH_R02035	2.3108843	6.3131354	3.933668	2.0057356
Gibbs energy of reaction	PGD_R01528	17.624605	17.48883	18.510677	19.952642
Gibbs energy of reaction	RPI_R01056	0.79080106	0.55784172	0.30796729	0.30848412
Gibbs energy of reaction	RPE_R01529	0.017298588	0.0086043494	0.017416993	0.018195309
Gibbs energy of reaction	TXT_R01641	0.23090684	0.096017078	0.053310732	0.12054293
Gibbs energy of reaction	TAL_R08575	4.4248976	3.5497189	2.3488019	2.9320822
Gibbs energy of reaction	TXT_R01067	1.9934018	1.1185381	4.6230565	4.7277491
Gibbs energy of reaction	FBP_R00762	19.556252	20.043173	19.89001	20.70741
Gibbs energy of reaction	CSN_R00351	0.042636763	0.032317891	0.0088050734	0.03458883
Gibbs energy of reaction	ACN_R01325	0.020209781	0.12127316	0.0094138277	0.16674225
Gibbs energy of reaction	ACN_R01900	0.017704477	0.03844996	0.00044214232	0.030166258
Gibbs energy of reaction	ICD_R00709	5.3751958	4.0971607	0.076441382	6.24021
Gibbs energy of reaction	KGD_R08549	10.214572	9.6618115	7.3594685	11.782913
