!!!SBtab Document='Model'			
			
!!SBtab TableID='Reaction' TableType='Reaction' TableName='Reaction'			
!ID	!ReactionFormula	!Name	!IsReversible
E1	X1 <=> S2	E1	True
E2	X3 <=> S4	E2	True
E3	S2 + S4 <=> S5	E3	True
E4	S5 <=> X6	E4	True
E5	S5 <=> X7	E5	True
			
!!SBtab TableID='Compound' TableType='Compound' TableName='Compound'			
!ID	!Name	!IsConstant	
X1	X1	True	
S2	S2	False	
X3	X3	True	
S4	S4	False	
S5	S5	False	
X6	X6	True	
X7	X7	True	
			
!!SBtab TableID='Position' TableType='Position' TableName='Network layout'			
!Element	!PositionX	!PositionY	
X1	-0.004722	0.7662	
S2	0.18043459	0.76591403	
X3	-0.0065602717	0.50699807	
S4	0.18248948	0.51110785	
S5	0.36948434	0.63851094	
X6	0.61401608	0.76385915	
X7	0.61196119	0.51110785	
E1	0.079745049	0.76591403	
E2	0.083854826	0.50905296	
E3	0.28934368	0.63851094	
E4	0.44757011	0.7001576	
E5	0.44757011	0.58097406	
