!!!SBtab CalculationTime='40.9608'					
!!SBtab Document='small_model' TableName='Reaction' TableType='Reaction' SBtabVersion='1.0' Date='2019-06-10'					
!ID	!ReactionFormula	!Name	!IsReversible	!KineticLaw:Name	!KineticLaw:Formula
E1	X1 <=> S2	E1	True	Common saturable (CM)	u_R1 * ( kC_R1 * sqrt( kEQ_R1  * kM_R1_X1 / kM_R1_S2 ) * ( X1 / kM_R1_X1 ) - kC_R1 / sqrt( kEQ_R1  * kM_R1_X1 / kM_R1_S2 ) * ( S2 / kM_R1_S2 ) ) / ( ( 1 + X1 / kM_R1_X1 ) + ( 1 + S2 / kM_R1_S2 ) - 1 )
E2	X3 <=> S4	E2	True	Common saturable (CM)	u_R2 * ( kC_R2 * sqrt( kEQ_R2  * kM_R2_X3 / kM_R2_S4 ) * ( X3 / kM_R2_X3 ) - kC_R2 / sqrt( kEQ_R2  * kM_R2_X3 / kM_R2_S4 ) * ( S4 / kM_R2_S4 ) ) / ( ( 1 + X3 / kM_R2_X3 ) + ( 1 + S4 / kM_R2_S4 ) - 1 )
E3	S2 + S4 <=> S5	E3	True	Common saturable (CM)	u_R3 * ( kC_R3 * sqrt( kEQ_R3  * kM_R3_S2 * kM_R3_S4 / kM_R3_S5 ) * ( S2 / kM_R3_S2 ) * ( S4 / kM_R3_S4 ) - kC_R3 / sqrt( kEQ_R3  * kM_R3_S2 * kM_R3_S4 / kM_R3_S5 ) * ( S5 / kM_R3_S5 ) ) / ( ( 1 + S2 / kM_R3_S2 ) * ( 1 + S4 / kM_R3_S4 ) + ( 1 + S5 / kM_R3_S5 ) - 1 )
E4	S5 <=> X6	E4	True	Common saturable (CM)	u_R4 * ( kC_R4 * sqrt( kEQ_R4  * kM_R4_S5 / kM_R4_X6 ) * ( S5 / kM_R4_S5 ) - kC_R4 / sqrt( kEQ_R4  * kM_R4_S5 / kM_R4_X6 ) * ( X6 / kM_R4_X6 ) ) / ( ( 1 + S5 / kM_R4_S5 ) + ( 1 + X6 / kM_R4_X6 ) - 1 )
E5	S5 <=> X7	E5	True	Common saturable (CM)	u_R5 * ( kC_R5 * sqrt( kEQ_R5  * kM_R5_S5 / kM_R5_X7 ) * ( S5 / kM_R5_S5 ) - kC_R5 / sqrt( kEQ_R5  * kM_R5_S5 / kM_R5_X7 ) * ( X7 / kM_R5_X7 ) ) / ( ( 1 + S5 / kM_R5_S5 ) + ( 1 + X7 / kM_R5_X7 ) - 1 )
%					
!!SBtab Document='small_model' TableName='Compound' TableType='Compound' SBtabVersion='1.0' Date='2019-06-10'					
!ID	!Name	!IsConstant			
X1	X1	True			
S2	S2	False			
X3	X3	True			
S4	S4	False			
S5	S5	False			
X6	X6	True			
X7	X7	True			
%					
!!SBtab Document='small_model' TableName='Parameter' TableType='Quantity' SBtabVersion='1.0' Date='2019-06-10'					
!QuantityType	!Reaction	!Compound	!Mode	!Unit	
equilibrium constant	E1		0.059216283	dimensionless	
equilibrium constant	E2		1.8240023	dimensionless	
equilibrium constant	E3		4.7265222	dimensionless	
equilibrium constant	E4		0.5741787	dimensionless	
equilibrium constant	E5		0.58176725	dimensionless	
catalytic rate constant geometric mean	E1		284.59265	1/s	
catalytic rate constant geometric mean	E2		147.97391	1/s	
catalytic rate constant geometric mean	E3		549.04207	1/s	
catalytic rate constant geometric mean	E4		54.249425	1/s	
catalytic rate constant geometric mean	E5		711.61549	1/s	
Michaelis constant	E1	X1	0.0095431949	mM	
Michaelis constant	E1	S2	0.011968168	mM	
Michaelis constant	E3	S2	2.4864198	mM	
Michaelis constant	E2	X3	1.7352758	mM	
Michaelis constant	E2	S4	0.01116887	mM	
Michaelis constant	E3	S4	0.065830776	mM	
Michaelis constant	E3	S5	0.32448409	mM	
Michaelis constant	E4	S5	0.41346095	mM	
Michaelis constant	E5	S5	0.044270894	mM	
Michaelis constant	E4	X6	0.30021321	mM	
Michaelis constant	E5	X7	0.015698777	mM	
substrate catalytic rate constant	E1		61.841116	1/s	
substrate catalytic rate constant	E2		2491.0214	1/s	
substrate catalytic rate constant	E3		847.77673	1/s	
substrate catalytic rate constant	E4		48.241525	1/s	
substrate catalytic rate constant	E5		911.47815	1/s	
product catalytic rate constant	E1		1309.6946	1/s	
product catalytic rate constant	E2		8.7900796	1/s	
product catalytic rate constant	E3		355.57381	1/s	
product catalytic rate constant	E4		61.005537	1/s	
product catalytic rate constant	E5		555.57734	1/s	
concentration of enzyme	E1		0.00076862472	mM	
concentration of enzyme	E2		0.0016143326	mM	
concentration of enzyme	E3		0.00073526349	mM	
concentration of enzyme	E4		0.00063768594	mM	
concentration of enzyme	E5		0.00070975068	mM	
