!!SBtab Document='small_model' TableName='Parameter' TableType='Quantity' SBtabVersion='1.0' Date='2019-06-10'				
!QuantityType	!Reaction	!Compound	!Value	!Unit
equilibrium constant	E1		0.059216283	dimensionless
equilibrium constant	E2		1.8240023	dimensionless
equilibrium constant	E3		4.7265222	dimensionless
equilibrium constant	E4		0.5741787	dimensionless
equilibrium constant	E5		0.58176725	dimensionless
catalytic rate constant geometric mean	E1		284.59265	1/s
catalytic rate constant geometric mean	E2		147.97391	1/s
catalytic rate constant geometric mean	E3		549.04207	1/s
catalytic rate constant geometric mean	E4		54.249425	1/s
catalytic rate constant geometric mean	E5		711.61549	1/s
Michaelis constant	E1	X1	0.0095431949	mM
Michaelis constant	E1	S2	0.011968168	mM
Michaelis constant	E3	S2	2.4864198	mM
Michaelis constant	E2	X3	1.7352758	mM
Michaelis constant	E2	S4	0.01116887	mM
Michaelis constant	E3	S4	0.065830776	mM
Michaelis constant	E3	S5	0.32448409	mM
Michaelis constant	E4	S5	0.41346095	mM
Michaelis constant	E5	S5	0.044270894	mM
Michaelis constant	E4	X6	0.30021321	mM
Michaelis constant	E5	X7	0.015698777	mM
substrate catalytic rate constant	E1		61.841116	1/s
substrate catalytic rate constant	E2		2491.0214	1/s
substrate catalytic rate constant	E3		847.77673	1/s
substrate catalytic rate constant	E4		48.241525	1/s
substrate catalytic rate constant	E5		911.47815	1/s
product catalytic rate constant	E1		1309.6946	1/s
product catalytic rate constant	E2		8.7900796	1/s
product catalytic rate constant	E3		355.57381	1/s
product catalytic rate constant	E4		61.005537	1/s
product catalytic rate constant	E5		555.57734	1/s
