!!!SBtab				
				
!!SBtab TableName='Metabolic fluxes' TableID='FluxData' TableType='QuantityMatrix' Unit='mM/s'				
!QuantityType	!Reaction	!Reaction:Identifiers:kegg.reaction	S_1_Mean	S_1_Std
rate of reaction	PTS_RPTSsy	RPTSsy	0.609	0.028
rate of reaction	PGI_R02740	R02740	0.504	0.028
rate of reaction	PFK_R04779	R04779	0.504	0.028
rate of reaction	ALD_R01070	R01070	0.504	0.028
rate of reaction	TIM_R01015	R01015	0.504	0.028
rate of reaction	GAP_R01061	R01061	1.043	0.035
rate of reaction	PGK_R01512	R01512	1.043	0.035
rate of reaction	PGM_R01518	R01518	1.043	0.035
rate of reaction	PGH_R00658	R00658	1.043	0.035
rate of reaction	PYK_R00200	R00200	0.217	0.042
rate of reaction	PDH_R00209	R00209	0.679	0.042
rate of reaction	ZWF_R00835	R00835	0.1659	0.007
rate of reaction	GLH_R02035	R02035	0.1659	0.007
rate of reaction	PGD_R01528	R01528	0.1645	0.0133
rate of reaction	RPI_R01056	R01056	0.119	0.0056
rate of reaction	RPE_R01529	R01529	0.0798	0.0091
rate of reaction	TXT_R01641	R01641	0.0455	0.0091
rate of reaction	TAL_R08575	R08575	0.0455	0.0056
rate of reaction	TXT_R01067	R01067	0.0343	0.0056
rate of reaction	FBP_R00762	R00762	0	0.007
rate of reaction	CSN_R00351	R00351	0.098	0.077
rate of reaction	ACN_R01325	R01325	0.098	0.077
rate of reaction	ACN_R01900	R01900	0.098	0.077
rate of reaction	ICD_R00709	R00709	0.084	0.028
rate of reaction	KGD_R08549	R08549	0.0049	0.0231
rate of reaction	SCS_R00405	R00405	0.0049	0.0231
rate of reaction	SDH_R02164	R02164	0.0189	0.077
rate of reaction	FUM_R01082	R01082	0.077	0.077
rate of reaction	MDH_R00342	R00342	0.091	0.028
rate of reaction	PPC_R00345	R00345	-0.133	0.056
				
!!SBtab TableName='Metabolite concentrations' TableID='MetaboliteConcentrationData' TableType='QuantityMatrix' Unit='mM'				
!QuantityType	!Compound	!Compound:Identifiers:kegg.compound	S_1_Mean	
concentration	_S__Malate	C00149	1.23	
concentration	Acetyl_CoA	C00024	0.35	
concentration	Fumarate	C00122	0.115	
concentration	cis_Aconitate	C00417	0.0161	
concentration	_6_Phospho_D_gluconate	C00345	3.81	
concentration	Orthophosphate	C00009	NaN	
concentration	Pyruvate	C00022	0.39	
concentration	NADPplus	C00006	0.00208	
concentration	NADPH	C00005	0.121	
concentration	NADH	C00004	0.0832	
concentration	NADplus	C00003	1.67	
concentration	ATP	C00002	2.641	
concentration	H2O	C00001	NaN	
concentration	_2_Oxoglutarate	C00026	0.476	
concentration	Oxaloacetate	C00036	NaN	
concentration	Ubiquinone	C00399	NaN	
