!!SBtab TableType="Quantity"										
!QuantityType	!Compound	!Reaction	!Unit	!Median	!Mean	!Std	!Lower	!Upper	!Compound:Identifiers:kegg.compound	!Reaction:Identifiers:kegg.reaction
catalytic rate constant geometric mean		GLI_GLUNim	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		GTS_GLTEsy	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_GLUDym	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_AKGDam	1/s	NaN	NaN	NaN	1e-07	10000		R01197
catalytic rate constant geometric mean		R_SUCOAS1m	1/s	NaN	NaN	NaN	1e-07	10000		R00405
catalytic rate constant geometric mean		R_SUCD2_u6m	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_FUMm	1/s	NaN	NaN	NaN	1e-07	10000		R01082
catalytic rate constant geometric mean		R_MDHm	1/s	NaN	NaN	NaN	1e-07	10000		R00342
catalytic rate constant geometric mean		R_CSm	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_ACL	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_ACONTm	1/s	NaN	NaN	NaN	1e-07	10000		R01324
catalytic rate constant geometric mean		R_ICDHym	1/s	NaN	NaN	NaN	1e-07	10000		R00267
catalytic rate constant geometric mean		R_ICDHxm	1/s	NaN	NaN	NaN	1e-07	10000		R00709
catalytic rate constant geometric mean		ASS_ASPAsy	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		ASC_ASPAcons	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		PYS_PYRIsy	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_PC	1/s	NaN	NaN	NaN	1e-07	10000		R00344
catalytic rate constant geometric mean		R_ALCD2m	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_ME1m	1/s	NaN	NaN	NaN	1e-07	10000		R00214
Michaelis constant	M_accoa_m	R_CSm	mM	NaN	NaN	NaN	1e-06	1000	C00024	
Michaelis constant	M_accoa_m	R_ALCD2m	mM	NaN	NaN	NaN	1e-06	1000	C00024	
Michaelis constant	M_accoa_c	R_ACL	mM	NaN	NaN	NaN	1e-06	1000	C00024	
Michaelis constant	M_adp_m	GTS_GLTEsy	mM	NaN	NaN	NaN	1e-06	1000	C00008	
Michaelis constant	M_adp_m	R_SUCOAS1m	mM	NaN	NaN	NaN	1e-06	1000	C00008	R00405
Michaelis constant	M_adp_m	R_ACL	mM	NaN	NaN	NaN	1e-06	1000	C00008	
Michaelis constant	M_adp_m	R_PC	mM	NaN	NaN	NaN	1e-06	1000	C00008	R00344
Michaelis constant	M_akg_m	R_GLUDym	mM	NaN	NaN	NaN	1e-06	1000	C00026	
Michaelis constant	M_akg_m	R_AKGDam	mM	NaN	NaN	NaN	1e-06	1000	C00026	R01197
Michaelis constant	M_akg_m	R_ICDHym	mM	NaN	NaN	NaN	1e-06	1000	C00026	R00267
Michaelis constant	M_akg_m	R_ICDHxm	mM	NaN	NaN	NaN	1e-06	1000	C00026	R00709
Michaelis constant	M_asp_L_c	ASS_ASPAsy	mM	NaN	NaN	NaN	1e-06	1000	C00049	
Michaelis constant	M_asp_L_c	ASC_ASPAcons	mM	NaN	NaN	NaN	1e-06	1000	C00049	
Michaelis constant	M_asp_L_c	PYS_PYRIsy	mM	NaN	NaN	NaN	1e-06	1000	C00049	
Michaelis constant	AspartateSink	ASC_ASPAcons	mM	NaN	NaN	NaN	1e-06	1000		
Michaelis constant	M_atp_m	GTS_GLTEsy	mM	NaN	NaN	NaN	1e-06	1000	C00002	
Michaelis constant	M_atp_m	R_SUCOAS1m	mM	NaN	NaN	NaN	1e-06	1000	C00002	R00405
