!!!SBtab DocumentName='CMB result' Document='CMBresult' CalculationTime='145.092226 s'			
			
!!SBtab TableName='Metabolite concentrations' TableID='MetaboliteConcentration' TableType='QuantityMatrix' Unit='mM'			
!QuantityType	!Compound	!Compound:Identifiers:kegg.compound	S1
concentration	_S__Malate		0.12007531
concentration	Acetyl_CoA		0.025973538
concentration	Fumarate		0.14093258
concentration	cis_Aconitate		0.10323741
concentration	_6_Phospho_D_gluconate		0.08202675
concentration	Orthophosphate		0.0011590764
concentration	Pyruvate		0.13620664
concentration	NADPplus		0.0016012271
concentration	NADPH		0.0010948388
concentration	NADH		0.00087578994
concentration	NADplus		0.00097086649
concentration	ATP		0.0009871809
concentration	H2O		0.0011657107
concentration	_2_Oxoglutarate		0.37193854
concentration	Oxaloacetate		0.00093878586
concentration	Ubiquinone		0.0010895263
concentration	D_Erythrose_4_phosphate		4.2055798
concentration	Ubiquinol		0.00072570016
concentration	ADP		0.0012876023
concentration	Isocitrate		0.0006513117
concentration	D_Ribulose_5_phosphate		0.30745492
concentration	D_Xylulose_5_phosphate		0.0749237
concentration	D_Glucose_6_phosphate		0.083852125
concentration	_3_Phospho_D_glyceroyl_phosphate		0.00067158258
concentration	CoA		0.11908379
concentration	CO2		0.00085904837
concentration	D_Ribose_5_phosphate		0.36611086
concentration	Glycerone_phosphate		0.016036309
concentration	D_Glucose		6.8942204
concentration	D_Fructose_1_6_bisphosphate		0.11209307
concentration	D_Glyceraldehyde_3_phosphate		0.076065279
concentration	Phosphoenolpyruvate		0.081192057
concentration	Citrate		0.0086337123
concentration	Succinyl_CoA		0.16314532
concentration	_3_Phospho_D_glycerate		0.025315092
concentration	D_Glucono_1_5_lactone_6_phosphate		0.021455011
concentration	D_Fructose_6_phosphate		0.12859856
concentration	_2_Phospho_D_glycerate		0.0050395486
concentration	Succinate		0.0011484268
concentration	Sedoheptulose_7_phosphate		0.15866014
			
!!SBtab TableName='Enzyme concentrations' TableID='EnzymeConcentration' TableType='QuantityMatrix' Unit='mM'			
!QuantityType	!Reaction	!Reaction:Identifiers:kegg.reaction	S1
concentration of enzyme	PTS_RPTSsy		0.00064471373
concentration of enzyme	PGI_R02740		0.0016332592
concentration of enzyme	PFK_R04779		0.00081802936
concentration of enzyme	ALD_R01070		0.0009810611
concentration of enzyme	TIM_R01015		0.00096536409
concentration of enzyme	GAP_R01061		0.00085248975
concentration of enzyme	PGK_R01512		0.00084775678
concentration of enzyme	PGM_R01518		0.00088745774
concentration of enzyme	PGH_R00658		0.00088476908
concentration of enzyme	PYK_R00200		0.0011661969
concentration of enzyme	PDH_R00209		0.00053420615
concentration of enzyme	ZWF_R00835		0.0012934463
concentration of enzyme	GLH_R02035		0.00065677076
concentration of enzyme	PGD_R01528		0.001852948
concentration of enzyme	RPI_R01056		0.00092605267
concentration of enzyme	RPE_R01529		0.0013357241
concentration of enzyme	TXT_R01641		0.000426426
concentration of enzyme	TAL_R08575		0.00052724241
concentration of enzyme	TXT_R01067		0.0013636663
