!!!SBtab DocumentName='balanced_states' SBtabVersion='1.0' Date='2021-4-4'
!!SBtab TableID='Flux' TableType='QuantityMatrix' TableName='MetabolicFlux' SBtabVersion='1.0' Unit='mM/s'
!QuantityType	!Reaction	S1	S2	S3	S4
rate of reaction	E1	0.021387373764911267	0.01460085302465973	0.011737199044558173	0.009199216810779395
rate of reaction	E2	0.021387372521010195	0.014588598605683439	0.011737199044527745	0.009199199058691014
rate of reaction	E3	0.02138737477565732	0.014313621496418424	0.011737199044230595	0.009199219113649869

!!SBtab TableID='MetaboliteConcentrations' TableType='QuantityMatrix' TableName='Metabolite concentrations' SBtabVersion='1.0' Unit='mM'
!QuantityType	!Compound	S1	S2	S3	S4
concentration	X1	6.379652405637526	10.780137167020325	13.828111569346468	10.68952810492265
concentration	S2	0.16033875490810395	0.33919286806566823	0.07141100646839252	0.09919522300942597
concentration	X3	1.110781297997515	4.67166783529917	0.6803322687400358	1.130216367236795
concentration	X4	0.7990512849392009	0.7077328524783095	0.9198000679687294	1.640398573891567

!!SBtab TableID='EnzymeConcentrations' TableType='QuantityMatrix' TableName='Enzyme concentrations' SBtabVersion='1.0' Unit='mM'
!QuantityType	!Reaction	S1	S2	S3	S4
concentration of enzyme	E1	0.0017509730411915938	0.0015853327145329246	0.0005010896322730329	0.00044009326270983166
concentration of enzyme	E2	0.0014467945789247195	0.003324507360062943	0.0013497020279070685	0.0014231954473320025
concentration of enzyme	E3	0.0006760695013761071	0.00044342792486880506	0.0003777334540619092	0.0002926015488931663

!!SBtab TableID='ReactionGibbsFreeEnergy' TableType='QuantityMatrix' TableName='Gibbs free energies of reaction' SBtabVersion='1.0' Unit='kJ/mol'
!QuantityType	!Reaction	S1	S2	S3	S4
Gibbs energy of reaction	E1	-0.740045467807144	-0.5153570607376312	-2.3224722297790454	-1.7363953715500524
Gibbs energy of reaction	E2	-1.1739919601019824	-0.48681953647774145	-0.8553927839693061	-0.676447572791131
Gibbs energy of reaction	E3	-5.946060594093863	-7.503871535036883	-5.315091785761099	-5.244136650089684

!!SBtab TableID='CatalyticRateConstant' TableType='QuantityMatrix' TableName='Catalytic rate constant' SBtabVersion='1.0' Unit='1/s'
!QuantityType	!Reaction	kcatf	kcatr
catalytic rate constant	E1	26.921653527798274	97.56041714539514
catalytic rate constant	E2	872.1348544833849	7.192007947497997
catalytic rate constant	E3	32.47786325387288	21.827649668614

!!SBtab TableID='MichaelisConstant' TableType='QuantityMatrix' TableName='Michaelis-Menten constant' SBtabVersion='1.0' Unit='mM'
!QuantityType	!Reaction	S1	S2	S3	S4
Michaelis constant	E1	0.13313098975902599	0.02541500687734083	1000.0000000000001	1000.0000000000001
Michaelis constant	E2	1000.0000000000001	0.36444940499954054	0.06735223987018737	1000.0000000000001
Michaelis constant	E3	1000.0000000000001	1000.0000000000001	0.02229223807819707	4.119652639624199

!!SBtab TableID='ActivationConstant' TableType='QuantityMatrix' TableName='Activation constant' SBtabVersion='1.0' Unit='mM'
!QuantityType	!Reaction	S1	S2	S3	S4
activation constant	E1	1000.0000000000001	1000.0000000000001	1000.0000000000001	1000.0000000000001
activation constant	E2	1000.0000000000001	1000.0000000000001	1000.0000000000001	1000.0000000000001
activation constant	E3	1000.0000000000001	1000.0000000000001	1000.0000000000001	1000.0000000000001

!!SBtab TableID='InhibitionConstant' TableType='QuantityMatrix' TableName='Inhibition constant' SBtabVersion='1.0' Unit='mM'
!QuantityType	!Reaction	S1	S2	S3	S4
inhibition constant	E1	1000.0000000000001	1000.0000000000001	1000.0000000000001	1000.0000000000001
inhibition constant	E2	1000.0000000000001	1000.0000000000001	1000.0000000000001	1000.0000000000001
inhibition constant	E3	1000.0000000000001	1000.0000000000001	1000.0000000000001	1000.0000000000001

