!!!SBtab DocumentName='state_results' SBtabVersion='1.0' Date='2021-4-2'
!!SBtab TableID='MetabolicFlux' TableType='QuantityMatrix' TableName='MetabolicFlux' SBtabVersion='1.0' Unit='mM/s'
!QuantityType	!Reaction	S1	S2	S3	S4
rate of reaction	E1	0.021387373764911267	0.01460085302465973	0.011737199044558173	0.009199216810779395
rate of reaction	E2	0.021387372521010195	0.014588598605683439	0.011737199044527745	0.009199199058691014
rate of reaction	E3	0.02138737477565732	0.014313621496418424	0.011737199044230595	0.009199219113649869

!!SBtab TableID='MetaboliteConcentrations' TableType='QuantityMatrix' TableName='Metabolite concentrations' SBtabVersion='1.0' Unit='mM'
!QuantityType	!Compound	S1	S2	S3	S4
concentration	X1	6.37611908286746	10.748467799170818	13.831139417702698	10.69817907364608
concentration	S2	0.15999521454625626	0.337407243185946	0.07259644230054538	0.1005756071413424
concentration	X3	1.1233078614881045	4.70311572244766	0.7065758144709312	1.1668577003894767
concentration	X4	0.7973102897016721	0.7079450606200159	0.9062532262737979	1.6103653403747005

!!SBtab TableID='EnzymeConcentrations' TableType='QuantityMatrix' TableName='Enzyme concentrations' SBtabVersion='1.0' Unit='mM'
!QuantityType	!Compound	S1	S2	S3	S4
concentration of enzyme	E1	0.0017481883921990488	0.0015805239586383216	0.0005016780227488157	0.00044120223604224616
concentration of enzyme	E2	0.0014437261991103465	0.003313562246626576	0.0013629381026052689	0.001433748401756284
concentration of enzyme	E3	0.00011643200933689904	7.563289940988996e-05	6.548284155579942e-05	5.0507094491179566e-05

!!SBtab TableID='ReactionGibbsFreeEnergy' TableType='QuantityMatrix' TableName='Gibbs free energies of reaction' SBtabVersion='1.0' Unit='kJ/mol'
!QuantityType	!Compound	S1	S2	S3	S4
Gibbs energy of reaction	E1	-0.7404894163982689	-0.5165462806212577	-2.305080317224486	-1.7222374964821086
Gibbs energy of reaction	E2	-1.1722560805322493	-0.48645538381991305	-0.8456306442200594	-0.6699852999437699
Gibbs energy of reaction	E3	-6.434033287526614	-7.98485814849266	-5.842355893563589	-5.769097490319845

