!!SBtab TableID='ParameterData' TableType='Quantity'										
!QuantityType	!Compound	!Reaction	!Unit	!Median	!Mean	!Std	!Lower	!Upper	!Compound:Identifiers:kegg.compound	!Reaction:Identifiers:kegg.reaction
catalytic rate constant geometric mean		PTS_RPTSsy	1/s	NaN	NaN	NaN	1e-07	10000		RPTSsy
catalytic rate constant geometric mean		PGI_R02740	1/s	NaN	NaN	NaN	1e-07	10000		R02740
catalytic rate constant geometric mean		PFK_R04779	1/s	NaN	NaN	NaN	1e-07	10000		R04779
catalytic rate constant geometric mean		ALD_R01070	1/s	NaN	NaN	NaN	1e-07	10000		R01070
catalytic rate constant geometric mean		TIM_R01015	1/s	1060.6602	1078.4363	198.26754	1e-07	10000		R01015
catalytic rate constant geometric mean		GAP_R01061	1/s	172.08719	174.97128	32.167988	1e-07	10000		R01061
catalytic rate constant geometric mean		PGK_R01512	1/s	236.52354	240.48755	44.212974	1e-07	10000		R01512
catalytic rate constant geometric mean		PGM_R01518	1/s	117.66974	119.64182	21.99582	1e-07	10000		R01518
catalytic rate constant geometric mean		PGH_R00658	1/s	NaN	NaN	NaN	1e-07	10000		R00658
catalytic rate constant geometric mean		PYK_R00200	1/s	NaN	NaN	NaN	1e-07	10000		R00200
catalytic rate constant geometric mean		PDH_R00209	1/s	1.7083033	1.7369335	0.31933045	1e-07	10000		R00209
catalytic rate constant geometric mean		ZWF_R00835	1/s	315.2047	320.48736	58.920719	1e-07	10000		R00835
catalytic rate constant geometric mean		GLH_R02035	1/s	NaN	NaN	NaN	1e-07	10000		R02035
catalytic rate constant geometric mean		PGD_R01528	1/s	51.87217	52.74152	9.6963832	1e-07	10000		R01528
catalytic rate constant geometric mean		RPI_R01056	1/s	1128.6376	1147.553	210.97445	1e-07	10000		R01056
catalytic rate constant geometric mean		RPE_R01529	1/s	487.01987	495.18206	91.037859	1e-07	10000		R01529
catalytic rate constant geometric mean		TXT_R01641	1/s	NaN	NaN	NaN	1e-07	10000		R01641
catalytic rate constant geometric mean		TAL_R08575	1/s	NaN	NaN	NaN	1e-07	10000		R08575
catalytic rate constant geometric mean		TXT_R01067	1/s	NaN	NaN	NaN	1e-07	10000		R01067
catalytic rate constant geometric mean		FBP_R00762	1/s	NaN	NaN	NaN	1e-07	10000		R00762
catalytic rate constant geometric mean		CSN_R00351	1/s	69.518014	70.683099	12.994893	1e-07	10000		R00351
catalytic rate constant geometric mean		ACN_R01325	1/s	24.2873	24.694342	4.5399868	1e-07	10000		R01325
catalytic rate constant geometric mean		ACN_R01900	1/s	137.8083	140.11789	25.760289	1e-07	10000		R01900
catalytic rate constant geometric mean		ICD_R00709	1/s	56.471232	57.41766	10.556079	1e-07	10000		R00709
catalytic rate constant geometric mean		KGD_R08549	1/s	NaN	NaN	NaN	1e-07	10000		R08549
catalytic rate constant geometric mean		SCS_R00405	1/s	95.468278	97.068275	17.845735	1e-07	10000		R00405
catalytic rate constant geometric mean		SDH_R02164	1/s	82.509888	83.89271	15.423444	1e-07	10000		R02164
catalytic rate constant geometric mean		FUM_R01082	1/s	217.26756	220.90885	40.613483	1e-07	10000		R01082
