!!!SBtab DocumentName='CMB result' Document='CMBresult' CalculationTime='748.125290 s'					
					
!!SBtab TableName='Metabolic fluxes' TableID='MetabolicFlux' TableType='QuantityMatrix' Unit='mM/s'					
!QuantityType	!Reaction	S1	S2	S3	S4
rate of reaction	PTS_RPTSsy	-0.00062087198	-0.0011198689	-0.0022037453	-0.00024752416
rate of reaction	PGI_R02740	0.084950269	0.20119786	0.17701251	0.13767467
rate of reaction	PFK_R04779	-0.00046572886	-0.00045932471	-3.5667498e-05	-0.00018978683
rate of reaction	ALD_R01070	-0.012291876	-0.0054829808	-0.0067685035	-0.0021169129
rate of reaction	TIM_R01015	-0.012291876	-0.0054829808	-0.0067685035	-0.0021169129
rate of reaction	GAP_R01061	-3.0063511e-06	-5.668636e-06	-1.4066715e-05	-7.1779785e-06
rate of reaction	PGK_R01512	-3.006338e-06	-5.6686355e-06	-1.4066715e-05	-7.1783921e-06
rate of reaction	PGM_R01518	-3.0063363e-06	-5.6686373e-06	-1.4066715e-05	-7.178501e-06
rate of reaction	PGH_R00658	-3.0063362e-06	-5.6686375e-06	-1.4066715e-05	-7.1785023e-06
rate of reaction	PYK_R00200	0.00062093071	0.0011197834	0.002203967	0.00024795895
rate of reaction	PDH_R00209	6.3847245e-08	-8.404791e-08	2.2171966e-07	4.4118068e-07
rate of reaction	ZWF_R00835	0.0017443008	0.0013038683	0.0010634684	0.0012394958
rate of reaction	GLH_R02035	0.0017446288	0.0013040544	0.0010634688	0.0012395158
rate of reaction	PGD_R01528	0.0017489088	0.0013066995	0.0010634747	0.0012397681
rate of reaction	RPI_R01056	0.00083516991	0.00054901018	0.00035465379	0.00040326433
rate of reaction	RPE_R01529	0.0009402957	0.00077714587	0.00070883358	0.00083774354
rate of reaction	TXT_R01641	0.00082108283	0.00054973369	0.00035465779	0.00040746583
rate of reaction	TAL_R08575	0.00082381476	0.00055764409	0.00035466477	0.00041098388
rate of reaction	TXT_R01067	0.00012578799	0.00023216399	0.0003541789	0.00043055916
rate of reaction	FBP_R00762	0.80379052	1.2058605	0.33838963	0.44865929
rate of reaction	CSN_R00351	8.6121898e-06	1.8652451e-05	2.5598489e-07	2.4897827e-05
rate of reaction	ACN_R01325	1.1787497e-05	2.5042297e-05	2.7352147e-07	3.1728892e-05
rate of reaction	ACN_R01900	5.0654852e-05	0.00010012976	4.9038457e-07	0.00011136309
rate of reaction	ICD_R00709	5.0901667e-05	0.0001006017	4.9177226e-07	0.000111867
rate of reaction	KGD_R08549	1.6307272e-05	1.8176815e-05	7.583237e-06	1.5414578e-05
rate of reaction	SCS_R00405	6.3633926e-06	3.8900034e-06	6.5564213e-06	2.0683402e-06
rate of reaction	SDH_R02164	6.6437932e-06	4.1567252e-06	6.5602077e-06	2.2124107e-06
rate of reaction	FUM_R01082	3.5412709e-05	1.706839e-05	7.9656699e-06	2.241296e-05
rate of reaction	MDH_R00342	5.9534622e-05	2.7894314e-05	9.1440105e-06	3.9350001e-05
rate of reaction	PPC_R00345	-2.5692192e-05	-1.668157e-05	-2.316208e-05	-1.6476091e-05
					
!!SBtab TableName='Metabolite concentrations' TableID='MetaboliteConcentration' TableType='QuantityMatrix' Unit='mM'					
!QuantityType	!Compound	S1	S2	S3	S4
concentration	_S__Malate	0.13703212	0.099528098	0.02799724	0.087126827
concentration	Acetyl_CoA	0.023095703	0.032782278	0.00071767495	0.044385588
concentration	Fumarate	0.16383257	0.11755171	0.033158585	0.10538492
concentration	cis_Aconitate	0.10986149	0.12719833	0.006872912	0.12825785
concentration	_6_Phospho_D_gluconate	0.082512517	0.063596571	0.13422073	0.056016405
concentration	Orthophosphate	0.0014572134	0.0014412898	0.00074202964	0.00099301752
concentration	Pyruvate	0.14782961	0.10208212	0.061070338	0.38573796
concentration	NADPplus	0.0020787071	0.0017906855	0.00085874455	0.0019331968
concentration	NADPH	0.0012710849	0.0011993038	0.001406955	0.00056482433
concentration	NADH	0.00078283518	0.0012946225	0.0010283904	0.00049172743
concentration	NADplus	0.0012752725	0.00077299475	0.0011327669	0.00083414241
concentration	ATP	0.00080724858	0.00078775191	0.0013804297	0.00096973603
concentration	H2O	0.00093947379	0.0019227109	0.00072295804	0.0011952833
concentration	_2_Oxoglutarate	0.37612475	0.36939669	0.2302501	0.43925451
concentration	Oxaloacetate	0.00065707871	0.0010734139	0.0011126275	0.00079206847
concentration	Ubiquinone	0.00087328508	0.00051365281	0.0017006929	0.0013648439
concentration	D_Erythrose_4_phosphate	3.5061894	5.2145989	4.3096724	3.5995968
concentration	Ubiquinol	0.00075465958	0.00095283204	0.00042408143	0.00085991379
concentration	ADP	0.0014490343	0.0011907641	0.0013375355	0.0010472781
concentration	Isocitrate	0.00070757234	0.00079543726	4.5434411e-05	0.00081239084
concentration	D_Ribulose_5_phosphate	0.40466291	0.41604973	0.2377731	0.27722659
concentration	D_Xylulose_5_phosphate	0.097380446	0.10285764	0.057066549	0.066417912
concentration	D_Glucose_6_phosphate	0.054917723	0.10713138	0.18234635	0.048588331
concentration	_3_Phospho_D_glyceroyl_phosphate	0.00040125973	0.00054584797	0.00076264306	0.0010551271
concentration	CoA	0.073084188	0.14448551	0.064093594	0.1416638
concentration	CO2	0.0010900069	0.00078850598	0.00067885202	0.00084029967
concentration	D_Ribose_5_phosphate	0.35231182	0.40519441	0.26048756	0.30404469
concentration	Glycerone_phosphate	0.016518527	0.015631274	0.0098440855	0.022328876
concentration	D_Glucose	8.2163943	8.4126957	3.8538928	8.6142842
concentration	D_Fructose_1_6_bisphosphate	0.12760713	0.1982481	0.051158094	0.12335609
concentration	D_Glyceraldehyde_3_phosphate	0.089201981	0.11654556	0.068052184	0.051128546
concentration	Phosphoenolpyruvate	0.046406689	0.064120082	0.11137666	0.12058235
concentration	Citrate	0.0089811063	0.010648841	0.00056108859	0.010854712
concentration	Succinyl_CoA	0.1418722	0.16338537	0.222659	0.2262064
concentration	_3_Phospho_D_glycerate	0.014802401	0.019879135	0.033549311	0.037418147
concentration	D_Glucono_1_5_lactone_6_phosphate	0.013249858	0.051940673	0.043283353	0.0078099414
concentration	D_Fructose_6_phosphate	0.11836656	0.14409645	0.10490858	0.13496328
concentration	_2_Phospho_D_glycerate	0.0028965334	0.0039451729	0.0067525019	0.0074775388
concentration	Succinate	0.0016733611	0.0024716473	0.00010520874	0.00075218017
concentration	Sedoheptulose_7_phosphate	0.17627057	0.17141153	0.10591114	0.18521705
					
!!SBtab TableName='Enzyme concentrations' TableID='EnzymeConcentration' TableType='QuantityMatrix' Unit='mM'					
!QuantityType	!Reaction	S1	S2	S3	S4
concentration of enzyme	PTS_RPTSsy	0.00044023661	0.0009075048	0.00055027063	0.00080154886
concentration of enzyme	PGI_R02740	0.0010550968	0.0022508499	0.001843873	0.0017967039
concentration of enzyme	PFK_R04779	0.00089401693	0.00083691487	0.000845291	0.00075058175
concentration of enzyme	ALD_R01070	0.0010479191	0.0016980409	0.00074276035	0.00069766544
concentration of enzyme	TIM_R01015	0.0018632903	0.00067609288	0.0011027856	0.00073583159
concentration of enzyme	GAP_R01061	0.00083914665	0.00082566672	0.0011840902	0.00074527264
concentration of enzyme	PGK_R01512	0.00089144913	0.0011973455	0.0008695066	0.0006337107
concentration of enzyme	PGM_R01518	0.0014578867	0.00092981339	0.00091466026	0.00051822592
concentration of enzyme	PGH_R00658	0.00083043397	0.00090305853	0.0011343439	0.00076248973
concentration of enzyme	PYK_R00200	0.0012511348	0.0013983963	0.0012064507	0.00088141201
concentration of enzyme	PDH_R00209	0.00073592154	0.0002335644	0.0006385875	0.00088401903
concentration of enzyme	ZWF_R00835	0.0014652365	0.0014912238	0.0013453685	0.001027159
concentration of enzyme	GLH_R02035	0.001162169	0.00050279121	0.00048244511	0.00098273073
concentration of enzyme	PGD_R01528	0.0022361316	0.0025639764	0.0012612514	0.001747065
concentration of enzyme	RPI_R01056	0.00078116586	0.00077227801	0.0010666449	0.0011998098
concentration of enzyme	RPE_R01529	0.0012961171	0.0021556389	0.0010155893	0.0011304835
concentration of enzyme	TXT_R01641	0.00032092558	0.00049899383	0.00077213559	0.00029221255
concentration of enzyme	TAL_R08575	0.00048661966	0.00045911139	0.00078855658	0.00055826323
concentration of enzyme	TXT_R01067	0.00091683654	0.0023918541	0.0012166472	0.0013353818
concentration of enzyme	FBP_R00762	0.0022861434	0.0024093141	0.0022244216	0.0013605434
concentration of enzyme	CSN_R00351	0.00050614051	0.00077165485	0.00078332962	0.0010607502
concentration of enzyme	ACN_R01325	0.003708087	0.0012298944	0.0014441732	0.0011200363
concentration of enzyme	ACN_R01900	0.0028694533	0.0025120376	0.0047385963	0.0035469527
concentration of enzyme	ICD_R00709	0.001139609	0.0036187864	0.0041015759	0.003372334
concentration of enzyme	KGD_R08549	0.00038469253	0.0004206358	0.00057305559	0.00038390625
concentration of enzyme	SCS_R00405	0.00052932628	0.00085902568	0.00060628195	0.00041444562
concentration of enzyme	SDH_R02164	0.00040662333	0.00091209299	0.00066499395	0.00058091757
concentration of enzyme	FUM_R01082	0.0026357958	0.0023161494	0.0028059207	0.0017653279
concentration of enzyme	MDH_R00342	0.00049638881	0.00062354526	0.00060556094	0.00061228766
concentration of enzyme	PPC_R00345	0.0014097575	0.0010105261	0.0011251539	0.00061698608
					
!!SBtab TableName='Gibbs free energies of reaction' TableID='ReactionGibbsFreeEnergy' TableType='QuantityMatrix' Unit='kJ/mol'					
!QuantityType	!Reaction	S1	S2	S3	S4
Gibbs energy of reaction	PTS_RPTSsy	-0.47580639	-0.35436872	-0.96567621	-0.065453803
Gibbs energy of reaction	PGI_R02740	6.8886705	8.0575564	10.162799	6.2598355
Gibbs energy of reaction	PFK_R04779	-3.8732557	-4.0517722	-0.37811081	-2.2044403
Gibbs energy of reaction	ALD_R01070	-0.74251241	-0.17633612	-1.0543537	-0.19396602
Gibbs energy of reaction	TIM_R01015	-3.7365514	-4.5362331	-4.3488125	-1.6097095
Gibbs energy of reaction	GAP_R01061	-6.2704094	-8.8857965	-11.17633	-10.89717
Gibbs energy of reaction	PGK_R01512	-2.1728256	-2.5669882	-4.1377282	-3.3345983
Gibbs energy of reaction	PGM_R01518	-0.028596186	-0.063541676	-0.098432202	-0.080710461
Gibbs energy of reaction	PGH_R00658	-0.11690665	-0.15244459	-0.18898419	-0.13302045
Gibbs energy of reaction	PYK_R00200	1.8369355	3.1303141	4.6701878	0.56695667
Gibbs energy of reaction	PDH_R00209	0.39446813	-1.3875374	6.6867917	3.5386322
Gibbs energy of reaction	ZWF_R00835	10.697565	8.7418821	8.2947208	13.535169
Gibbs energy of reaction	GLH_R02035	2.0425754	6.0746131	3.7710172	1.6923386
Gibbs energy of reaction	PGD_R01528	17.117717	16.980483	18.37262	19.570978
Gibbs energy of reaction	RPI_R01056	0.87841644	0.60052552	0.30881166	0.30608171
Gibbs energy of reaction	RPE_R01529	0.13140672	0.064549089	0.13802496	0.14241194
Gibbs energy of reaction	TXT_R01641	0.18543958	0.074245038	0.04582292	0.12855097
Gibbs energy of reaction	TAL_R08575	3.0498069	2.1717535	0.90381548	1.40239
Gibbs energy of reaction	TXT_R01067	0.098561698	0.067766279	0.25535619	0.26955317
Gibbs energy of reaction	FBP_R00762	20.36134	20.993112	20.067716	20.902832
Gibbs energy of reaction	CSN_R00351	0.1433284	0.11641145	0.043074164	0.11554295
Gibbs energy of reaction	ACN_R01325	0.012597078	0.071598484	0.0092082913	0.098502632
Gibbs energy of reaction	ACN_R01900	0.069714157	0.1427814	0.0051065639	0.11106461
Gibbs energy of reaction	ICD_R00709	5.477369	4.126848	0.091577583	6.1805271
Gibbs energy of reaction	KGD_R08549	15.165079	14.774486	12.709608	16.779249
