!!SBtab Document='e_coli_davidi_2016' TableName='Parameter' TableType='Quantity' SBtabVersion='1.0' Date='2019-06-11'						
!QuantityType	!Reaction	!Compound	!Value	!Unit	!Reaction:Identifiers:kegg.reaction	!Compound:Identifiers:kegg.compound
equilibrium constant	PTS_RPTSsy		2.3709156	dimensionless	RPTSsy	
equilibrium constant	PGI_R02740		0.40312544	dimensionless	R02740	
equilibrium constant	PFK_R04779		2.0188564	dimensionless	R04779	
equilibrium constant	ALD_R01070		0.23255854	dimensionless	R01070	
equilibrium constant	TIM_R01015		3.8527808	dimensionless	R01015	
equilibrium constant	GAP_R01061		0.1532395	dimensionless	R01061	
equilibrium constant	PGK_R01512		38.323223	dimensionless	R01512	
equilibrium constant	PGM_R01518		1.4069086	dimensionless	R01518	
equilibrium constant	PGH_R00658		1.4998548	dimensionless	R00658	
equilibrium constant	PYK_R00200		7.621736	dimensionless	R00200	
equilibrium constant	PDH_R00209		273.11521	dimensionless	R00209	
equilibrium constant	ZWF_R00835		665.70075	dimensionless	R00835	
equilibrium constant	GLH_R02035		12.071183	dimensionless	R02035	
equilibrium constant	PGD_R01528		1014.6252	dimensionless	R01528	
equilibrium constant	RPI_R01056		1.4133056	dimensionless	R01056	
equilibrium constant	RPE_R01529		1.464841	dimensionless	R01529	
equilibrium constant	TXT_R01641		2.3313336	dimensionless	R01641	
equilibrium constant	TAL_R08575		0.39910716	dimensionless	R08575	
equilibrium constant	TXT_R01067		7.5960571	dimensionless	R01067	
equilibrium constant	FBP_R00762		1.5573335	dimensionless	R00762	
equilibrium constant	CSN_R00351		37.534796	dimensionless	R00351	
equilibrium constant	ACN_R01325		0.020707315	dimensionless	R01325	
equilibrium constant	ACN_R01900		13.248982	dimensionless	R01900	
equilibrium constant	ICD_R00709		0.4988797	dimensionless	R00709	
equilibrium constant	KGD_R08549		0.12945056	dimensionless	R08549	
equilibrium constant	SCS_R00405		59.380104	dimensionless	R00405	
equilibrium constant	SDH_R02164		0.80411952	dimensionless	R02164	
equilibrium constant	FUM_R01082		14.291119	dimensionless	R01082	
equilibrium constant	MDH_R00342		0.011794725	dimensionless	R00342	
equilibrium constant	PPC_R00345		8.2183496	dimensionless	R00345	
catalytic rate constant geometric mean	PTS_RPTSsy		160.24612	1/s	RPTSsy	
catalytic rate constant geometric mean	PGI_R02740		198.48134	1/s	R02740	
catalytic rate constant geometric mean	PFK_R04779		401.72198	1/s	R04779	
catalytic rate constant geometric mean	ALD_R01070		245.17788	1/s	R01070	
catalytic rate constant geometric mean	TIM_R01015		7940.6159	1/s	R01015	
catalytic rate constant geometric mean	GAP_R01061		150.05858	1/s	R01061	
catalytic rate constant geometric mean	PGK_R01512		684.8767	1/s	R01512	
catalytic rate constant geometric mean	PGM_R01518		1367.2825	1/s	R01518	
catalytic rate constant geometric mean	PGH_R00658		122.21928	1/s	R00658	
catalytic rate constant geometric mean	PYK_R00200		106.1629	1/s	R00200	
catalytic rate constant geometric mean	PDH_R00209		38.361044	1/s	R00209	
catalytic rate constant geometric mean	ZWF_R00835		1003.2587	1/s	R00835	
catalytic rate constant geometric mean	GLH_R02035		572.83558	1/s	R02035	
catalytic rate constant geometric mean	PGD_R01528		9970.0495	1/s	R01528	
catalytic rate constant geometric mean	RPI_R01056		279.00712	1/s	R01056	
catalytic rate constant geometric mean	RPE_R01529		361.18362	1/s	R01529	
catalytic rate constant geometric mean	TXT_R01641		240.36813	1/s	R01641	
catalytic rate constant geometric mean	TAL_R08575		588.33957	1/s	R08575	
catalytic rate constant geometric mean	TXT_R01067		197.32547	1/s	R01067	
catalytic rate constant geometric mean	FBP_R00762		44.858885	1/s	R00762	
catalytic rate constant geometric mean	CSN_R00351		1799.354	1/s	R00351	
catalytic rate constant geometric mean	ACN_R01325		1888.0905	1/s	R01325	
catalytic rate constant geometric mean	ACN_R01900		1799.0789	1/s	R01900	
catalytic rate constant geometric mean	ICD_R00709		35.495117	1/s	R00709	
catalytic rate constant geometric mean	KGD_R08549		252.42176	1/s	R08549	
catalytic rate constant geometric mean	SCS_R00405		1040.4612	1/s	R00405	
catalytic rate constant geometric mean	SDH_R02164		233.88202	1/s	R02164	
catalytic rate constant geometric mean	FUM_R01082		601.86876	1/s	R01082	
catalytic rate constant geometric mean	MDH_R00342		267.44481	1/s	R00342	
catalytic rate constant geometric mean	PPC_R00345		149.80036	1/s	R00345	
Michaelis constant	FUM_R01082	_S__Malate	0.1423832	mM	R01082	C00149
Michaelis constant	MDH_R00342	_S__Malate	0.12398338	mM	R00342	C00149
Michaelis constant	PDH_R00209	Acetyl_CoA	0.026569546	mM	R00209	C00024
Michaelis constant	CSN_R00351	Acetyl_CoA	0.071726488	mM	R00351	C00024
Michaelis constant	SDH_R02164	Fumarate	0.096278089	mM	R02164	C00122
Michaelis constant	FUM_R01082	Fumarate	0.067256545	mM	R01082	C00122
Michaelis constant	ACN_R01325	cis_Aconitate	0.039513409	mM	R01325	C00417
Michaelis constant	ACN_R01900	cis_Aconitate	0.046100911	mM	R01900	C00417
Michaelis constant	GLH_R02035	_6_Phospho_D_gluconate	0.022681536	mM	R02035	C00345
Michaelis constant	PGD_R01528	_6_Phospho_D_gluconate	0.055922531	mM	R01528	C00345
Michaelis constant	GAP_R01061	Orthophosphate	0.52610554	mM	R01061	C00009
Michaelis constant	FBP_R00762	Orthophosphate	0.25973968	mM	R00762	C00009
Michaelis constant	SCS_R00405	Orthophosphate	0.061749343	mM	R00405	C00009
Michaelis constant	PPC_R00345	Orthophosphate	0.081797407	mM	R00345	C00009
Michaelis constant	PTS_RPTSsy	Pyruvate	0.0224273	mM	RPTSsy	C00022
Michaelis constant	PYK_R00200	Pyruvate	0.19081107	mM	R00200	C00022
Michaelis constant	PDH_R00209	Pyruvate	0.028247179	mM	R00209	C00022
Michaelis constant	ZWF_R00835	NADPplus	0.012795673	mM	R00835	C00006
Michaelis constant	PGD_R01528	NADPplus	0.0048551573	mM	R01528	C00006
Michaelis constant	ZWF_R00835	NADPH	0.0032158035	mM	R00835	C00005
Michaelis constant	PGD_R01528	NADPH	0.03981337	mM	R01528	C00005
Michaelis constant	GAP_R01061	NADH	0.15886306	mM	R01061	C00004
Michaelis constant	PDH_R00209	NADH	0.026621272	mM	R00209	C00004
Michaelis constant	ICD_R00709	NADH	0.29648185	mM	R00709	C00004
Michaelis constant	KGD_R08549	NADH	0.090806991	mM	R08549	C00004
Michaelis constant	MDH_R00342	NADH	0.091054977	mM	R00342	C00004
Michaelis constant	GAP_R01061	NADplus	0.035502994	mM	R01061	C00003
Michaelis constant	PDH_R00209	NADplus	0.37670631	mM	R00209	C00003
Michaelis constant	ICD_R00709	NADplus	0.068040558	mM	R00709	C00003
Michaelis constant	KGD_R08549	NADplus	0.10778061	mM	R08549	C00003
Michaelis constant	MDH_R00342	NADplus	0.10688326	mM	R00342	C00003
Michaelis constant	PFK_R04779	ATP	0.11796101	mM	R04779	C00002
Michaelis constant	PGK_R01512	ATP	0.080694157	mM	R01512	C00002
Michaelis constant	PYK_R00200	ATP	0.20202459	mM	R00200	C00002
Michaelis constant	SCS_R00405	ATP	0.15151093	mM	R00405	C00002
Michaelis constant	ICD_R00709	_2_Oxoglutarate	0.37962521	mM	R00709	C00026
Michaelis constant	KGD_R08549	_2_Oxoglutarate	3.1921088	mM	R08549	C00026
Michaelis constant	CSN_R00351	Oxaloacetate	0.038321891	mM	R00351	C00036
Michaelis constant	MDH_R00342	Oxaloacetate	0.096293399	mM	R00342	C00036
Michaelis constant	PPC_R00345	Oxaloacetate	0.0021780421	mM	R00345	C00036
Michaelis constant	SDH_R02164	Ubiquinone	0.10181697	mM	R02164	C00399
Michaelis constant	TAL_R08575	D_Erythrose_4_phosphate	0.085200379	mM	R08575	C00279
Michaelis constant	TXT_R01067	D_Erythrose_4_phosphate	0.33354046	mM	R01067	C00279
Michaelis constant	SDH_R02164	Ubiquinol	0.096981242	mM	R02164	C00390
Michaelis constant	PFK_R04779	ADP	0.10532312	mM	R04779	C00008
Michaelis constant	PGK_R01512	ADP	1.0459616	mM	R01512	C00008
Michaelis constant	PYK_R00200	ADP	0.25856934	mM	R00200	C00008
Michaelis constant	SCS_R00405	ADP	0.058704485	mM	R00405	C00008
Michaelis constant	ACN_R01900	Isocitrate	0.13668452	mM	R01900	C00311
Michaelis constant	ICD_R00709	Isocitrate	0.93605019	mM	R00709	C00311
Michaelis constant	PGD_R01528	D_Ribulose_5_phosphate	0.10868794	mM	R01528	C00199
Michaelis constant	RPI_R01056	D_Ribulose_5_phosphate	0.11090457	mM	R01056	C00199
Michaelis constant	RPE_R01529	D_Ribulose_5_phosphate	0.09494154	mM	R01529	C00199
Michaelis constant	RPE_R01529	D_Xylulose_5_phosphate	0.10182845	mM	R01529	C00231
Michaelis constant	TXT_R01641	D_Xylulose_5_phosphate	0.25619242	mM	R01641	C00231
Michaelis constant	TXT_R01067	D_Xylulose_5_phosphate	0.25742729	mM	R01067	C00231
Michaelis constant	PTS_RPTSsy	D_Glucose_6_phosphate	0.049734441	mM	RPTSsy	C00092
Michaelis constant	PGI_R02740	D_Glucose_6_phosphate	0.099703753	mM	R02740	C00092
Michaelis constant	ZWF_R00835	D_Glucose_6_phosphate	0.37698762	mM	R00835	C00092
Michaelis constant	GAP_R01061	_3_Phospho_D_glyceroyl_phosphate	0.13560865	mM	R01061	C00236
Michaelis constant	PGK_R01512	_3_Phospho_D_glyceroyl_phosphate	0.012406923	mM	R01512	C00236
Michaelis constant	PDH_R00209	CoA	0.37673533	mM	R00209	C00010
Michaelis constant	CSN_R00351	CoA	0.10515158	mM	R00351	C00010
Michaelis constant	KGD_R08549	CoA	0.1070521	mM	R08549	C00010
Michaelis constant	SCS_R00405	CoA	0.1491905	mM	R00405	C00010
Michaelis constant	PDH_R00209	CO2	0.02658256	mM	R00209	C00011
Michaelis constant	PGD_R01528	CO2	0.10587189	mM	R01528	C00011
Michaelis constant	ICD_R00709	CO2	0.38545608	mM	R00709	C00011
Michaelis constant	KGD_R08549	CO2	0.091798575	mM	R08549	C00011
Michaelis constant	PPC_R00345	CO2	0.1937584	mM	R00345	C00011
Michaelis constant	RPI_R01056	D_Ribose_5_phosphate	1.8137107	mM	R01056	C00117
Michaelis constant	TXT_R01641	D_Ribose_5_phosphate	0.44064033	mM	R01641	C00117
Michaelis constant	ALD_R01070	Glycerone_phosphate	0.1004291	mM	R01070	C00111
Michaelis constant	TIM_R01015	Glycerone_phosphate	1.2124175	mM	R01015	C00111
Michaelis constant	PTS_RPTSsy	D_Glucose	0.17039103	mM	RPTSsy	C00031
Michaelis constant	PFK_R04779	D_Fructose_1_6_bisphosphate	0.11006941	mM	R04779	C00354
Michaelis constant	ALD_R01070	D_Fructose_1_6_bisphosphate	0.09503548	mM	R01070	C00354
Michaelis constant	FBP_R00762	D_Fructose_1_6_bisphosphate	0.036672231	mM	R00762	C00354
Michaelis constant	ALD_R01070	D_Glyceraldehyde_3_phosphate	0.10358574	mM	R01070	C00118
Michaelis constant	TIM_R01015	D_Glyceraldehyde_3_phosphate	0.62869537	mM	R01015	C00118
Michaelis constant	GAP_R01061	D_Glyceraldehyde_3_phosphate	0.086475872	mM	R01061	C00118
Michaelis constant	TXT_R01641	D_Glyceraldehyde_3_phosphate	0.10611229	mM	R01641	C00118
Michaelis constant	TAL_R08575	D_Glyceraldehyde_3_phosphate	0.1060237	mM	R08575	C00118
Michaelis constant	TXT_R01067	D_Glyceraldehyde_3_phosphate	0.1001085	mM	R01067	C00118
Michaelis constant	PTS_RPTSsy	Phosphoenolpyruvate	0.16306597	mM	RPTSsy	C00074
Michaelis constant	PGH_R00658	Phosphoenolpyruvate	0.2325196	mM	R00658	C00074
Michaelis constant	PYK_R00200	Phosphoenolpyruvate	0.31968443	mM	R00200	C00074
Michaelis constant	PPC_R00345	Phosphoenolpyruvate	0.18085114	mM	R00345	C00074
Michaelis constant	CSN_R00351	Citrate	0.12327159	mM	R00351	C00158
Michaelis constant	ACN_R01325	Citrate	0.20636581	mM	R01325	C00158
Michaelis constant	KGD_R08549	Succinyl_CoA	0.091713354	mM	R08549	C00091
Michaelis constant	SCS_R00405	Succinyl_CoA	0.061115681	mM	R00405	C00091
Michaelis constant	PGK_R01512	_3_Phospho_D_glycerate	0.11400016	mM	R01512	C00197
Michaelis constant	PGM_R01518	_3_Phospho_D_glycerate	0.54876804	mM	R01518	C00197
Michaelis constant	ZWF_R00835	D_Glucono_1_5_lactone_6_phosphate	0.056918538	mM	R00835	C01236
Michaelis constant	GLH_R02035	D_Glucono_1_5_lactone_6_phosphate	0.021359003	mM	R02035	C01236
Michaelis constant	PGI_R02740	D_Fructose_6_phosphate	0.10036535	mM	R02740	C00085
Michaelis constant	PFK_R04779	D_Fructose_6_phosphate	0.088640753	mM	R04779	C00085
Michaelis constant	TAL_R08575	D_Fructose_6_phosphate	0.085281487	mM	R08575	C00085
Michaelis constant	TXT_R01067	D_Fructose_6_phosphate	5.4342885	mM	R01067	C00085
Michaelis constant	FBP_R00762	D_Fructose_6_phosphate	0.25465222	mM	R00762	C00085
Michaelis constant	PGM_R01518	_2_Phospho_D_glycerate	0.045804962	mM	R01518	C00631
