!!SBtab TableID='Parameter' TableType='Quantity' TableName='Parameter'						
!QuantityType	!Reaction	!Compound	!Mode	!Unit	!Reaction:Identifiers:kegg.reaction	!Compound:Identifiers:kegg.compound
equilibrium constant	R_EX_etoh_e		1.612	dimensionless	R00197	
equilibrium constant	R_GLYCt		0.5181	dimensionless		
equilibrium constant	R_dtmpSYN		1.383	dimensionless		
equilibrium constant	R_TREH		0.4484	dimensionless		
equilibrium constant	R_EX_pi_e		1.98	dimensionless	R00197	
equilibrium constant	R_ADSK		1.739	dimensionless	R00509	
equilibrium constant	R_PRMICIi		0.9755	dimensionless	R04640	
equilibrium constant	R_ALDD2x		0.3116	dimensionless		
equilibrium constant	R_ALDD2y		0.5307	dimensionless	R00711	
equilibrium constant	R_SUCCt2r		0.7522	dimensionless		
equilibrium constant	R_IPPMIa		1.022	dimensionless	R04001	
equilibrium constant	R_IPPMIb		1.022	dimensionless	R03968	
equilibrium constant	R_EX_o2_e		2.478	dimensionless	R00197	
equilibrium constant	R_biomass		42.96	dimensionless		
equilibrium constant	R_PRPPS		0.5764	dimensionless		
equilibrium constant	R_GHMT2r		0.007054	dimensionless	R00945	
equilibrium constant	R_ANPRT		0.4348	dimensionless	R01073	
equilibrium constant	R_GAPD		0.8427	dimensionless	R01061	
equilibrium constant	R_DHAD2m		3.631	dimensionless	R05070	
equilibrium constant	R_HSERTA		0.6065	dimensionless	R01776	
equilibrium constant	R_IPMD		1.326	dimensionless	R04426	
equilibrium constant	R_SUCOAACTrm		0.8661	dimensionless		
equilibrium constant	R_TKT1		6.59	dimensionless	R01641	
equilibrium constant	R_TKT2		21.23	dimensionless	R01067	
equilibrium constant	R_CO2t		1.527	dimensionless		
equilibrium constant	R_ASADi		6.47	dimensionless	R02291	
equilibrium constant	R_FBA3		0.516	dimensionless	R01829	
equilibrium constant	R_PGCD		84.75	dimensionless	R01513	
equilibrium constant	R_G6PDH2		0.3294	dimensionless		
equilibrium constant	R_OCBTi		0.5902	dimensionless		
equilibrium constant	R_ICL		0.2771	dimensionless	R00479	
equilibrium constant	R_TYRTApyr		4.388	dimensionless	R00734	
equilibrium constant	R_SO4ti		0.6168	dimensionless		
equilibrium constant	R_peSYN		0.99	dimensionless		
equilibrium constant	R_PPAm		0.3582	dimensionless		
equilibrium constant	R_DHQS		1.969	dimensionless	R03083	
equilibrium constant	R_FUM		5.736	dimensionless	R01082	
equilibrium constant	R_HSDyi		63.83	dimensionless	R01775	
equilibrium constant	R_ACGKm		0.3497	dimensionless	R02649	
equilibrium constant	R_OMCDC		0.9772	dimensionless	R01652	
equilibrium constant	R_FDH		1.466	dimensionless	R00519	
equilibrium constant	R_EX_acald_e		2.294	dimensionless	R00197	
equilibrium constant	R_NADK		0.1852	dimensionless	R00104	
equilibrium constant	R_H2Ot		1	dimensionless		
equilibrium constant	R_ACALDtex		1.03	dimensionless		
equilibrium constant	R_SADT		0.4013	dimensionless	R00529	
equilibrium constant	R_DHQTi		1.856	dimensionless	R03084	
equilibrium constant	R_OAAt2m		1.094	dimensionless		
equilibrium constant	R_PFK_3		0.6038	dimensionless	R01843	
equilibrium constant	R_ADK1		2.818	dimensionless		
equilibrium constant	R_VALTA		0.1565	dimensionless	R01214	
equilibrium constant	R_BPNT		1.023	dimensionless	R00188	
equilibrium constant	R_ampSYN		0.4285	dimensionless		
equilibrium constant	R_PHETA1		0.001031	dimensionless	R00694	
equilibrium constant	R_ORNt3m		0.9808	dimensionless		
equilibrium constant	R_CYOOm		6.992	dimensionless	R00081	
equilibrium constant	R_IGPS		6.692	dimensionless	R03508	
equilibrium constant	R_ATPS3m		1.18	dimensionless		
equilibrium constant	R_PDHm		0.3389	dimensionless	R00209	
equilibrium constant	R_RPE		0.05677	dimensionless	R01529	
equilibrium constant	R_THRS		0.7569	dimensionless	R01466	
equilibrium constant	R_ETOHtm		0.6362	dimensionless	R00754	
equilibrium constant	R_P5CR		2.152	dimensionless		
equilibrium constant	R_RPI		8.033	dimensionless	R01056	
equilibrium constant	R_THRA		12.39	dimensionless	R00751	
equilibrium constant	R_ACS		1.723	dimensionless	R00235	
equilibrium constant	R_NADHKm		0.6021	dimensionless	R00105	
equilibrium constant	R_IPPS		0.09054	dimensionless	R01213	
equilibrium constant	R_dgmpSYN		1.657	dimensionless		
equilibrium constant	R_CITtcm		0.9693	dimensionless		
equilibrium constant	R_CSc		0.004796	dimensionless	R00351	
equilibrium constant	R_ILETA		0.1802	dimensionless	R02199	
equilibrium constant	R_PGM		109.8	dimensionless	R01518	
equilibrium constant	R_PGL		0.8234	dimensionless	R02035	
equilibrium constant	R_PGK		0.001537	dimensionless	R01512	
equilibrium constant	R_eleak		2.791	dimensionless		
equilibrium constant	R_PGI		0.77	dimensionless		
equilibrium constant	R_GLNt2m		1.248	dimensionless		
equilibrium constant	R_ADK1m		0.903	dimensionless		
equilibrium constant	R_ORNTACim		0.9795	dimensionless		
equilibrium constant	R_PC		0.1188	dimensionless	R00344	
equilibrium constant	R_SACCD1		6.688	dimensionless	R02315	
equilibrium constant	R_TRPS1		0.9749	dimensionless		
equilibrium constant	R_ACt2r		1.225	dimensionless		
equilibrium constant	R_ALATA_L		17.57	dimensionless	R00258	
equilibrium constant	R_ATPS		0.2075	dimensionless		
equilibrium constant	R_ATPM		0.2586	dimensionless		
equilibrium constant	R_ACtm		0.4548	dimensionless		
equilibrium constant	R_ACOTAim		20.13	dimensionless	R02283	
equilibrium constant	R_3MOPtm		1.023	dimensionless		
equilibrium constant	R_pcSYN		0.2498	dimensionless		
equilibrium constant	R_PAPSR		0.2329	dimensionless		
equilibrium constant	R_FBP		1.088	dimensionless	R00762	
equilibrium constant	R_ACHBSm		1.611	dimensionless	R08648	
equilibrium constant	R_eleakm		2.72	dimensionless		
equilibrium constant	R_ASPKi		0.07161	dimensionless	R00480	
equilibrium constant	R_cmpSYN		0.4901	dimensionless		
equilibrium constant	R_GLUDym		0.2678	dimensionless		
equilibrium constant	R_IGPDH		0.7314	dimensionless	R03457	
equilibrium constant	R_CO2tm		0.2919	dimensionless		
equilibrium constant	R_OXAGm		0.9708	dimensionless		
equilibrium constant	R_G3PDm		0.1449	dimensionless		
equilibrium constant	R_13GS		0.7848	dimensionless	R03118	
equilibrium constant	R_HCITS		1.013	dimensionless	R00271	
equilibrium constant	R_DHAD1m		0.9588	dimensionless	R04441	
equilibrium constant	R_HCO3Em		0.5382	dimensionless		
equilibrium constant	R_FBA		0.7984	dimensionless	R01070	
equilibrium constant	R_SHKK		0.1819	dimensionless	R02412	
equilibrium constant	R_THRD_Lm		0.536	dimensionless		
equilibrium constant	R_SHK3D		10.16	dimensionless	R02413	
equilibrium constant	R_GAAtm		0.92	dimensionless		
equilibrium constant	R_triglycSYN		1.38	dimensionless		
equilibrium constant	R_MALtm		0.6063	dimensionless		
equilibrium constant	R_IG3PS		0.3856	dimensionless	R04558	
equilibrium constant	R_TRE6PP		0.6737	dimensionless	R02778	
equilibrium constant	R_ETOHt		0.7469	dimensionless	R00754	
equilibrium constant	R_GLUDy		0.9538	dimensionless		
equilibrium constant	R_FUMm		2.199	dimensionless	R01082	
equilibrium constant	R_HCITtm		0.969	dimensionless		
equilibrium constant	R_HCO3E		0.718	dimensionless		
equilibrium constant	R_SUCCtm		1.225	dimensionless	R00405	
equilibrium constant	R_H2Otm		1	dimensionless		
equilibrium constant	R_PYRt2m		0.6176	dimensionless		
equilibrium constant	R_ptd1inoSYN		0.7474	dimensionless		
equilibrium constant	R_EX_glyc_e		1.207	dimensionless	R00197	
equilibrium constant	R_HISTD		1.201	dimensionless	R01158	
equilibrium constant	R_PRAMPC		34.91	dimensionless	R04037	
equilibrium constant	R_ALCD2x		0.3372	dimensionless	R00754	
equilibrium constant	R_CSm		0.2974	dimensionless		
equilibrium constant	R_G5SADr		0.5273	dimensionless		
equilibrium constant	R_umpSYN		0.3822	dimensionless		
equilibrium constant	R_ASPTAm		1.595	dimensionless	R00355	
equilibrium constant	R_GLXtm		1.749	dimensionless		
equilibrium constant	R_PPND2		0.7624	dimensionless	R01730	
equilibrium constant	R_MCITDm		0.97	dimensionless	R03444	
equilibrium constant	R_GLUDxi		0.56	dimensionless		
equilibrium constant	R_CITtam		0.9613	dimensionless		
equilibrium constant	R_GLUt2m		1.781	dimensionless		
equilibrium constant	R_CBPS		0.07348	dimensionless	R00575	
equilibrium constant	R_GLUSxm		1.504	dimensionless	R00093	
equilibrium constant	R_PYRDC		0.8631	dimensionless	R00224	
equilibrium constant	R_ICDHxm		0.8092	dimensionless	R00709	
equilibrium constant	R_3MOBtm		1.043	dimensionless		
equilibrium constant	R_FTHFL		2.505	dimensionless	R00943	
equilibrium constant	R_CYOR_u6m		0.8818	dimensionless		
equilibrium constant	R_ALCD2y		0.5742	dimensionless	R00711	
equilibrium constant	R_paSYN		1.355	dimensionless		
equilibrium constant	R_psSYN		0.9843	dimensionless		
equilibrium constant	R_EX_pyr_e		1.572	dimensionless	R00197	
equilibrium constant	R_PSERT		0.1229	dimensionless	R04173	
equilibrium constant	R_EX_h_e		2.314	dimensionless	R00197	
equilibrium constant	R_G5SD		3.636	dimensionless	R03313	
equilibrium constant	R_GLYK		0.7442	dimensionless	R00847	
equilibrium constant	R_ANS		0.4506	dimensionless	R00986	
equilibrium constant	R_LEUTA		0.6052	dimensionless	R01090	
equilibrium constant	R_HSTPT		165.5	dimensionless	R03243	
equilibrium constant	R_NADHK		0.3155	dimensionless	R00105	
equilibrium constant	R_O2t		0.8942	dimensionless		
equilibrium constant	R_ALCD2m		0.8175	dimensionless	R00754	
equilibrium constant	R_O2tm		0.9548	dimensionless		
equilibrium constant	R_TALA		1.642	dimensionless		
equilibrium constant	R_HISTP		0.09641	dimensionless	R03013	
equilibrium constant	R_H2St		0.6594	dimensionless		
equilibrium constant	R_EX_glc_D_e		2.762	dimensionless	R00197	
equilibrium constant	R_h_exportm		1.064	dimensionless	R00197	
equilibrium constant	R_EX_co2_e		1.502	dimensionless	R00197	
equilibrium constant	R_h_exportc		1.857	dimensionless	R00197	
equilibrium constant	R_PSCVTi		0.2237	dimensionless	R03460	
equilibrium constant	R_GLU5K		0.109	dimensionless	R00239	
equilibrium constant	R_2OXOADPtim		0.2155	dimensionless	R01939	
equilibrium constant	R_AGPRim		0.9779	dimensionless	R03443	
equilibrium constant	R_ACONT		1.117	dimensionless	R01324	
equilibrium constant	R_HEX1		0.2579	dimensionless		
equilibrium constant	R_EX_ac_e		1.846	dimensionless	R00197	
equilibrium constant	R_PPNDH		1.097	dimensionless	R01373	
equilibrium constant	R_GLCP		1.062	dimensionless		
equilibrium constant	R_NADKm		0.605	dimensionless	R00104	
equilibrium constant	R_PFK		0.2376	dimensionless	R00756	
equilibrium constant	R_HICITDm		0.5846	dimensionless		
equilibrium constant	R_dampSYN		1.658	dimensionless		
equilibrium constant	R_EX_h2o_e		1	dimensionless	R00197	
equilibrium constant	R_NH4t		0.5439	dimensionless		
equilibrium constant	R_ergstSYN		1.24	dimensionless		
equilibrium constant	R_SBP		0.4282	dimensionless	R01845	
equilibrium constant	R_EX_h2s_e		1.512	dimensionless	R00197	
equilibrium constant	R_AGTm		0.2323	dimensionless	R00369	
equilibrium constant	R_ME1m		0.1258	dimensionless	R00214	
equilibrium constant	R_ALDD2xm		0.4946	dimensionless		
equilibrium constant	R_HACNHm		0.9711	dimensionless	R04371	
equilibrium constant	R_ACONTm		1.152	dimensionless	R01324	
equilibrium constant	R_DDPA		0.6694	dimensionless	R01826	
equilibrium constant	R_SUCFUMtm		0.7747	dimensionless		
equilibrium constant	R_ALAt2m		0.453	dimensionless		
equilibrium constant	R_ACLSm		1.458	dimensionless	R00006	
equilibrium constant	R_ICDHy		12.07	dimensionless	R00267	
equilibrium constant	R_NADH2_u6cm		4.486	dimensionless		
equilibrium constant	R_TREt2		0.7004	dimensionless		
equilibrium constant	R_UMPK		0.3573	dimensionless	R00158	
equilibrium constant	R_mannanSYN		0.5895	dimensionless		
equilibrium constant	R_AASAD1		0.9722	dimensionless		
equilibrium constant	R_ACOAHm		0.5228	dimensionless	R00227	
equilibrium constant	R_PSP_L		0.2496	dimensionless	R00582	
equilibrium constant	R_HSK		0.2053	dimensionless	R01771	
equilibrium constant	R_GLCS2		0.1795	dimensionless		
equilibrium constant	R_MTHFR3		3.415	dimensionless	R01224	
equilibrium constant	R_EX_tre_e		3.03	dimensionless	R00197	
equilibrium constant	R_aicarSYN		0.6957	dimensionless		
equilibrium constant	R_AKGDam		0.5741	dimensionless	R01197	
equilibrium constant	R_TPI		1.001	dimensionless	R01015	
equilibrium constant	R_ARGSSr		0.279	dimensionless	R01954	
equilibrium constant	R_PYRt2		1.455	dimensionless		
equilibrium constant	R_NH4tm		1.414	dimensionless		
equilibrium constant	R_CITttm		0.4011	dimensionless		
equilibrium constant	R_gmpSYN		0.6904	dimensionless	R01231	
equilibrium constant	R_CYSTGL		0.3206	dimensionless		
equilibrium constant	R_ASPTA		0.9538	dimensionless	R00355	
equilibrium constant	R_CHORM		7.287	dimensionless	R01715	
equilibrium constant	R_CYSTS		0.008928	dimensionless	R01290	
equilibrium constant	R_ALDD2ym		0.4922	dimensionless	R00711	
equilibrium constant	R_MTHFD		0.3027	dimensionless		
equilibrium constant	R_MTHFC		0.6056	dimensionless	R01655	
equilibrium constant	R_NDPK2		1.786	dimensionless	R00156	
equilibrium constant	R_ACALDtm		0.8783	dimensionless		
equilibrium constant	R_PPCK		1.186	dimensionless	R00341	
equilibrium constant	R_G3PD1ir		30.97	dimensionless	R00842	
equilibrium constant	R_EX_nh4_e		3.946	dimensionless		
equilibrium constant	R_ASNS1		0.04324	dimensionless	R00578	
equilibrium constant	R_ARGSL		1.4	dimensionless	R01086	
equilibrium constant	R_THRt2m		0.9969	dimensionless		
equilibrium constant	R_ATPtm_H		1.024	dimensionless		
equilibrium constant	R_TRE6PS		0.6326	dimensionless		
equilibrium constant	R_MALS		0.3773	dimensionless	R00472	
equilibrium constant	R_MDH		0.2047	dimensionless	R00342	
equilibrium constant	R_KARA1im		1.581	dimensionless		
equilibrium constant	R_METS		3.007	dimensionless	R00946	
equilibrium constant	R_MDHm		0.2518	dimensionless	R00342	
equilibrium constant	R_PYK		2.556	dimensionless	R00200	
equilibrium constant	R_PIt2m		1.475	dimensionless		
equilibrium constant	R_CHORS		0.7887	dimensionless	R01714	
equilibrium constant	R_PPA		0.5413	dimensionless		
equilibrium constant	R_AATA		0.9739	dimensionless	R01939	
equilibrium constant	R_PRAIi		1.917	dimensionless	R03509	
equilibrium constant	R_PGMT		0.9982	dimensionless		
equilibrium constant	R_NADH2_u6m		2.555	dimensionless		
equilibrium constant	R_ALATA_Lm		4.354	dimensionless	R00258	
equilibrium constant	R_ENO		0.5347	dimensionless	R00658	
equilibrium constant	R_PIt2r		1.15	dimensionless		
equilibrium constant	R_ATPPRT		0.03469	dimensionless	R01071	
equilibrium constant	R_2OBUTtm		0.9783	dimensionless	R08648	
equilibrium constant	R_GLYt2m		0.5726	dimensionless		
equilibrium constant	R_KARA2im		1.612	dimensionless		
equilibrium constant	R_TYRTA		0.2497	dimensionless	R00734	
equilibrium constant	R_dcmpSYN		1.659	dimensionless		
equilibrium constant	R_SACCD2		0.02807	dimensionless	R00715	
equilibrium constant	R_SUCOAS1m		0.863	dimensionless	R00405	
equilibrium constant	R_GLNS		0.7382	dimensionless		
equilibrium constant	R_EX_succ_e		2.85	dimensionless	R00197	
equilibrium constant	R_zymstSYN		0.54	dimensionless		
equilibrium constant	R_GND		3.081	dimensionless	R01528	
equilibrium constant	R_PHETA1pyr		0.01812	dimensionless	R00694	
equilibrium constant	R_ICDHym		0.8053	dimensionless	R00267	
equilibrium constant	R_PRATPP		0.3203	dimensionless	R04035	
equilibrium constant	R_SULR		1.015	dimensionless		
equilibrium constant	R_G3PT		0.3474	dimensionless	R00841	
equilibrium constant	R_GLCt1		0.7964	dimensionless		
equilibrium constant	R_EX_so4_e		3.507	dimensionless	R00197	
equilibrium constant	R_SUCD2_u6m		1.828	dimensionless		
equilibrium constant	R_GALU		1.404	dimensionless	R00289	
equilibrium constant	R_ACSm		0.903	dimensionless	R00235	
equilibrium constant	R_AHSERL2		0.2243	dimensionless	R01287	
catalytic rate constant geometric mean	R_EX_etoh_e		354.4	1/s	R00197	
catalytic rate constant geometric mean	R_GLYCt		200	1/s		
catalytic rate constant geometric mean	R_dtmpSYN		200	1/s		
catalytic rate constant geometric mean	R_TREH		200	1/s		
catalytic rate constant geometric mean	R_EX_pi_e		200	1/s	R00197	
catalytic rate constant geometric mean	R_ADSK		54.18	1/s	R00509	
catalytic rate constant geometric mean	R_PRMICIi		200	1/s	R04640	
catalytic rate constant geometric mean	R_ALDD2x		200	1/s		
catalytic rate constant geometric mean	R_ALDD2y		144.4	1/s	R00711	
catalytic rate constant geometric mean	R_SUCCt2r		200	1/s		
catalytic rate constant geometric mean	R_IPPMIa		200	1/s	R04001	
catalytic rate constant geometric mean	R_IPPMIb		200	1/s	R03968	
catalytic rate constant geometric mean	R_EX_o2_e		200	1/s	R00197	
catalytic rate constant geometric mean	R_biomass		200	1/s		
catalytic rate constant geometric mean	R_PRPPS		200	1/s		
catalytic rate constant geometric mean	R_GHMT2r		15.25	1/s	R00945	
catalytic rate constant geometric mean	R_ANPRT		25.1	1/s	R01073	
catalytic rate constant geometric mean	R_GAPD		110.3	1/s	R01061	
catalytic rate constant geometric mean	R_DHAD2m		38.38	1/s	R05070	
catalytic rate constant geometric mean	R_HSERTA		27.83	1/s	R01776	
catalytic rate constant geometric mean	R_IPMD		81.23	1/s	R04426	
catalytic rate constant geometric mean	R_SUCOAACTrm		200	1/s		
catalytic rate constant geometric mean	R_TKT1		177	1/s	R01641	
catalytic rate constant geometric mean	R_TKT2		307.5	1/s	R01067	
catalytic rate constant geometric mean	R_CO2t		200	1/s		
catalytic rate constant geometric mean	R_ASADi		124.6	1/s	R02291	
catalytic rate constant geometric mean	R_FBA3		200	1/s	R01829	
catalytic rate constant geometric mean	R_PGCD		129.1	1/s	R01513	
catalytic rate constant geometric mean	R_G6PDH2		200	1/s		
catalytic rate constant geometric mean	R_OCBTi		200	1/s		
catalytic rate constant geometric mean	R_ICL		341.4	1/s	R00479	
catalytic rate constant geometric mean	R_TYRTApyr		183.3	1/s	R00734	
catalytic rate constant geometric mean	R_SO4ti		200	1/s		
catalytic rate constant geometric mean	R_peSYN		200	1/s		
catalytic rate constant geometric mean	R_PPAm		200	1/s		
catalytic rate constant geometric mean	R_DHQS		62.66	1/s	R03083	
catalytic rate constant geometric mean	R_FUM		395.9	1/s	R01082	
catalytic rate constant geometric mean	R_HSDyi		26.16	1/s	R01775	
catalytic rate constant geometric mean	R_ACGKm		200	1/s	R02649	
catalytic rate constant geometric mean	R_OMCDC		200	1/s	R01652	
catalytic rate constant geometric mean	R_FDH		31.1	1/s	R00519	
catalytic rate constant geometric mean	R_EX_acald_e		200	1/s	R00197	
catalytic rate constant geometric mean	R_NADK		348.1	1/s	R00104	
catalytic rate constant geometric mean	R_H2Ot		200	1/s		
catalytic rate constant geometric mean	R_ACALDtex		200	1/s		
catalytic rate constant geometric mean	R_SADT		22.09	1/s	R00529	
catalytic rate constant geometric mean	R_DHQTi		83.83	1/s	R03084	
