!!SBtab Document='e_coli_noor_2016_glucose' TableName='Parameter' TableType='Quantity' SBtabVersion='1.0' Date='2019-06-10'						
!QuantityType	!Reaction	!Compound	!Mode	!Unit	!Reaction:Identifiers:kegg.reaction	!Compound:Identifiers:kegg.compound
equilibrium constant	PTS_RPTSsy		0.003191	dimensionless	RPTSsy	
equilibrium constant	PGI_R02740		0.401	dimensionless	R02740	
equilibrium constant	PFK_R04779		0.7948	dimensionless	R04779	
equilibrium constant	ALD_R01070		0.2131	dimensionless	R01070	
equilibrium constant	TIM_R01015		0.9059	dimensionless	R01015	
equilibrium constant	GAP_R01061		0.4785	dimensionless	R01061	
equilibrium constant	PGK_R01512		190.6	dimensionless	R01512	
equilibrium constant	PGM_R01518		1.318	dimensionless	R01518	
equilibrium constant	PGH_R00658		0.1449	dimensionless	R00658	
equilibrium constant	PYK_R00200		0.1133	dimensionless	R00200	
equilibrium constant	PDH_R00209		306.6	dimensionless	R00209	
equilibrium constant	ZWF_R00835		0.296	dimensionless	R00835	
equilibrium constant	GLH_R02035		1.265	dimensionless	R02035	
equilibrium constant	PGD_R01528		10.32	dimensionless	R01528	
equilibrium constant	RPI_R01056		0.9778	dimensionless	R01056	
equilibrium constant	RPE_R01529		0.8036	dimensionless	R01529	
equilibrium constant	TXT_R01641		2.184	dimensionless	R01641	
equilibrium constant	TAL_R08575		0.005063	dimensionless	R08575	
equilibrium constant	TXT_R01067		7.692	dimensionless	R01067	
equilibrium constant	FBP_R00762		1.38	dimensionless	R00762	
equilibrium constant	CSN_R00351		0.07088	dimensionless	R00351	
equilibrium constant	ACN_R01325		0.0001257	dimensionless	R01325	
equilibrium constant	ACN_R01900		0.02646	dimensionless	R01900	
equilibrium constant	ICD_R00709		0.2537	dimensionless	R00709	
equilibrium constant	KGD_R08549		0.1265	dimensionless	R08549	
equilibrium constant	SCS_R00405		15.9	dimensionless	R00405	
equilibrium constant	SDH_R02164		0.7906	dimensionless	R02164	
equilibrium constant	FUM_R01082		8.655	dimensionless	R01082	
equilibrium constant	MDH_R00342		0.003777	dimensionless	R00342	
equilibrium constant	PPC_R00345		0.1369	dimensionless	R00345	
catalytic rate constant geometric mean	PTS_RPTSsy		99.52	1/s	RPTSsy	
catalytic rate constant geometric mean	PGI_R02740		200	1/s	R02740	
catalytic rate constant geometric mean	PFK_R04779		200	1/s	R04779	
catalytic rate constant geometric mean	ALD_R01070		200	1/s	R01070	
catalytic rate constant geometric mean	TIM_R01015		8889	1/s	R01015	
catalytic rate constant geometric mean	GAP_R01061		360.7	1/s	R01061	
catalytic rate constant geometric mean	PGK_R01512		735	1/s	R01512	
catalytic rate constant geometric mean	PGM_R01518		117.5	1/s	R01518	
catalytic rate constant geometric mean	PGH_R00658		204.4	1/s	R00658	
catalytic rate constant geometric mean	PYK_R00200		198.2	1/s	R00200	
catalytic rate constant geometric mean	PDH_R00209		36.62	1/s	R00209	
catalytic rate constant geometric mean	ZWF_R00835		242	1/s	R00835	
catalytic rate constant geometric mean	GLH_R02035		1655	1/s	R02035	
catalytic rate constant geometric mean	PGD_R01528		200	1/s	R01528	
catalytic rate constant geometric mean	RPI_R01056		200	1/s	R01056	
catalytic rate constant geometric mean	RPE_R01529		200	1/s	R01529	
catalytic rate constant geometric mean	TXT_R01641		200	1/s	R01641	
catalytic rate constant geometric mean	TAL_R08575		200	1/s	R08575	
