!!SBtab Document='e_coli_davidi_2016' TableName='Parameter' TableType='Quantity' SBtabVersion='1.0' Date='2019-06-11'						
!QuantityType	!Reaction	!Compound	!Value	!Unit	!Reaction:Identifiers:kegg.reaction	!Compound:Identifiers:kegg.compound
equilibrium constant	PTS_RPTSsy		2.1489944	dimensionless	RPTSsy	
equilibrium constant	PGI_R02740		0.46087978	dimensionless	R02740	
equilibrium constant	PFK_R04779		2.1336942	dimensionless	R04779	
equilibrium constant	ALD_R01070		0.42035607	dimensionless	R01070	
equilibrium constant	TIM_R01015		3.8663821	dimensionless	R01015	
equilibrium constant	GAP_R01061		0.15273793	dimensionless	R01061	
equilibrium constant	PGK_R01512		38.13132	dimensionless	R01512	
equilibrium constant	PGM_R01518		3.8901545	dimensionless	R01518	
equilibrium constant	PGH_R00658		1.4899601	dimensionless	R00658	
equilibrium constant	PYK_R00200		6.2290989	dimensionless	R00200	
equilibrium constant	PDH_R00209		83.81939	dimensionless	R00209	
equilibrium constant	ZWF_R00835		525.21508	dimensionless	R00835	
equilibrium constant	GLH_R02035		12.592857	dimensionless	R02035	
equilibrium constant	PGD_R01528		1031.851	dimensionless	R01528	
equilibrium constant	RPI_R01056		1.2443193	dimensionless	R01056	
equilibrium constant	RPE_R01529		1.5980689	dimensionless	R01529	
equilibrium constant	TXT_R01641		3.1858147	dimensionless	R01641	
equilibrium constant	TAL_R08575		0.41870591	dimensionless	R08575	
equilibrium constant	TXT_R01067		4.3231354	dimensionless	R01067	
equilibrium constant	FBP_R00762		2.9856497	dimensionless	R00762	
equilibrium constant	CSN_R00351		30.180376	dimensionless	R00351	
equilibrium constant	ACN_R01325		0.027566562	dimensionless	R01325	
equilibrium constant	ACN_R01900		12.54173	dimensionless	R01900	
equilibrium constant	ICD_R00709		0.73856658	dimensionless	R00709	
equilibrium constant	KGD_R08549		0.27929883	dimensionless	R08549	
equilibrium constant	SCS_R00405		51.372382	dimensionless	R00405	
equilibrium constant	SDH_R02164		0.84676084	dimensionless	R02164	
equilibrium constant	FUM_R01082		14.237392	dimensionless	R01082	
equilibrium constant	MDH_R00342		0.015989075	dimensionless	R00342	
equilibrium constant	PPC_R00345		4.2144047	dimensionless	R00345	
catalytic rate constant geometric mean	PTS_RPTSsy		170.44048	1/s	RPTSsy	
catalytic rate constant geometric mean	PGI_R02740		199.95149	1/s	R02740	
catalytic rate constant geometric mean	PFK_R04779		208.53077	1/s	R04779	
catalytic rate constant geometric mean	ALD_R01070		199.93114	1/s	R01070	
catalytic rate constant geometric mean	TIM_R01015		7845.0141	1/s	R01015	
catalytic rate constant geometric mean	GAP_R01061		156.72128	1/s	R01061	
catalytic rate constant geometric mean	PGK_R01512		670.93453	1/s	R01512	
catalytic rate constant geometric mean	PGM_R01518		119.4256	1/s	R01518	
catalytic rate constant geometric mean	PGH_R00658		241.17823	1/s	R00658	
catalytic rate constant geometric mean	PYK_R00200		284.41725	1/s	R00200	
catalytic rate constant geometric mean	PDH_R00209		38.56504	1/s	R00209	
catalytic rate constant geometric mean	ZWF_R00835		942.76777	1/s	R00835	
catalytic rate constant geometric mean	GLH_R02035		1653.6351	1/s	R02035	
catalytic rate constant geometric mean	PGD_R01528		1674.8921	1/s	R01528	
catalytic rate constant geometric mean	RPI_R01056		206.31319	1/s	R01056	
catalytic rate constant geometric mean	RPE_R01529		207.08868	1/s	R01529	
catalytic rate constant geometric mean	TXT_R01641		199.96009	1/s	R01641	
