!!!SBtab									
									
!!SBtab TableID='MetaboliteConcentration' TableType='QuantityMatrix'									
!Compound	!Identifiers:kegg.compound	!QuantityType	!Unit	!G1	!G1S	!earlyS	!lateS	!G2	!M
M_accoa_m	C00024	concentration	mM	1.1419703	1.2318594	1.1149288	0.80644998	0.81835409	0.96609133
M_accoa_c	C00024	concentration	mM	1.1419703	1.2318594	1.1149288	0.80644998	0.81835409	0.96609133
M_adp_m	C00008	concentration	mM	NaN	NaN	NaN	NaN	NaN	NaN
M_akg_m	C00026	concentration	mM	0.94077771	0.89482331	1.025539	1.077728	1.0558195	1.0179458
M_asp_L_c	C00049	concentration	mM	0.88020443	0.89810248	1.0545682	1.1697248	1.0648401	0.96304769
AspartateSink		concentration	mM	NaN	NaN	NaN	NaN	NaN	NaN
M_atp_m	C00002	concentration	mM	0.98716508	1.089116	1.1300586	0.98281818	0.91208096	0.91818156
M_cit_m	C00158	concentration	mM	1.1711159	1.2130163	1.0200437	0.73163379	0.9100817	1.0364315
M_co2_m	C00011	concentration	mM	NaN	NaN	NaN	NaN	NaN	NaN
M_coa_m	C00010	concentration	mM	NaN	NaN	NaN	NaN	NaN	NaN
M_coa_c	C00010	concentration	mM	NaN	NaN	NaN	NaN	NaN	NaN
M_fum_m	C00122	concentration	mM	NaN	NaN	NaN	NaN	NaN	NaN
M_glu_L_m	C00025	concentration	mM	0.98420354	1.0795331	1.113098	1.0091695	0.91561935	0.91509607
Glutamine	C00064	concentration	mM	NaN	NaN	NaN	NaN	NaN	NaN
Glutamine_ex	C00064	concentration	mM	NaN	NaN	NaN	NaN	NaN	NaN
M_hco3_m	C00288	concentration	mM	NaN	NaN	NaN	NaN	NaN	NaN
M_icit_m	C00311	concentration	mM	NaN	NaN	NaN	NaN	NaN	NaN
M_mal_L_m	C00149	concentration	mM	0.92235956	0.76198893	1.0021181	1.1449792	1.1419958	1.0858506
M_nad_m	C00003	concentration	mM	0.99275461	1.0956207	1.0842501	0.99846026	0.93286524	0.91037157
M_nadh_m	C00004	concentration	mM	1.1665634	1.2519267	1.0635735	0.86721792	0.82996048	0.89445725
M_nadp_m	C00006	concentration	mM	1.2599061	1.5705495	1.2148696	0.8039028	0.68122882	0.75959833
M_nadph_m	C00005	concentration	mM	NaN	NaN	NaN	NaN	NaN	NaN
M_nh4_m	C00014	concentration	mM	NaN	NaN	NaN	NaN	NaN	NaN
M_oaa_m	C00036	concentration	mM	NaN	NaN	NaN	NaN	NaN	NaN
M_oaa_c	C00036	concentration	mM	NaN	NaN	NaN	NaN	NaN	NaN
M_pi_m	C00009	concentration	mM	NaN	NaN	NaN	NaN	NaN	NaN
Purines		concentration	mM	NaN	NaN	NaN	NaN	NaN	NaN
Pyrimidines		concentration	mM	NaN	NaN	NaN	NaN	NaN	NaN
M_pyr_m	C00022	concentration	mM	NaN	NaN	NaN	NaN	NaN	NaN
M_q6_m	C17568	concentration	mM	NaN	NaN	NaN	NaN	NaN	NaN
M_q6h2_m	C00390	concentration	mM	NaN	NaN	NaN	NaN	NaN	NaN
M_succ_m	C00042	concentration	mM	NaN	NaN	NaN	NaN	NaN	NaN
M_succoa_m	C00091	concentration	mM	NaN	NaN	NaN	NaN	NaN	NaN
									
!!SBtab TableID='ReactionFlux' TableType='QuantityMatrix'									
!Reaction	!Identifiers:kegg.reaction	!QuantityType	!Unit	!G1	!G1S	!earlyS	!lateS	!G2	!M
GLI_GLUNim		rate of reaction	mM/s	0.0043235322	0.004333042	0.0056920493	0.0066548385	0.0058976699	0.0050067163
GTS_GLTEsy		rate of reaction	mM/s	0.0043235322	0.004333042	0.0056920493	0.0066548385	0.0058976699	0.0050067163
R_GLUDym		rate of reaction	mM/s	0.0043235322	0.004333042	0.0056920493	0.0066548385	0.0058976699	0.0050067163
R_AKGDam	R01197	rate of reaction	mM/s	0.0051555941	0.0052049916	0.006203798	0.0069900234	0.0063152853	0.0056474996
R_SUCOAS1m	R00405	rate of reaction	mM/s	0.0051555941	0.0052049916	0.006203798	0.0069900234	0.0063152853	0.0056474996
R_SUCD2_u6m		rate of reaction	mM/s	0.0051555941	0.0052049916	0.006203798	0.0069900234	0.0063152853	0.0056474996
R_FUMm	R01082	rate of reaction	mM/s	0.0051555941	0.0052049916	0.006203798	0.0069900234	0.0063152853	0.0056474996
R_MDHm	R00342	rate of reaction	mM/s	0.0033388296	0.0028424174	0.0038276099	0.004412883	0.0039980415	0.0039249416
R_CSm		rate of reaction	mM/s	0.00089168594	0.0011544427	0.00089361095	0.00048414315	0.00053230712	0.00064078333
R_ACL		rate of reaction	mM/s	5.9624058e-05	0.00028249311	0.00038186229	0.00014895817	0.00011469171	0
R_ACONTm	R01324	rate of reaction	mM/s	0.00083206188	0.00087194958	0.00051174867	0.00033518498	0.00041761541	0.00064078333
R_ICDHym	R00267	rate of reaction	mM/s	0.00017672424	0.00020060796	0.00019486797	0.00013859384	0.00014819481	0.00015733067
R_ICDHxm	R00709	rate of reaction	mM/s	0.0010087861	0.0010725575	0.00070661664	0.00047377882	0.00056581022	0.000798114
ASS_ASPAsy		rate of reaction	mM/s	0.0028561374	0.0020717372	0.0033085082	0.0043443393	0.0038841922	0.0037034696
ASC_ASPAcons		rate of reaction	mM/s	0.0025180714	0.0017036149	0.0028177044	0.0038339162	0.0035118531	0.0033654026
PYS_PYRIsy		rate of reaction	mM/s	0.00033806601	0.0003681223	0.00049080377	0.0005104231	0.00037233908	0.00033806704
R_PC	R00344	rate of reaction	mM/s	0.0004089938	0.00038376247	0.00037450916	0.00041559945	0.00041845781	0.00041931129
