!!SBtab TableID='ParameterData' TableType='Quantity'										
!QuantityType	!Compound	!Reaction	!Unit	!Median	!Mean	!Std	!Lower	!Upper	!Compound:Identifiers:kegg.compound	!Reaction:Identifiers:kegg.reaction
Michaelis constant	_S__Malate	FUM_R01082	mM	1.1086769	NaN	NaN	NaN	NaN		
Michaelis constant	_S__Malate	MDH_R00342	mM	0.050475407	NaN	NaN	NaN	NaN		
Michaelis constant	Acetyl_CoA	PDH_R00209	mM	0.23000725	NaN	NaN	NaN	NaN		
Michaelis constant	Acetyl_CoA	CSN_R00351	mM	0.16593801	NaN	NaN	NaN	NaN		
Michaelis constant	Fumarate	SDH_R02164	mM	0.34732165	NaN	NaN	NaN	NaN		
Michaelis constant	Fumarate	FUM_R01082	mM	1.3764814	NaN	NaN	NaN	NaN		
Michaelis constant	cis_Aconitate	ACN_R01325	mM	0.2120062	NaN	NaN	NaN	NaN		
Michaelis constant	cis_Aconitate	ACN_R01900	mM	0.11977319	NaN	NaN	NaN	NaN		
Michaelis constant	_6_Phospho_D_gluconate	GLH_R02035	mM	1.9835097	NaN	NaN	NaN	NaN		
Michaelis constant	_6_Phospho_D_gluconate	PGD_R01528	mM	0.5876261	NaN	NaN	NaN	NaN		
Michaelis constant	Orthophosphate	GAP_R01061	mM	0.12091767	NaN	NaN	NaN	NaN		
Michaelis constant	Orthophosphate	FBP_R00762	mM	0.12346916	NaN	NaN	NaN	NaN		
Michaelis constant	Orthophosphate	SCS_R00405	mM	0.29673956	NaN	NaN	NaN	NaN		
Michaelis constant	Orthophosphate	PPC_R00345	mM	0.1695019	NaN	NaN	NaN	NaN		
Michaelis constant	Pyruvate	PTS_RPTSsy	mM	0.026583356	NaN	NaN	NaN	NaN		
Michaelis constant	Pyruvate	PYK_R00200	mM	0.08141364	NaN	NaN	NaN	NaN		
Michaelis constant	Pyruvate	PDH_R00209	mM	0.066346495	NaN	NaN	NaN	NaN		
Michaelis constant	NADPplus	ZWF_R00835	mM	0.030627519	NaN	NaN	NaN	NaN		
Michaelis constant	NADPplus	PGD_R01528	mM	0.22571229	NaN	NaN	NaN	NaN		
Michaelis constant	NADPH	ZWF_R00835	mM	0.21638214	NaN	NaN	NaN	NaN		
Michaelis constant	NADPH	PGD_R01528	mM	0.20433762	NaN	NaN	NaN	NaN		
Michaelis constant	NADH	GAP_R01061	mM	0.22099582	NaN	NaN	NaN	NaN		
Michaelis constant	NADH	PDH_R00209	mM	0.98343511	NaN	NaN	NaN	NaN		
Michaelis constant	NADH	ICD_R00709	mM	0.015861251	NaN	NaN	NaN	NaN		
Michaelis constant	NADH	KGD_R08549	mM	0.04287726	NaN	NaN	NaN	NaN		
Michaelis constant	NADH	MDH_R00342	mM	0.010127481	NaN	NaN	NaN	NaN		
Michaelis constant	NADplus	GAP_R01061	mM	0.81865959	NaN	NaN	NaN	NaN		
Michaelis constant	NADplus	PDH_R00209	mM	0.31603162	NaN	NaN	NaN	NaN		
Michaelis constant	NADplus	ICD_R00709	mM	0.086176139	NaN	NaN	NaN	NaN		
Michaelis constant	NADplus	KGD_R08549	mM	0.27939513	NaN	NaN	NaN	NaN		
Michaelis constant	NADplus	MDH_R00342	mM	0.074172204	NaN	NaN	NaN	NaN		
Michaelis constant	ATP	PFK_R04779	mM	0.25343309	NaN	NaN	NaN	NaN		
