!!SBtab Document='e_coli_artificial' TableName='Parameter' TableType='Quantity' SBtabVersion='1.0' Date='2019-06-11'				
!QuantityType	!Reaction	!Compound	!Value	!Unit
equilibrium constant	PTS_RPTSsy		0.018681828	dimensionless
equilibrium constant	PGI_R02740		38.750299	dimensionless
equilibrium constant	PFK_R04779		0.43463954	dimensionless
equilibrium constant	ALD_R01070		0.0098960892	dimensionless
equilibrium constant	TIM_R01015		1.2335438	dimensionless
equilibrium constant	GAP_R01061		0.082970017	dimensionless
equilibrium constant	PGK_R01512		11.46622	dimensionless
equilibrium constant	PGM_R01518		0.21639931	dimensionless
equilibrium constant	PGH_R00658		15.633654	dimensionless
equilibrium constant	PYK_R00200		4.6061218	dimensionless
equilibrium constant	PDH_R00209		0.0021490403	dimensionless
equilibrium constant	ZWF_R00835		3.8857425	dimensionless
equilibrium constant	GLH_R02035		6.4681582	dimensionless
equilibrium constant	PGD_R01528		2.2423536	dimensionless
equilibrium constant	RPI_R01056		1.0706319	dimensionless
equilibrium constant	RPE_R01529		0.25232763	dimensionless
equilibrium constant	TXT_R01641		0.64367047	dimensionless
equilibrium constant	TAL_R08575		112.27345	dimensionless
equilibrium constant	TXT_R01067		0.03485455	dimensionless
equilibrium constant	FBP_R00762		3.4710825	dimensionless
equilibrium constant	CSN_R00351		35.68596	dimensionless
equilibrium constant	ACN_R01325		10.470875	dimensionless
equilibrium constant	ACN_R01900		0.0060958327	dimensionless
equilibrium constant	ICD_R00709		2.0230347	dimensionless
equilibrium constant	KGD_R08549		0.090483354	dimensionless
equilibrium constant	SCS_R00405		2.1823021	dimensionless
equilibrium constant	SDH_R02164		76.292601	dimensionless
equilibrium constant	FUM_R01082		0.65500444	dimensionless
equilibrium constant	MDH_R00342		0.029324358	dimensionless
equilibrium constant	PPC_R00345		2.8071093	dimensionless
catalytic rate constant geometric mean	PTS_RPTSsy		500.68202	1/s
catalytic rate constant geometric mean	PGI_R02740		232.32059	1/s
catalytic rate constant geometric mean	PFK_R04779		1519.1207	1/s
catalytic rate constant geometric mean	ALD_R01070		1053.2751	1/s
catalytic rate constant geometric mean	TIM_R01015		48.619213	1/s
catalytic rate constant geometric mean	GAP_R01061		5964.802	1/s
catalytic rate constant geometric mean	PGK_R01512		135.26379	1/s
catalytic rate constant geometric mean	PGM_R01518		353.89688	1/s
catalytic rate constant geometric mean	PGH_R00658		251.73653	1/s
catalytic rate constant geometric mean	PYK_R00200		717.15608	1/s
catalytic rate constant geometric mean	PDH_R00209		8721.1367	1/s
catalytic rate constant geometric mean	ZWF_R00835		3515.6113	1/s
catalytic rate constant geometric mean	GLH_R02035		4329.9937	1/s
catalytic rate constant geometric mean	PGD_R01528		301.35041	1/s
catalytic rate constant geometric mean	RPI_R01056		812.61498	1/s
catalytic rate constant geometric mean	RPE_R01529		2984.5265	1/s
catalytic rate constant geometric mean	TXT_R01641		682.08434	1/s
catalytic rate constant geometric mean	TAL_R08575		1307.5518	1/s
catalytic rate constant geometric mean	TXT_R01067		298.77727	1/s
catalytic rate constant geometric mean	FBP_R00762		145.07742	1/s
catalytic rate constant geometric mean	CSN_R00351		767.95031	1/s
catalytic rate constant geometric mean	ACN_R01325		426.66729	1/s
catalytic rate constant geometric mean	ACN_R01900		171.03593	1/s
catalytic rate constant geometric mean	ICD_R00709		688.99028	1/s
