!!!SBtab DocumentName='MB result' Document='MBresult' StringencyAlpha='1.000000.2' CalculationTime='45.262444 s'							
							
!!SBtab TableName='Metabolic fluxes' TableID='Flux' TableType='QuantityMatrix' Unit='mM/s'							
!QuantityType	!Reaction	state_1	state_2	state_3	state_4	state_5	state_6
rate of reaction	E1	0.01474227	0.0089453935	0.021072826	0.015213348	0.01630512	0.023214548
rate of reaction	E2	0.012265926	0.0059521535	0.023635647	0.0081077905	0.011146286	0.018618646
rate of reaction	E3	0.012755753	0.0067357129	0.020542697	0.015322965	0.016819681	0.018739402
rate of reaction	E4	-0.0017780129	-0.002770079	-0.0018675966	-0.0029959309	-0.002927026	-0.0041090144
rate of reaction	E5	0.010979433	0.0093859453	0.031105221	0.017285596	0.011875333	0.022847606
							
!!SBtab TableName='Metabolite concentrations' TableID='MetaboliteConcentration' TableType='QuantityMatrix' Unit='mM'							
!QuantityType	!Compound	state_1	state_2	state_3	state_4	state_5	state_6
concentration	X1	7.3970382	4.0930639	33.385485	8.413052	7.730038	13.639899
concentration	S2	0.24320302	0.13881863	0.21926742	0.2365057	0.36006582	0.21161882
concentration	X3	1.7353717	0.55948068	1.2885574	0.50459104	0.57127893	0.90410839
concentration	S4	0.22683829	0.18789979	0.081098705	0.10229686	0.068622425	0.162273
concentration	S5	0.024189544	0.036649737	0.010510274	0.031001369	0.010325618	0.010751811
concentration	X6	0.81088287	0.50688484	0.48347549	1.3647274	1.0364419	0.92995179
concentration	X7	0.011885642	0.017891005	0.0048322594	0.015129785	0.0050166397	0.0051792879
							
!!SBtab TableName='Enzyme concentrations' TableID='EnzymeConcentration' TableType='QuantityMatrix' Unit='mM'							
!QuantityType	!Reaction	state_1	state_2	state_3	state_4	state_5	state_6
concentration of enzyme	E1	0.00058517284	0.00037548419	0.00034911348	0.00048307335	0.0022468246	0.00048070267
concentration of enzyme	E2	0.0013851174	0.0019570478	0.00125532	0.0014939656	0.0011700322	0.0029776626
concentration of enzyme	E3	0.00039824237	0.00048032471	0.00093692137	0.00071696954	0.00047921529	0.00069277454
concentration of enzyme	E4	0.00047503158	0.0009641656	0.00064074475	0.00065596505	0.00069640054	0.0010209752
concentration of enzyme	E5	0.0012327049	0.00047642953	0.0003484174	0.00087740515	0.0005627111	0.00071510504
							
!!SBtab TableName='Gibbs free energies of reaction' TableID='ReactionGibbsFreeEnergy' TableType='QuantityMatrix' Unit='kJ/mol'							
!QuantityType	!Reaction	state_1	state_2	state_3	state_4	state_5	state_6
Gibbs energy of reaction	E1	1.1449299	1.0679394	5.1376518	1.5332061	0.28136989	3.0066997
Gibbs energy of reaction	E2	6.6230273	4.2837863	8.4348276	5.5350871	6.8325456	5.8370236
Gibbs energy of reaction	E3	6.0696897	3.1828387	5.3294543	3.4112723	6.1888402	6.9045504
Gibbs energy of reaction	E4	9.9788087	7.7841248	10.76326	10.654264	12.697525	12.328501
Gibbs energy of reaction	E5	0.014860764	0.031020561	0.17958672	0.031659764	0.042819108	0.063986926
