!!!SBtab										
										
!!SBtab TableName='Metabolic fluxes' TableID='FluxData' TableType='QuantityMatrix' Unit='mM/s'										
!QuantityType	!Reaction	!Reaction:Identifiers:kegg.reaction	state_1_Mean	state_1_Std	state_2_Mean	state_2_Std	state_3_Mean	state_3_Std	state_4_Mean	state_4_Std
rate of reaction	PTS_RPTSsy	RPTSsy	0.00033260827	7.7760972e-05	0.00048197182	0.00010763368	0.00027254536	6.5748391e-05	0.00041393939	9.4027196e-05
rate of reaction	PGI_R02740	R02740	0.00022872827	5.6984971e-05	0.00034201362	7.9642042e-05	0.00051794469	0.00011482826	0.00030102155	7.1443629e-05
rate of reaction	PFK_R04779	R04779	0.00031322953	7.3885224e-05	0.00043014979	9.7269275e-05	0.00061069376	0.00013337807	0.00040056578	9.1352474e-05
rate of reaction	ALD_R01070	R01070	0.00041122375	9.3484067e-05	0.0005587489	0.0001229891	0.00056671148	0.00012458161	0.00053940131	0.00011911958
rate of reaction	TIM_R01015	R01015	0.00047742851	0.00010672502	0.00047395885	0.00010603109	0.00050645468	0.00011253025	0.00035154609	8.1548537e-05
rate of reaction	GAP_R01061	R01061	0.00095853718	0.00020294675	0.0010725586	0.00022575104	0.0011239318	0.00023602567	0.00087766803	0.00018677292
rate of reaction	PGK_R01512	R01512	0.00095937905	0.00020311513	0.0010707649	0.00022539229	0.001117487	0.00023473672	0.00087048351	0.00018533602
rate of reaction	PGM_R01518	R01518	0.00098492315	0.00020822395	0.00086580795	0.00018440091	0.00076990803	0.00016522092	0.00051514729	0.00011426878
rate of reaction	PGH_R00658	R00658	0.0009848388	0.00020820708	0.00084701327	0.00018064197	0.00075631717	0.00016250275	0.00051412591	0.0001140645
rate of reaction	PYK_R00200	R00200	0.00015634369	4.2508056e-05	0.000132823	3.7803918e-05	0.00015911236	4.306179e-05	3.6872959e-05	1.8613909e-05
rate of reaction	PDH_R00209	R00209	0.00042668943	9.6577203e-05	0.00018388529	4.8016376e-05	0.0003329201	7.7823337e-05	0.00032509332	7.6257982e-05
rate of reaction	ZWF_R00835	R00835	0.00011577031	3.439338e-05	0.00020532841	5.2304999e-05	0.00013855538	3.8950395e-05	0.00018200363	4.7640043e-05
rate of reaction	GLH_R02035	R02035	0.00011588554	3.4416427e-05	0.00014955649	4.1150615e-05	0.00013986262	3.9211841e-05	0.00018350192	4.7939702e-05
rate of reaction	PGD_R01528	R01528	0.00012074074	3.5387465e-05	0.00014896809	4.1032935e-05	0.00011753195	3.4745708e-05	0.00020423026	5.208537e-05
rate of reaction	RPI_R01056	R01056	4.9229446e-05	2.1085207e-05	7.9452199e-05	2.7129757e-05	6.5514856e-05	2.4342289e-05	6.2138273e-05	2.3666972e-05
rate of reaction	RPE_R01529	R01529	8.186116e-05	2.761155e-05	4.9951223e-05	2.1229562e-05	7.3205672e-05	2.5880452e-05	0.00013529978	3.8299273e-05
rate of reaction	TXT_R01641	R01641	5.8747888e-05	2.2988895e-05	4.6237995e-05	2.0486917e-05	7.1851466e-05	2.5609611e-05	2.6933242e-05	1.6625966e-05
rate of reaction	TAL_R08575	R08575	3.862891e-05	1.89651e-05	4.4366614e-05	2.0112641e-05	5.4432516e-05	2.2125821e-05	6.0268826e-05	2.3293083e-05
rate of reaction	TXT_R01067	R01067	4.322627e-05	1.9884572e-05	3.8764296e-05	1.8992177e-05	3.8457215e-05	1.8930761e-05	3.2716675e-05	1.7782653e-05
rate of reaction	FBP_R00762	R00762	0	1.1239318e-05	0	1.1239318e-05	0	1.1239318e-05	0	1.1239318e-05
rate of reaction	CSN_R00351	R00351	0.00043402079	9.8043476e-05	0.00011728509	3.4696335e-05	0.00033227759	7.7694835e-05	0.00024465774	6.0170865e-05
rate of reaction	ACN_R01325	R01325	0.0002343692	5.8113158e-05	0.00018979749	4.9198816e-05	0.00021692664	5.4624646e-05	0.00016114288	4.3467895e-05
rate of reaction	ACN_R01900	R01900	0.00023056236	5.735179e-05	0.00021032292	5.3303902e-05	0.00021861562	5.4962442e-05	0.00018586065	4.8411448e-05
rate of reaction	ICD_R00709	R00709	0.0002285566	5.6950638e-05	0.00021410621	5.406056e-05	0.00021936933	5.5113185e-05	0.00019558365	5.0356049e-05
rate of reaction	KGD_R08549	R08549	0.00016971197	4.5181712e-05	0.00014437184	4.0113686e-05	0.00014291072	3.9821462e-05	5.0976136e-05	2.1434545e-05
rate of reaction	SCS_R00405	R00405	0.00016179938	4.3599193e-05	0.00017270762	4.5780842e-05	0.0001346913	3.8177577e-05	0.00012325496	3.589031e-05
rate of reaction	SDH_R02164	R02164	6.0623604e-05	2.3364038e-05	7.885045e-05	2.7009408e-05	0.00010993581	3.322648e-05	9.3904432e-05	3.0020204e-05
rate of reaction	FUM_R01082	R01082	3.7199178e-05	1.8679153e-05	2.0305697e-05	1.5300457e-05	0.00010389658	3.2018634e-05	0.00014069334	3.9377986e-05
rate of reaction	MDH_R00342	R00342	-5.2264966e-05	2.1692311e-05	-6.2832816e-05	2.3805881e-05	3.7903909e-05	1.8820099e-05	0.00018085408	4.7410135e-05
rate of reaction	PPC_R00345	R00345	-0.0004925212	0.00010974356	-0.00018201184	4.7641685e-05	-0.00029728459	7.0696236e-05	-6.1920641e-05	2.3623446e-05
										
!!SBtab TableName='Metabolite concentrations' TableID='MetaboliteConcentrationData' TableType='QuantityMatrix' Unit='mM'										
!QuantityType	!Compound	!Compound:Identifiers:kegg.compound	state_1_Mean	state_1_Std	state_2_Mean	state_2_Std	state_3_Mean	state_3_Std	state_4_Mean	state_4_Std
concentration	_S__Malate	C00149	1.6280809	0.29931818	0.91727697	0.16863885	0.88337994	0.16240697	0.37431852	0.06881743
concentration	Acetyl_CoA	C00024	0.14232946	0.026166879	0.25093934	0.046134507	0.23862425	0.043870411	0.34933524	0.064224322
concentration	Fumarate	C00122	0.44288559	0.081423296	0.24553815	0.045141514	0.28661704	0.052693754	0.19759054	0.036326477
concentration	cis_Aconitate	C00417	0.24219276	0.044526471	0.098266842	0.018066088	0.049754969	0.0091473141	0.058342063	0.010726028
concentration	_6_Phospho_D_gluconate	C00345	0.061089994	0.011231227	0.059972013	0.01102569	0.13479214	0.024781164	0.093811634	0.017247011
concentration	Orthophosphate	C00009	9.180192	1.687753	9.0691806	1.6673439	4.6636093	0.85739173	6.2674444	1.1522524
concentration	Pyruvate	C00022	1.1459779	0.21068489	0.60660824	0.11152325	0.18876808	0.034704491	0.30587735	0.056234709
concentration	NADPplus	C00006	0.29053303	0.053413698	0.25262578	0.046444555	0.1196062	0.021989271	0.27140272	0.049896644
concentration	NADPH	C00005	0.095104535	0.017484707	0.089719707	0.016494721	0.10529154	0.01935756	0.042257174	0.007768865
concentration	NADH	C00004	0.0029071764	0.00053447637	0.0048882318	0.00089868796	0.0038904981	0.00071525736	0.00185245	0.00034056784
concentration	NADplus	C00003	7.6001057	1.3972585	4.6211645	0.84958837	6.7606189	1.2429212	4.9137963	0.90338793
concentration	ATP	C00002	0.48453748	0.089080882	0.47289414	0.086940286	0.82919683	0.15244555	0.5874878	0.10800801
concentration	H2O	C00001	0.095479299	0.017553606	0.19541484	0.03592648	0.073473207	0.013507847	0.12147872	0.022333528
