!!SBtab Document='e_coli_noor_2016_glucose' TableName='Parameter' TableType='Quantity' SBtabVersion='1.0' Date='2019-06-11'						
!QuantityType	!Reaction	!Compound	!Value	!Unit	!Reaction:Identifiers:kegg.reaction	!Compound:Identifiers:kegg.compound
equilibrium constant	PTS_RPTSsy		0.0040510205	dimensionless	RPTSsy	
equilibrium constant	PGI_R02740		0.40164338	dimensionless	R02740	
equilibrium constant	PFK_R04779		1.1807322	dimensionless	R04779	
equilibrium constant	ALD_R01070		0.26945236	dimensionless	R01070	
equilibrium constant	TIM_R01015		1.4252374	dimensionless	R01015	
equilibrium constant	GAP_R01061		0.48688117	dimensionless	R01061	
equilibrium constant	PGK_R01512		153.84166	dimensionless	R01512	
equilibrium constant	PGM_R01518		1.4681614	dimensionless	R01518	
equilibrium constant	PGH_R00658		0.22102086	dimensionless	R00658	
equilibrium constant	PYK_R00200		0.17431097	dimensionless	R00200	
equilibrium constant	PDH_R00209		309.23215	dimensionless	R00209	
equilibrium constant	ZWF_R00835		0.46244079	dimensionless	R00835	
equilibrium constant	GLH_R02035		1.8421954	dimensionless	R02035	
equilibrium constant	PGD_R01528		10.363112	dimensionless	R01528	
equilibrium constant	RPI_R01056		1.0499758	dimensionless	R01056	
equilibrium constant	RPE_R01529		0.84851629	dimensionless	R01529	
equilibrium constant	TXT_R01641		2.4458068	dimensionless	R01641	
equilibrium constant	TAL_R08575		0.0099432444	dimensionless	R08575	
equilibrium constant	TXT_R01067		7.6802028	dimensionless	R01067	
equilibrium constant	FBP_R00762		1.3808978	dimensionless	R00762	
equilibrium constant	CSN_R00351		0.15900663	dimensionless	R00351	
equilibrium constant	ACN_R01325		0.00038917802	dimensionless	R01325	
equilibrium constant	ACN_R01900		0.07882133	dimensionless	R01900	
equilibrium constant	ICD_R00709		0.31282784	dimensionless	R00709	
equilibrium constant	KGD_R08549		0.12588594	dimensionless	R08549	
equilibrium constant	SCS_R00405		15.960486	dimensionless	R00405	
equilibrium constant	SDH_R02164		0.78460211	dimensionless	R02164	
equilibrium constant	FUM_R01082		10.091111	dimensionless	R01082	
equilibrium constant	MDH_R00342		0.0049501452	dimensionless	R00342	
equilibrium constant	PPC_R00345		0.12473342	dimensionless	R00345	
catalytic rate constant geometric mean	PTS_RPTSsy		7080.3899	1/s	RPTSsy	
catalytic rate constant geometric mean	PGI_R02740		363.84448	1/s	R02740	
catalytic rate constant geometric mean	PFK_R04779		9950.2092	1/s	R04779	
catalytic rate constant geometric mean	ALD_R01070		2803.6318	1/s	R01070	
catalytic rate constant geometric mean	TIM_R01015		6174.382	1/s	R01015	
catalytic rate constant geometric mean	GAP_R01061		253.4719	1/s	R01061	
catalytic rate constant geometric mean	PGK_R01512		85.816547	1/s	R01512	
catalytic rate constant geometric mean	PGM_R01518		2657.6305	1/s	R01518	
catalytic rate constant geometric mean	PGH_R00658		3948.5793	1/s	R00658	
catalytic rate constant geometric mean	PYK_R00200		3568.6219	1/s	R00200	
catalytic rate constant geometric mean	PDH_R00209		139.91876	1/s	R00209	
catalytic rate constant geometric mean	ZWF_R00835		9985.4873	1/s	R00835	
catalytic rate constant geometric mean	GLH_R02035		5592.9712	1/s	R02035	
catalytic rate constant geometric mean	PGD_R01528		187.65235	1/s	R01528	
catalytic rate constant geometric mean	RPI_R01056		866.66727	1/s	R01056	
catalytic rate constant geometric mean	RPE_R01529		743.47015	1/s	R01529	
catalytic rate constant geometric mean	TXT_R01641		507.4282	1/s	R01641	
catalytic rate constant geometric mean	TAL_R08575		1572.0187	1/s	R08575	
catalytic rate constant geometric mean	TXT_R01067		62.31686	1/s	R01067	
catalytic rate constant geometric mean	FBP_R00762		199.88844	1/s	R00762	
catalytic rate constant geometric mean	CSN_R00351		3131.966	1/s	R00351	
catalytic rate constant geometric mean	ACN_R01325		6591.2937	1/s	R01325	
catalytic rate constant geometric mean	ACN_R01900		9728.7291	1/s	R01900	
catalytic rate constant geometric mean	ICD_R00709		2490.8675	1/s	R00709	
catalytic rate constant geometric mean	KGD_R08549		44.67655	1/s	R08549	
catalytic rate constant geometric mean	SCS_R00405		151.82384	1/s	R00405	
catalytic rate constant geometric mean	SDH_R02164		49.452997	1/s	R02164	
catalytic rate constant geometric mean	FUM_R01082		1963.4737	1/s	R01082	
catalytic rate constant geometric mean	MDH_R00342		1080.4036	1/s	R00342	
catalytic rate constant geometric mean	PPC_R00345		879.76055	1/s	R00345	
Michaelis constant	FUM_R01082	_S__Malate	0.16218691	mM	R01082	C00149
Michaelis constant	MDH_R00342	_S__Malate	0.16087557	mM	R00342	C00149
Michaelis constant	PDH_R00209	Acetyl_CoA	0.092263935	mM	R00209	C00024
Michaelis constant	CSN_R00351	Acetyl_CoA	0.11790739	mM	R00351	C00024
Michaelis constant	SDH_R02164	Fumarate	0.1915762	mM	R02164	C00122
Michaelis constant	FUM_R01082	Fumarate	0.053503013	mM	R01082	C00122
Michaelis constant	ACN_R01325	cis_Aconitate	0.018009741	mM	R01325	C00417
Michaelis constant	ACN_R01900	cis_Aconitate	0.038347016	mM	R01900	C00417
Michaelis constant	GLH_R02035	_6_Phospho_D_gluconate	0.10901761	mM	R02035	C00345
Michaelis constant	PGD_R01528	_6_Phospho_D_gluconate	0.10272856	mM	R01528	C00345
Michaelis constant	GAP_R01061	Orthophosphate	0.10917646	mM	R01061	C00009
Michaelis constant	FBP_R00762	Orthophosphate	0.099995724	mM	R00762	C00009
