!!SBtab TableID='ParameterData' TableType='Quantity'										
!QuantityType	!Compound	!Reaction	!Unit	!Median	!Mean	!Std	!Lower	!Upper	!Compound:Identifiers:kegg.compound	!Reaction:Identifiers:kegg.reaction
Michaelis constant	_S__Malate	FUM_R01082	mM	1.1086769	NaN	NaN	NaN	NaN	C00149	R01082
Michaelis constant	_S__Malate	MDH_R00342	mM	0.050475407	NaN	NaN	NaN	NaN	C00149	R00342
Michaelis constant	Acetyl_CoA	PDH_R00209	mM	0.23000725	NaN	NaN	NaN	NaN	C00024	R00209
Michaelis constant	Acetyl_CoA	CSN_R00351	mM	0.16593801	NaN	NaN	NaN	NaN	C00024	R00351
Michaelis constant	Fumarate	SDH_R02164	mM	0.34732165	NaN	NaN	NaN	NaN	C00122	R02164
Michaelis constant	Fumarate	FUM_R01082	mM	1.3764814	NaN	NaN	NaN	NaN	C00122	R01082
Michaelis constant	cis_Aconitate	ACN_R01325	mM	0.2120062	NaN	NaN	NaN	NaN	C00417	R01325
Michaelis constant	cis_Aconitate	ACN_R01900	mM	0.11977319	NaN	NaN	NaN	NaN	C00417	R01900
Michaelis constant	_6_Phospho_D_gluconate	GLH_R02035	mM	1.9835097	NaN	NaN	NaN	NaN	C00345	R02035
Michaelis constant	_6_Phospho_D_gluconate	PGD_R01528	mM	0.5876261	NaN	NaN	NaN	NaN	C00345	R01528
Michaelis constant	Orthophosphate	GAP_R01061	mM	0.12091767	NaN	NaN	NaN	NaN	C00009	R01061
Michaelis constant	Orthophosphate	FBP_R00762	mM	0.12346916	NaN	NaN	NaN	NaN	C00009	R00762
Michaelis constant	Orthophosphate	SCS_R00405	mM	0.29673956	NaN	NaN	NaN	NaN	C00009	R00405
Michaelis constant	Orthophosphate	PPC_R00345	mM	0.1695019	NaN	NaN	NaN	NaN	C00009	R00345
Michaelis constant	Pyruvate	PTS_RPTSsy	mM	0.026583356	NaN	NaN	NaN	NaN	C00022	RPTSsy
Michaelis constant	Pyruvate	PYK_R00200	mM	0.08141364	NaN	NaN	NaN	NaN	C00022	R00200
Michaelis constant	Pyruvate	PDH_R00209	mM	0.066346495	NaN	NaN	NaN	NaN	C00022	R00209
Michaelis constant	NADPplus	ZWF_R00835	mM	0.030627519	NaN	NaN	NaN	NaN	C00006	R00835
Michaelis constant	NADPplus	PGD_R01528	mM	0.22571229	NaN	NaN	NaN	NaN	C00006	R01528
Michaelis constant	NADPH	ZWF_R00835	mM	0.21638214	NaN	NaN	NaN	NaN	C00005	R00835
Michaelis constant	NADPH	PGD_R01528	mM	0.20433762	NaN	NaN	NaN	NaN	C00005	R01528
Michaelis constant	NADH	GAP_R01061	mM	0.22099582	NaN	NaN	NaN	NaN	C00004	R01061
Michaelis constant	NADH	PDH_R00209	mM	0.98343511	NaN	NaN	NaN	NaN	C00004	R00209
Michaelis constant	NADH	ICD_R00709	mM	0.015861251	NaN	NaN	NaN	NaN	C00004	R00709
Michaelis constant	NADH	KGD_R08549	mM	0.04287726	NaN	NaN	NaN	NaN	C00004	R08549
Michaelis constant	NADH	MDH_R00342	mM	0.010127481	NaN	NaN	NaN	NaN	C00004	R00342
Michaelis constant	NADplus	GAP_R01061	mM	0.81865959	NaN	NaN	NaN	NaN	C00003	R01061
Michaelis constant	NADplus	PDH_R00209	mM	0.31603162	NaN	NaN	NaN	NaN	C00003	R00209
Michaelis constant	NADplus	ICD_R00709	mM	0.086176139	NaN	NaN	NaN	NaN	C00003	R00709
Michaelis constant	NADplus	KGD_R08549	mM	0.27939513	NaN	NaN	NaN	NaN	C00003	R08549
Michaelis constant	NADplus	MDH_R00342	mM	0.074172204	NaN	NaN	NaN	NaN	C00003	R00342
Michaelis constant	ATP	PFK_R04779	mM	0.25343309	NaN	NaN	NaN	NaN	C00002	R04779
Michaelis constant	ATP	PGK_R01512	mM	0.060222663	NaN	NaN	NaN	NaN	C00002	R01512
Michaelis constant	ATP	PYK_R00200	mM	0.01009217	NaN	NaN	NaN	NaN	C00002	R00200
Michaelis constant	ATP	SCS_R00405	mM	11.674891	NaN	NaN	NaN	NaN	C00002	R00405
Michaelis constant	_2_Oxoglutarate	ICD_R00709	mM	1.0526976	NaN	NaN	NaN	NaN	C00026	R00709
Michaelis constant	_2_Oxoglutarate	KGD_R08549	mM	0.43544403	NaN	NaN	NaN	NaN	C00026	R08549
Michaelis constant	Oxaloacetate	CSN_R00351	mM	0.0053529614	NaN	NaN	NaN	NaN	C00036	R00351
Michaelis constant	Oxaloacetate	MDH_R00342	mM	0.23556077	NaN	NaN	NaN	NaN	C00036	R00342
Michaelis constant	Oxaloacetate	PPC_R00345	mM	0.26332904	NaN	NaN	NaN	NaN	C00036	R00345
Michaelis constant	Ubiquinone	SDH_R02164	mM	0.11789767	NaN	NaN	NaN	NaN	C00399	R02164
Michaelis constant	D_Erythrose_4_phosphate	TAL_R08575	mM	0.030640824	NaN	NaN	NaN	NaN	C00279	R08575
Michaelis constant	D_Erythrose_4_phosphate	TXT_R01067	mM	0.26967261	NaN	NaN	NaN	NaN	C00279	R01067
Michaelis constant	Ubiquinol	SDH_R02164	mM	0.055670363	NaN	NaN	NaN	NaN	C00390	R02164
Michaelis constant	ADP	PFK_R04779	mM	0.17087199	NaN	NaN	NaN	NaN	C00008	R04779
Michaelis constant	ADP	PGK_R01512	mM	0.26800659	NaN	NaN	NaN	NaN	C00008	R01512
