!!!SBtab													
													
!!SBtab TableName='Metabolic fluxes' TableID='FluxData' TableType='QuantityMatrix' Unit='mM/s'													
!QuantityType	!Reaction	state_1_Mean	state_1_Std	state_2_Mean	state_2_Std	state_3_Mean	state_3_Std	state_4_Mean	state_4_Std	state_5_Mean	state_5_Std	state_6_Mean	state_6_Std
rate of reaction	E1	0.0021461608	0.00047186529	0.0032844808	0.00069952928	0.0030448285	0.00065159882	0.0027171669	0.00058606649	0.0023865798	0.00051994909	0.0030217104	0.0006469752
rate of reaction	E2	0.0021668973	0.00047601257	0.003348843	0.00071240171	0.0031431875	0.00067127063	0.0027165404	0.00058594119	0.0023925776	0.00052114864	0.0029764128	0.00063791567
rate of reaction	E3	0.0024944802	0.00054152916	0.0041786556	0.00087836424	0.0042633118	0.00089529548	0.0027072082	0.00058407476	0.0024734342	0.00053731996	0.002430041	0.00052864131
													
!!SBtab TableName='Metabolite concentrations' TableID='MetaboliteConcentrationData' TableType='QuantityMatrix' Unit='mM'													
!QuantityType	!Compound	state_1_Mean	state_1_Std	state_2_Mean	state_2_Std	state_3_Mean	state_3_Std	state_4_Mean	state_4_Std	state_5_Mean	state_5_Std	state_6_Mean	state_6_Std
concentration	X1	6.9231904	2.9265366	11.671069	4.9335362	15.018581	6.3485801	11.61646	4.9104525	24.718198	10.448754	22.285642	9.4204761
concentration	S2	0.23438125	0.099076476	0.29907389	0.12642303	0.19864443	0.083969985	0.16535869	0.069899606	0.39623613	0.16749497	0.33577678	0.14193789
concentration	X3	1.4765867	0.62417539	2.1049962	0.88981355	1.7587334	0.74344302	1.9817267	0.83770566	3.976417	1.6808913	2.9634612	1.2526996
concentration	X4	0.86560674	0.36590498	0.76858089	0.3248907	0.98388948	0.41590487	1.748384	0.73906819	2.2354364	0.94495257	0.91664696	0.38748045
													
!!SBtab TableName='Enzyme concentrations' TableID='EnzymeConcentrationData' TableType='QuantityMatrix' Unit='mM'													
!QuantityType	!Reaction	state_1_Mean	state_1_Std	state_2_Mean	state_2_Std	state_3_Mean	state_3_Std	state_4_Mean	state_4_Std	state_5_Mean	state_5_Std	state_6_Mean	state_6_Std
concentration of enzyme	E1	0.0014734056	0.00062283067	0.0013970086	0.00059053654	0.00073227712	0.00030954455	0.00068389572	0.000289093	0.00064484817	0.00027258701	0.00078361994	0.00033124793
concentration of enzyme	E2	0.0010065704	0.00042549244	0.0018001808	0.00076096346	0.0024128172	0.0010199341	0.0036321499	0.0015353643	0.0022383939	0.00094620274	0.0022463729	0.00094957558
concentration of enzyme	E3	0.00070897281	0.00029969346	0.00095854101	0.00040518969	0.0011632813	0.00049173648	0.0010142825	0.00042875246	0.00064252488	0.00027160492	0.00052268817	0.00022094815
