!!SBtab Document='e_coli_artificial' TableName='Parameter' TableType='Quantity' SBtabVersion='1.0' Date='2019-06-11'				
!QuantityType	!Reaction	!Compound	!Value	!Unit
equilibrium constant	PTS_RPTSsy		0.012155951	dimensionless
equilibrium constant	PGI_R02740		47.30253	dimensionless
equilibrium constant	PFK_R04779		0.36311738	dimensionless
equilibrium constant	ALD_R01070		0.0092621515	dimensionless
equilibrium constant	TIM_R01015		0.9564968	dimensionless
equilibrium constant	GAP_R01061		0.0079612099	dimensionless
equilibrium constant	PGK_R01512		8.8758935	dimensionless
equilibrium constant	PGM_R01518		0.20181397	dimensionless
equilibrium constant	PGH_R00658		13.022278	dimensionless
equilibrium constant	PYK_R00200		6.0621451	dimensionless
equilibrium constant	PDH_R00209		0.0016791379	dimensionless
equilibrium constant	ZWF_R00835		9.0273601	dimensionless
equilibrium constant	GLH_R02035		6.6650312	dimensionless
equilibrium constant	PGD_R01528		4.7743523	dimensionless
equilibrium constant	RPI_R01056		1.0449886	dimensionless
equilibrium constant	RPE_R01529		0.24857057	dimensionless
equilibrium constant	TXT_R01641		0.66366569	dimensionless
equilibrium constant	TAL_R08575		78.264315	dimensionless
equilibrium constant	TXT_R01067		0.027660872	dimensionless
equilibrium constant	FBP_R00762		4.2797935	dimensionless
equilibrium constant	CSN_R00351		66.98053	dimensionless
equilibrium constant	ACN_R01325		10.332074	dimensionless
equilibrium constant	ACN_R01900		0.0095880502	dimensionless
equilibrium constant	ICD_R00709		5.2880047	dimensionless
equilibrium constant	KGD_R08549		0.26500824	dimensionless
equilibrium constant	SCS_R00405		2.8059693	dimensionless
equilibrium constant	SDH_R02164		119.79728	dimensionless
equilibrium constant	FUM_R01082		1.1958402	dimensionless
equilibrium constant	MDH_R00342		0.058958633	dimensionless
equilibrium constant	PPC_R00345		2.0728784	dimensionless
catalytic rate constant geometric mean	PTS_RPTSsy		75.8646	1/s
catalytic rate constant geometric mean	PGI_R02740		55.437342	1/s
catalytic rate constant geometric mean	PFK_R04779		98.334897	1/s
catalytic rate constant geometric mean	ALD_R01070		254.91493	1/s
catalytic rate constant geometric mean	TIM_R01015		28.290418	1/s
