!!!SBtab													
													
!!SBtab TableName='Metabolic fluxes' TableID='FluxData' TableType='QuantityMatrix' Unit='mM/s'													
!QuantityType	!Reaction	state_1_Mean	state_1_Std	state_2_Mean	state_2_Std	state_3_Mean	state_3_Std	state_4_Mean	state_4_Std	state_5_Mean	state_5_Std	state_6_Mean	state_6_Std
rate of reaction	PTS_RPTSsy	8.7478954e-05	0.012873045	2.8392435e-05	0.012861227	-3.1853167e-05	0.01286192	0.00012887016	0.012881323	5.1903503e-05	0.01286593	0.00011105848	0.012877761
rate of reaction	PGI_R02740	0.012532116	0.015361972	0.010020374	0.014859624	0.011781056	0.01521176	0.0068471893	0.014224987	0.0061580296	0.014087155	0.011006748	0.015056899
rate of reaction	PFK_R04779	0.0030236848	0.013460286	0.001977434	0.013251036	0.0053930429	0.013934158	0.0039171808	0.013638985	0.0032892957	0.013513408	0.0026630927	0.013388168
rate of reaction	ALD_R01070	-0.00034416657	0.012924382	-0.000258475	0.012907244	-0.0003699525	0.012929539	-0.00010218818	0.012875987	-0.00043085019	0.012941719	-0.00025096233	0.012905741
rate of reaction	TIM_R01015	-0.00034416657	0.012924382	-0.000258475	0.012907244	-0.0003699525	0.012929539	-0.00010218818	0.012875987	-0.00043085019	0.012941719	-0.00025096233	0.012905741
rate of reaction	GAP_R01061	-4.3911305e-06	0.012856427	-5.1174768e-06	0.012856572	-1.4768466e-05	0.012858503	-1.4947333e-05	0.012858538	-7.860667e-06	0.012857121	-5.9603083e-06	0.012856741
rate of reaction	PGK_R01512	-3.6961163e-06	0.012856288	-4.7500153e-06	0.012856499	-1.5051731e-05	0.012858559	-1.5150227e-05	0.012858579	-9.2074966e-06	0.01285739	-5.9451368e-06	0.012856738
rate of reaction	PGM_R01518	-2.5728024e-06	0.012856064	-1.0769796e-06	0.012855764	-1.6181577e-05	0.012858785	-1.6592657e-05	0.012858868	-1.2471858e-05	0.012858043	-5.2372518e-06	0.012856596
rate of reaction	PGH_R00658	-2.570748e-06	0.012856063	-1.0730721e-06	0.012855764	-1.6183138e-05	0.012858786	-1.6596205e-05	0.012858868	-1.2474285e-05	0.012858044	-5.2357156e-06	0.012856596
rate of reaction	PYK_R00200	-8.6083579e-05	0.012872766	-2.7865105e-05	0.012861122	3.2263587e-05	0.012862002	-0.00012582408	0.012880714	-5.060258e-05	0.01286567	-0.0001105146	0.012877652
