!!!SBtab DocumentName='MB result' Document='MBresult' CalculationTime='1658.137358 s'							
							
!!SBtab TableName='Metabolic fluxes' TableID='Flux' TableType='QuantityMatrix' Unit='mM/s'							
!QuantityType	!Reaction	state_1	state_2	state_3	state_4	state_5	state_6
rate of reaction	PTS_RPTSsy	8.7478954e-05	2.8392435e-05	-3.1853167e-05	0.00012887016	5.1903503e-05	0.00011105848
rate of reaction	PGI_R02740	0.012532116	0.010020374	0.011781056	0.0068471893	0.0061580296	0.011006748
rate of reaction	PFK_R04779	0.0030236848	0.001977434	0.0053930429	0.0039171808	0.0032892957	0.0026630927
rate of reaction	ALD_R01070	-0.00034416657	-0.000258475	-0.0003699525	-0.00010218818	-0.00043085019	-0.00025096233
rate of reaction	TIM_R01015	-0.00034416657	-0.000258475	-0.0003699525	-0.00010218818	-0.00043085019	-0.00025096233
rate of reaction	GAP_R01061	-4.3911305e-06	-5.1174768e-06	-1.4768466e-05	-1.4947333e-05	-7.860667e-06	-5.9603083e-06
rate of reaction	PGK_R01512	-3.6961163e-06	-4.7500153e-06	-1.5051731e-05	-1.5150227e-05	-9.2074966e-06	-5.9451368e-06
rate of reaction	PGM_R01518	-2.5728024e-06	-1.0769796e-06	-1.6181577e-05	-1.6592657e-05	-1.2471858e-05	-5.2372518e-06
rate of reaction	PGH_R00658	-2.570748e-06	-1.0730721e-06	-1.6183138e-05	-1.6596205e-05	-1.2474285e-05	-5.2357156e-06
rate of reaction	PYK_R00200	-8.6083579e-05	-2.7865105e-05	3.2263587e-05	-0.00012582408	-5.060258e-05	-0.0001105146
rate of reaction	PDH_R00209	1.3948839e-06	5.2745984e-07	4.1035243e-07	1.2691748e-06	1.3009535e-06	5.4387433e-07
rate of reaction	ZWF_R00835	-7.4737857e-05	0.00022189239	-0.00014932868	0.00023196547	0.00021773626	-9.9515744e-05
rate of reaction	GLH_R02035	3.1601522e-06	2.9046781e-06	3.8705449e-06	2.3464699e-06	3.9068489e-06	1.9406233e-06
rate of reaction	PGD_R01528	3.1592867e-06	2.9038497e-06	3.873844e-06	2.3461748e-06	3.9053806e-06	1.9392566e-06
rate of reaction	RPI_R01056	2.2616378e-05	1.8675322e-05	3.8002827e-05	2.132622e-05	3.1604451e-05	2.664569e-05
rate of reaction	RPE_R01529	-4.0627157e-05	-3.8405671e-05	-8.935277e-06	-2.9692665e-05	-6.1415603e-05	-3.9546726e-05
rate of reaction	TXT_R01641	1.7114273e-05	1.63837e-05	2.8573882e-05	1.56703e-05	2.6849614e-05	1.3649761e-05
rate of reaction	TAL_R08575	1.1661706e-05	1.2508678e-05	2.486356e-05	7.5798098e-06	2.2235383e-05	6.0770231e-06
rate of reaction	TXT_R01067	-6.2882429e-05	-6.029187e-05	-3.1385598e-05	-4.7529178e-05	-9.6461646e-05	-5.6803812e-05
rate of reaction	FBP_R00762	0.49866993	1.2855549	0.35335533	0.44044694	0.48278323	0.5609632
rate of reaction	CSN_R00351	0.00019530526	0.00024976861	0.00036570079	0.00019910764	9.7096483e-05	0.00040666691
rate of reaction	ACN_R01325	0.00041309716	0.00076781758	0.00038156034	0.0003890645	0.0002549983	0.00082381184
rate of reaction	ACN_R01900	0.0004149564	0.00078042858	0.00038142709	0.0003920428	0.00025707314	0.00085555802
rate of reaction	ICD_R00709	0.00041496759	0.00078045356	0.00038142597	0.00039205456	0.00025708189	0.00085571775
rate of reaction	KGD_R08549	0.0002166863	0.00011178247	0.00019128126	0.00019615966	8.0691008e-05	0.0010785958
rate of reaction	SCS_R00405	-0.00022566822	-0.00022196267	-0.0011844816	-0.00023080408	-9.5904994e-05	-0.00022916994
rate of reaction	SDH_R02164	-0.0003076392	-0.00063417053	-0.00042723125	-0.00038756247	-0.00082967826	-0.00028796356
rate of reaction	FUM_R01082	-0.00030776979	-0.00063454787	-0.00042392618	-0.00038782037	-0.00083099965	-0.00028803414
rate of reaction	MDH_R00342	-0.00030787874	-0.00063486256	-0.00042116386	-0.00038803543	-0.00083209828	-0.00028809313
rate of reaction	PPC_R00345	2.1462753e-06	6.437505e-06	1.8534752e-06	4.8703697e-06	2.2166115e-06	1.011104e-05
							
!!SBtab TableName='Metabolite concentrations' TableID='MetaboliteConcentration' TableType='QuantityMatrix' Unit='mM'							
!QuantityType	!Compound	state_1	state_2	state_3	state_4	state_5	state_6
concentration	_S__Malate	0.0046614033	0.0036433191	0.010625133	0.0087069757	0.0084963036	0.0039883342
concentration	Acetyl_CoA	0.44254451	0.91067179	0.48287825	0.75758344	0.5805816	0.41954472
concentration	Fumarate	0.0053151625	0.0035937299	0.012371519	0.010102906	0.0094416106	0.0044372532
