!!SBtab Document='e_coli_artificial' TableName='Parameter' TableType='Quantity' SBtabVersion='1.0' Date='2019-06-11'				
!QuantityType	!Reaction	!Compound	!Value	!Unit
equilibrium constant	PTS_RPTSsy		0.017528596	dimensionless
equilibrium constant	PGI_R02740		22.671525	dimensionless
equilibrium constant	PFK_R04779		0.39852999	dimensionless
equilibrium constant	ALD_R01070		0.0087237643	dimensionless
equilibrium constant	TIM_R01015		1.2268087	dimensionless
equilibrium constant	GAP_R01061		0.09698221	dimensionless
equilibrium constant	PGK_R01512		8.5613705	dimensionless
equilibrium constant	PGM_R01518		0.20032134	dimensionless
equilibrium constant	PGH_R00658		15.714001	dimensionless
equilibrium constant	PYK_R00200		5.058552	dimensionless
equilibrium constant	PDH_R00209		0.0016833276	dimensionless
equilibrium constant	ZWF_R00835		4.5170924	dimensionless
equilibrium constant	GLH_R02035		18.664057	dimensionless
equilibrium constant	PGD_R01528		1.1848385	dimensionless
equilibrium constant	RPI_R01056		1.2470599	dimensionless
equilibrium constant	RPE_R01529		0.24775505	dimensionless
equilibrium constant	TXT_R01641		0.48921522	dimensionless
equilibrium constant	TAL_R08575		138.74648	dimensionless
equilibrium constant	TXT_R01067		0.032318481	dimensionless
equilibrium constant	FBP_R00762		2.0649055	dimensionless
equilibrium constant	CSN_R00351		48.767534	dimensionless
equilibrium constant	ACN_R01325		11.778531	dimensionless
equilibrium constant	ACN_R01900		0.0066735303	dimensionless
equilibrium constant	ICD_R00709		2.256971	dimensionless
equilibrium constant	KGD_R08549		0.57222987	dimensionless
equilibrium constant	SCS_R00405		2.6594971	dimensionless
equilibrium constant	SDH_R02164		86.588826	dimensionless
equilibrium constant	FUM_R01082		0.84764199	dimensionless
equilibrium constant	MDH_R00342		0.049007352	dimensionless
equilibrium constant	PPC_R00345		1.4447089	dimensionless
catalytic rate constant geometric mean	PTS_RPTSsy		153.51667	1/s
catalytic rate constant geometric mean	PGI_R02740		145.69591	1/s
catalytic rate constant geometric mean	PFK_R04779		90.817676	1/s
catalytic rate constant geometric mean	ALD_R01070		414.07697	1/s
catalytic rate constant geometric mean	TIM_R01015		35.64125	1/s
catalytic rate constant geometric mean	GAP_R01061		74.486202	1/s
catalytic rate constant geometric mean	PGK_R01512		46.167421	1/s
catalytic rate constant geometric mean	PGM_R01518		36.554023	1/s
catalytic rate constant geometric mean	PGH_R00658		12.889295	1/s
catalytic rate constant geometric mean	PYK_R00200		169.54085	1/s
catalytic rate constant geometric mean	PDH_R00209		33.20952	1/s
catalytic rate constant geometric mean	ZWF_R00835		127.01177	1/s
catalytic rate constant geometric mean	GLH_R02035		8.3741439	1/s
catalytic rate constant geometric mean	PGD_R01528		187.55588	1/s
catalytic rate constant geometric mean	RPI_R01056		7.3893314	1/s
catalytic rate constant geometric mean	RPE_R01529		140.5386	1/s
catalytic rate constant geometric mean	TXT_R01641		246.21071	1/s
catalytic rate constant geometric mean	TAL_R08575		33.998793	1/s
