!!SBtab TableID='Flux' TableType='Quantity' Organism='Escherichia coli' SBtabVersion='1.0' 
!QuantityType	!Reaction	!Reaction:Identifiers:kegg.reaction	!Value	!Std
rate of reaction	HXK_R01786	R01786	14.9	1.6
rate of reaction	PTS_RPTSsy	RPTSsy	14.9	1.6
rate of reaction	PGI_R02740	R02740	12.2	1.5
rate of reaction	PFK_R04779	R04779	12.2	1.5
rate of reaction	ALD_R01070	R01070	12.2	1.5
rate of reaction	TIM_R01015	R01015	12.2	1.5
rate of reaction	GAP_R01061	R01061	26.5	3.0
rate of reaction	PGK_R01512	R01512	26.5	3.0
rate of reaction	PGM_R01518	R01518	26.5	3.0
rate of reaction	PGH_R00658	R00658	26.5	3.0
rate of reaction	PYK_R00200	R00200	11.4	3.1
rate of reaction	LDH_R00704	R00704	1.2	0.1
rate of reaction	PDH_R00209	R00209	24.3	3.3
rate of reaction	ZWF_R00835	R00835	2.5	0.7
rate of reaction	GLH_R02035	R02035	2.5	0.7
rate of reaction	PGD_R01528	R01528	0.19	0.24
rate of reaction	RPI_R01056	R01056	-0.04	0.08
rate of reaction	RPE_R01529	R01529	-0.1	0.17
rate of reaction	TXT_R01641	R01641	-0.1	0.17
rate of reaction	TAL_R08575	R08575	-0.04	0.08
rate of reaction	TXT_R01067	R01067	-0.06	0.08
rate of reaction	FBP_R00762	R00762	0.0	0.1
rate of reaction	CSN_R00351	R00351	1.4	0.5
rate of reaction	ACN_R01325	R01325	1.4	0.5
rate of reaction	ACN_R01900	R01900	1.4	0.5
rate of reaction	ICD_R00709	R00709	0.7	0.2	
rate of reaction	KGD_R08549	R08549	0.7	0.3
rate of reaction	SCS_R00405	R00405	0.7	0.3
rate of reaction	SDH_R02164	R02164	0.2	0.42
rate of reaction	FUM_R01082	R01082	0.33	0.23
rate of reaction	MDH_R00342	R00342	0.33	0.9
rate of reaction	PPC_R00345	R00345	-2.1	1.2
