!!SBtab Document='small_model' TableName='Parameter' TableType='Quantity' SBtabVersion='1.0' Date='2019-06-10'				
!QuantityType	!Reaction	!Compound	!Value	!Unit
equilibrium constant	E1		0.057849555	dimensionless
equilibrium constant	E2		1.5948133	dimensionless
equilibrium constant	E3		4.7981309	dimensionless
equilibrium constant	E4		0.78537533	dimensionless
equilibrium constant	E5		0.63199632	dimensionless
catalytic rate constant geometric mean	E1		243.06993	1/s
catalytic rate constant geometric mean	E2		120.46756	1/s
catalytic rate constant geometric mean	E3		574.25633	1/s
catalytic rate constant geometric mean	E4		59.571696	1/s
catalytic rate constant geometric mean	E5		713.70161	1/s
Michaelis constant	E1	X1	0.012579431	mM
Michaelis constant	E1	S2	0.010072287	mM
Michaelis constant	E3	S2	1.7860312	mM
Michaelis constant	E2	X3	1.8191652	mM
Michaelis constant	E2	S4	0.021124972	mM
Michaelis constant	E3	S4	0.10374492	mM
Michaelis constant	E3	S5	0.60424267	mM
Michaelis constant	E4	S5	0.37205075	mM
Michaelis constant	E5	S5	0.061495304	mM
Michaelis constant	E4	X6	0.33636445	mM
Michaelis constant	E5	X7	0.016322693	mM
substrate catalytic rate constant	E1		65.335271	1/s
substrate catalytic rate constant	E2		1411.767	1/s
substrate catalytic rate constant	E3		696.56892	1/s
substrate catalytic rate constant	E4		55.523219	1/s
substrate catalytic rate constant	E5		1101.2832	1/s
product catalytic rate constant	E1		904.30467	1/s
product catalytic rate constant	E2		10.279623	1/s
product catalytic rate constant	E3		473.42097	1/s
product catalytic rate constant	E4		63.915369	1/s
product catalytic rate constant	E5		462.52406	1/s
