!!!SBtab Document='small_model'				

!!SBtab Document='small_model' TableID='Parameter' TableType='Quantity' TableName='Parameter'				
!QuantityType	!Reaction	!Compound	!Mode	!Unit	!Compound:Identifiers:kegg.reaction	!Compound:Identifiers:kegg.compound
equilibrium constant	E1		0.053116813	dimensionless	E1	
equilibrium constant	E2		1.7628165	dimensionless	E2	
equilibrium constant	E3		4.3567378	dimensionless	E3	
equilibrium constant	E4		0.64466321	dimensionless	E4	
equilibrium constant	E5		0.63100042	dimensionless	E5	
catalytic rate constant geometric mean	E1		266.53684	1/s	E1	
catalytic rate constant geometric mean	E2		145.99058	1/s	E2	
catalytic rate constant geometric mean	E3		512.72622	1/s	E3	
catalytic rate constant geometric mean	E4		50.769843	1/s	E4	
catalytic rate constant geometric mean	E5		724.76093	1/s	E5	
Michaelis constant	E1	X1	0.0088392088	mM	E1	X1
Michaelis constant	E1	S2	0.012924562	mM	E1	S2
Michaelis constant	E3	S2	2.6262038	mM	E3	S2
Michaelis constant	E2	X3	1.7340017	mM	E2	X3
Michaelis constant	E2	S4	0.011078713	mM	E2	S4
Michaelis constant	E3	S4	0.062242689	mM	E3	S4
Michaelis constant	E3	S5	0.35681279	mM	E3	S5
Michaelis constant	E4	S5	0.44572864	mM	E4	S5
Michaelis constant	E5	S5	0.045437679	mM	E5	S5
Michaelis constant	E4	X6	0.26403523	mM	E4	X6
Michaelis constant	E5	X7	0.01518833	mM	E5	X7
substrate catalytic rate constant	E1		50.800973	1/s	E1	
substrate catalytic rate constant	E2		2424.9818	1/s	E2	
substrate catalytic rate constant	E3		724.35993	1/s	E3	
substrate catalytic rate constant	E4		52.96349	1/s	E4	
substrate catalytic rate constant	E5		995.77829	1/s	E5	
product catalytic rate constant	E1		1398.4355	1/s	E1	
product catalytic rate constant	E2		8.7890348	1/s	E2	
product catalytic rate constant	E3		362.92479	1/s	E3	
product catalytic rate constant	E4		48.667054	1/s	E4	
product catalytic rate constant	E5		527.50538	1/s	E5	
