!!!SBtab Document='double_branch_model'
				
!!SBtab TableID='Reaction' TableType='Reaction' TableName='Reaction'				
!ID	!ReactionFormula	!Name	!Identifiers:kegg.reaction	!IsReversible	
E1	X1 <=> S2	E1	E1	True	
E2	X3 <=> S4	E2	E2	True	
E3	S2 + S4 <=> S5	E3	E3	True	
E4	S5 <=> X6	E4	E4	True	
E5	S5 <=> X7	E5	E5	True	
				
!!SBtab TableID='Compound' TableType='Compound' TableName='Compound'				
!ID	!Name	!Identifiers:kegg.compound	!IsConstant		
X1	X1	X1	True		
S2	S2	S2	False		
X3	X3	X3	True		
S4	S4	S4	False		
S5	S5	S5	False		
X6	X6	X6	True		
X7	X7	X7	True		

!!SBtab TableType='Position' TableID='Position'						
!PositionX	!PositionY	!Element	!Element:Identifiers:kegg:compound	!Element:Identifiers:kegg:reaction	!IsFixed	!IsInvisible
-0.004722	0.7662	X1			1	0
0.18043459	0.76591403	S2			1	0
-0.0065602717	0.50699807	X3			1	0
0.18248948	0.51110785	S4			1	0
0.36948434	0.63851094	S5			1	0
0.61401608	0.76385915	X6			1	0
0.61196119	0.51110785	X7			1	0
0.079745049	0.76591403	E1			1	0
0.083854826	0.50905296	E2			1	0
0.28934368	0.63851094	E3			1	0
0.44757011	0.7001576	E4			1	0
0.44757011	0.58097406	E5			1	0

!!SBtab Document='double_branch_model' TableID='Parameter' TableType='Quantity' TableName='Parameter'				
!QuantityType	!Reaction	!Compound	!Mode	!Unit	!Compound:Identifiers:kegg.reaction	!Compound:Identifiers:kegg.compound
equilibrium constant	E1		0.053116813	dimensionless	E1	
equilibrium constant	E2		1.7628165	dimensionless	E2	
equilibrium constant	E3		4.3567378	dimensionless	E3	
equilibrium constant	E4		0.64466321	dimensionless	E4	
equilibrium constant	E5		0.63100042	dimensionless	E5	
catalytic rate constant geometric mean	E1		266.53684	1/s	E1	
catalytic rate constant geometric mean	E2		145.99058	1/s	E2	
catalytic rate constant geometric mean	E3		512.72622	1/s	E3	
catalytic rate constant geometric mean	E4		50.769843	1/s	E4	
catalytic rate constant geometric mean	E5		724.76093	1/s	E5	
Michaelis constant	E1	X1	0.0088392088	mM	E1	X1
Michaelis constant	E1	S2	0.012924562	mM	E1	S2
Michaelis constant	E3	S2	2.6262038	mM	E3	S2
Michaelis constant	E2	X3	1.7340017	mM	E2	X3
Michaelis constant	E2	S4	0.011078713	mM	E2	S4
Michaelis constant	E3	S4	0.062242689	mM	E3	S4
Michaelis constant	E3	S5	0.35681279	mM	E3	S5
Michaelis constant	E4	S5	0.44572864	mM	E4	S5
Michaelis constant	E5	S5	0.045437679	mM	E5	S5
Michaelis constant	E4	X6	0.26403523	mM	E4	X6
Michaelis constant	E5	X7	0.01518833	mM	E5	X7
substrate catalytic rate constant	E1		50.800973	1/s	E1	
substrate catalytic rate constant	E2		2424.9818	1/s	E2	
substrate catalytic rate constant	E3		724.35993	1/s	E3	
substrate catalytic rate constant	E4		52.96349	1/s	E4	
substrate catalytic rate constant	E5		995.77829	1/s	E5	
product catalytic rate constant	E1		1398.4355	1/s	E1	
product catalytic rate constant	E2		8.7890348	1/s	E2	
product catalytic rate constant	E3		362.92479	1/s	E3	
product catalytic rate constant	E4		48.667054	1/s	E4	
product catalytic rate constant	E5		527.50538	1/s	E5	

!!SBtab TableID='MetaboliteConcentration' TableType='Quantity' TableName='Metabolite concentrations' Unit='mM'
!QuantityType	!Compound	!Compound:Identifiers:kegg.compound	!Mean	!Std
concentration	X1	X1	9.3659498	9.3659498
concentration	S2	S2	0.17546937	0.17546937
concentration	X3	X3	0.91346564	0.91346564
concentration	S4	S4	0.44364711	0.44364711
concentration	S5	S5	0.02725894	0.02725894
concentration	X6	X6	0.67248978	0.67248978
concentration	X7	X7	0.011862164	0.011862164

!!SBtab TableID='Flux' TableType='Quantity' TableName='Metabolic flux' Unit='mM/s'			
!QuantityType	!Reaction	!Reaction:Identifiers:kegg.reaction	!Mean	!Std
rate of reaction	E1	E1	0.028308167	0.028308167
rate of reaction	E2	E2	0.028308167	0.028308167
rate of reaction	E3	E3	0.028308167	0.028308167
rate of reaction	E4	E4	-0.01738812	0.01738812
rate of reaction	E5	E5	0.045696293	0.045696293

!!SBtab TableID='EnzymeConcentration' TableType='Quantity' TableName='Enzyme levels' Unit='mM'
!QuantityType	!Reaction	!Reaction:Identifiers:kegg.reaction	!Mean	!Std
concentration of enzyme	E1	E1	0.00091380148	0.00091380148
concentration of enzyme	E2	E2	0.00125971	0.00125971   
concentration of enzyme	E3	E3	0.00076423212	0.00076423212
concentration of enzyme	E4	E4	0.0005035739	0.0005035739 
concentration of enzyme	E5	E5	0.00067196248	0.00067196248

