!!!SBtab DocumentName='CMB result' Document='CMBresult' CalculationTime='314.422555 s'					
					
!!SBtab TableName='Metabolite concentrations' TableID='MetaboliteConcentration' TableType='QuantityMatrix' Unit='mM'					
!QuantityType	!Compound	S1	S2	S3	S4
concentration	_S__Malate	0.14344349	0.099065481	0.028144128	0.10264794
concentration	Acetyl_CoA	0.022812428	0.032417412	0.00073557847	0.043408105
concentration	Fumarate	0.16243932	0.11218438	0.033263343	0.11624126
concentration	cis_Aconitate	0.1094392	0.12553302	0.007053205	0.12694854
concentration	_6_Phospho_D_gluconate	0.082695105	0.063702123	0.13429727	0.055798443
concentration	Orthophosphate	0.0014608911	0.0014463575	0.00073788924	0.0010030936
concentration	Pyruvate	0.14574079	0.10150578	0.062077026	0.38796969
concentration	NADPplus	0.0020812417	0.0018091649	0.00085709337	0.0019451906
concentration	NADPH	0.0012692849	0.0011965154	0.0013986608	0.00056410263
concentration	NADH	0.00077633887	0.0012797371	0.0010355217	0.00049297205
concentration	NADplus	0.0012785855	0.0007843159	0.0011306738	0.00081434144
concentration	ATP	0.00079909817	0.00078803935	0.0013803114	0.00098454924
concentration	H2O	0.00093963806	0.0019229607	0.00072309469	0.0011954691
concentration	_2_Oxoglutarate	0.37327401	0.36231329	0.2406501	0.4350226
concentration	Oxaloacetate	0.00065061132	0.0010602235	0.0011230326	0.00078849469
concentration	Ubiquinone	0.00086448436	0.00050314924	0.0017003787	0.0014145829
concentration	D_Erythrose_4_phosphate	3.503717	5.1190818	4.3725149	3.5797539
concentration	Ubiquinol	0.00076087485	0.00096592599	0.00042166967	0.00083636691
concentration	ADP	0.0014797913	0.0011930049	0.0013257096	0.0010306488
concentration	Isocitrate	0.00072837755	0.00083090993	4.7164555e-05	0.00084227037
concentration	D_Ribulose_5_phosphate	0.40423448	0.42260344	0.2345223	0.27405343
concentration	D_Xylulose_5_phosphate	0.097597236	0.10236007	0.056600534	0.066153171
concentration	D_Glucose_6_phosphate	0.055273203	0.10728129	0.18561885	0.047977841
concentration	_3_Phospho_D_glyceroyl_phosphate	0.00039354817	0.0005445545	0.0007626693	0.00105194
concentration	CoA	0.073959671	0.14525154	0.062997328	0.14168243
concentration	CO2	0.001095967	0.00077992404	0.00069338871	0.00083101113
concentration	D_Ribose_5_phosphate	0.349479	0.40893017	0.26010862	0.30372815
concentration	Glycerone_phosphate	0.016639986	0.01554727	0.0097223575	0.022197882
concentration	D_Glucose	8.2105582	8.4521489	3.7882732	8.762244
concentration	D_Fructose_1_6_bisphosphate	0.12676751	0.19770049	0.051714806	0.12269386
concentration	D_Glyceraldehyde_3_phosphate	0.090234197	0.11641964	0.067387734	0.051252802
concentration	Phosphoenolpyruvate	0.046585506	0.063490936	0.10975434	0.11931085
concentration	Citrate	0.0089024386	0.010501355	0.00057263868	0.010720171
concentration	Succinyl_CoA	0.14304288	0.16451253	0.2187325	0.2296031
concentration	_3_Phospho_D_glycerate	0.014761669	0.020040094	0.034495161	0.037534598
concentration	D_Glucono_1_5_lactone_6_phosphate	0.0131301	0.051892626	0.043100387	0.0078524318
concentration	D_Fructose_6_phosphate	0.11683988	0.14039559	0.10646877	0.13414949
concentration	_2_Phospho_D_glycerate	0.0029860297	0.0040686527	0.0070329612	0.0076466692
concentration	Succinate	0.0016520688	0.0024277489	0.00010500488	0.0007736446
concentration	Sedoheptulose_7_phosphate	0.1751123	0.17228968	0.10530358	0.18584925
					
!!SBtab TableName='Enzyme concentrations' TableID='EnzymeConcentration' TableType='QuantityMatrix' Unit='mM'					
!QuantityType	!Reaction	S1	S2	S3	S4
concentration of enzyme	PTS_RPTSsy	0.00042959621	0.00090676978	0.00050119266	0.00082874296
concentration of enzyme	PGI_R02740	0.0010484667	0.0022468455	0.0018432224	0.0017955966
concentration of enzyme	PFK_R04779	0.00087234769	0.00084155418	0.00079779565	0.00078529796
concentration of enzyme	ALD_R01070	0.0010136474	0.0016517229	0.00085507742	0.00067601912
concentration of enzyme	TIM_R01015	0.0018438872	0.00067539534	0.0011035876	0.00072591434
concentration of enzyme	GAP_R01061	0.00085572768	0.0008726605	0.0012048675	0.00076059942
concentration of enzyme	PGK_R01512	0.00087773462	0.0011480469	0.00084118433	0.00061407374
concentration of enzyme	PGM_R01518	0.0014873728	0.00096675882	0.00097674947	0.00050775122
concentration of enzyme	PGH_R00658	0.0009107316	0.00090269182	0.0013337056	0.00080760784
concentration of enzyme	PYK_R00200	0.0012189524	0.0014064667	0.0012134947	0.00093747433
concentration of enzyme	PDH_R00209	0.0007292481	0.00025543125	0.00063050219	0.00087045554
concentration of enzyme	ZWF_R00835	0.0014439835	0.0014839972	0.0012954783	0.0010262077
concentration of enzyme	GLH_R02035	0.001149738	0.00051319769	0.00047915765	0.00098268119
concentration of enzyme	PGD_R01528	0.0022017189	0.0025448131	0.0012343013	0.0017215434
concentration of enzyme	RPI_R01056	0.00077805551	0.00073848258	0.0010891851	0.0011984126
concentration of enzyme	RPE_R01529	0.0012804946	0.0021815066	0.00094817516	0.0011359449
concentration of enzyme	TXT_R01641	0.00029366994	0.0005268565	0.00076627351	0.00031235997
concentration of enzyme	TAL_R08575	0.00046719441	0.00045196449	0.0007767268	0.00054655286
concentration of enzyme	TXT_R01067	0.00095075254	0.0023114075	0.0012579741	0.0013382448
concentration of enzyme	FBP_R00762	0.0022691671	0.0023921795	0.0021953984	0.0013712214
concentration of enzyme	CSN_R00351	0.0005472918	0.00076974975	5.5803542e-05	0.0010124403
