!!SBtab Document='e_coli_artificial' TableName='Parameter' TableType='Quantity' SBtabVersion='1.0' Date='2019-06-11'				
!QuantityType	!Reaction	!Compound	!Value	!Unit
equilibrium constant	PTS_RPTSsy		0.021221477	dimensionless
equilibrium constant	PGI_R02740		98.892654	dimensionless
equilibrium constant	PFK_R04779		0.4100546	dimensionless
equilibrium constant	ALD_R01070		0.008289177	dimensionless
equilibrium constant	TIM_R01015		2.1102449	dimensionless
equilibrium constant	GAP_R01061		0.052329326	dimensionless
equilibrium constant	PGK_R01512		14.725802	dimensionless
equilibrium constant	PGM_R01518		0.21045577	dimensionless
equilibrium constant	PGH_R00658		28.248525	dimensionless
equilibrium constant	PYK_R00200		5.1199392	dimensionless
equilibrium constant	PDH_R00209		0.002637456	dimensionless
equilibrium constant	ZWF_R00835		2.1450102	dimensionless
equilibrium constant	GLH_R02035		10.031616	dimensionless
equilibrium constant	PGD_R01528		1.7806649	dimensionless
equilibrium constant	RPI_R01056		1.0153269	dimensionless
equilibrium constant	RPE_R01529		0.42161019	dimensionless
equilibrium constant	TXT_R01641		0.90289874	dimensionless
equilibrium constant	TAL_R08575		103.57074	dimensionless
equilibrium constant	TXT_R01067		0.022303382	dimensionless
equilibrium constant	FBP_R00762		5.3111569	dimensionless
equilibrium constant	CSN_R00351		34.596704	dimensionless
equilibrium constant	ACN_R01325		6.9580274	dimensionless
equilibrium constant	ACN_R01900		0.011400968	dimensionless
equilibrium constant	ICD_R00709		2.8281638	dimensionless
equilibrium constant	KGD_R08549		0.092991629	dimensionless
equilibrium constant	SCS_R00405		3.4716095	dimensionless
equilibrium constant	SDH_R02164		68.06309	dimensionless
equilibrium constant	FUM_R01082		0.69909324	dimensionless
equilibrium constant	MDH_R00342		0.026757676	dimensionless
equilibrium constant	PPC_R00345		2.9053353	dimensionless
catalytic rate constant geometric mean	PTS_RPTSsy		2383.8429	1/s
catalytic rate constant geometric mean	PGI_R02740		70.352337	1/s
catalytic rate constant geometric mean	PFK_R04779		7805.034	1/s
catalytic rate constant geometric mean	ALD_R01070		5823.5113	1/s
catalytic rate constant geometric mean	TIM_R01015		286.39147	1/s
catalytic rate constant geometric mean	GAP_R01061		9608.4961	1/s
catalytic rate constant geometric mean	PGK_R01512		1014.3333	1/s
catalytic rate constant geometric mean	PGM_R01518		268.41893	1/s
catalytic rate constant geometric mean	PGH_R00658		7393.8987	1/s
catalytic rate constant geometric mean	PYK_R00200		4591.0003	1/s
catalytic rate constant geometric mean	PDH_R00209		9788.8794	1/s
catalytic rate constant geometric mean	ZWF_R00835		9390.7776	1/s
catalytic rate constant geometric mean	GLH_R02035		9697.8956	1/s
catalytic rate constant geometric mean	PGD_R01528		418.45353	1/s
catalytic rate constant geometric mean	RPI_R01056		7479.5891	1/s
catalytic rate constant geometric mean	RPE_R01529		8725.7107	1/s
catalytic rate constant geometric mean	TXT_R01641		1573.8425	1/s
catalytic rate constant geometric mean	TAL_R08575		8173.3457	1/s
catalytic rate constant geometric mean	TXT_R01067		397.59293	1/s
catalytic rate constant geometric mean	FBP_R00762		5808.5947	1/s
catalytic rate constant geometric mean	CSN_R00351		3290.1178	1/s
