!!SBtab Document='e_coli_artificial' TableName='Parameter' TableType='Quantity' SBtabVersion='1.0' Date='2019-06-10'				
!QuantityType	!Reaction	!Compound	!Value	!Unit
equilibrium constant	PTS_RPTSsy		0.01900489	dimensionless
equilibrium constant	PGI_R02740		28.288437	dimensionless
equilibrium constant	PFK_R04779		0.43145238	dimensionless
equilibrium constant	ALD_R01070		0.0089232703	dimensionless
equilibrium constant	TIM_R01015		0.95941523	dimensionless
equilibrium constant	GAP_R01061		0.01080467	dimensionless
equilibrium constant	PGK_R01512		12.378506	dimensionless
equilibrium constant	PGM_R01518		0.22446478	dimensionless
equilibrium constant	PGH_R00658		14.605102	dimensionless
equilibrium constant	PYK_R00200		6.9949646	dimensionless
equilibrium constant	PDH_R00209		0.0014734961	dimensionless
equilibrium constant	ZWF_R00835		7.0027351	dimensionless
equilibrium constant	GLH_R02035		13.299911	dimensionless
equilibrium constant	PGD_R01528		3.8674125	dimensionless
equilibrium constant	RPI_R01056		1.15361	dimensionless
equilibrium constant	RPE_R01529		0.23365033	dimensionless
equilibrium constant	TXT_R01641		0.60058015	dimensionless
equilibrium constant	TAL_R08575		122.65031	dimensionless
equilibrium constant	TXT_R01067		0.037458214	dimensionless
equilibrium constant	FBP_R00762		3.2108542	dimensionless
equilibrium constant	CSN_R00351		47.936982	dimensionless
equilibrium constant	ACN_R01325		11.964794	dimensionless
equilibrium constant	ACN_R01900		0.0065486278	dimensionless
equilibrium constant	ICD_R00709		4.7982922	dimensionless
equilibrium constant	KGD_R08549		0.23666934	dimensionless
equilibrium constant	SCS_R00405		2.8304045	dimensionless
equilibrium constant	SDH_R02164		85.133491	dimensionless
equilibrium constant	FUM_R01082		1.1614135	dimensionless
equilibrium constant	MDH_R00342		0.066265031	dimensionless
equilibrium constant	PPC_R00345		1.6923655	dimensionless
catalytic rate constant geometric mean	PTS_RPTSsy		495.65889	1/s
catalytic rate constant geometric mean	PGI_R02740		123.85029	1/s
catalytic rate constant geometric mean	PFK_R04779		168.57589	1/s
catalytic rate constant geometric mean	ALD_R01070		330.41919	1/s
catalytic rate constant geometric mean	TIM_R01015		31.646942	1/s
catalytic rate constant geometric mean	GAP_R01061		136.98422	1/s
catalytic rate constant geometric mean	PGK_R01512		28.594001	1/s
catalytic rate constant geometric mean	PGM_R01518		81.610377	1/s
catalytic rate constant geometric mean	PGH_R00658		1217.5334	1/s
catalytic rate constant geometric mean	PYK_R00200		15.446919	1/s
catalytic rate constant geometric mean	PDH_R00209		91.74114	1/s
catalytic rate constant geometric mean	ZWF_R00835		179.81862	1/s
catalytic rate constant geometric mean	GLH_R02035		20.389632	1/s
catalytic rate constant geometric mean	PGD_R01528		306.52391	1/s
catalytic rate constant geometric mean	RPI_R01056		8.3640788	1/s
catalytic rate constant geometric mean	RPE_R01529		374.56735	1/s
catalytic rate constant geometric mean	TXT_R01641		291.62865	1/s
catalytic rate constant geometric mean	TAL_R08575		24.625101	1/s
catalytic rate constant geometric mean	TXT_R01067		83.735614	1/s
catalytic rate constant geometric mean	FBP_R00762		423.64954	1/s
catalytic rate constant geometric mean	CSN_R00351		105.98983	1/s
catalytic rate constant geometric mean	ACN_R01325		7.9779858	1/s
catalytic rate constant geometric mean	ACN_R01900		195.54724	1/s
catalytic rate constant geometric mean	ICD_R00709		220.37927	1/s
catalytic rate constant geometric mean	KGD_R08549		216.86632	1/s
catalytic rate constant geometric mean	SCS_R00405		387.6839	1/s
catalytic rate constant geometric mean	SDH_R02164		483.24262	1/s
catalytic rate constant geometric mean	FUM_R01082		1347.204	1/s
catalytic rate constant geometric mean	MDH_R00342		29.206354	1/s
catalytic rate constant geometric mean	PPC_R00345		11.386757	1/s
Michaelis constant	FUM_R01082	_S__Malate	1.2025485	mM
Michaelis constant	MDH_R00342	_S__Malate	0.076431669	mM
Michaelis constant	PDH_R00209	Acetyl_CoA	0.15845286	mM
Michaelis constant	CSN_R00351	Acetyl_CoA	0.11259486	mM
Michaelis constant	SDH_R02164	Fumarate	0.19155638	mM
Michaelis constant	FUM_R01082	Fumarate	2.3303763	mM
Michaelis constant	ACN_R01325	cis_Aconitate	0.20136438	mM
Michaelis constant	ACN_R01900	cis_Aconitate	0.07114981	mM
Michaelis constant	GLH_R02035	_6_Phospho_D_gluconate	1.5300329	mM
Michaelis constant	PGD_R01528	_6_Phospho_D_gluconate	0.45461458	mM
Michaelis constant	GAP_R01061	Orthophosphate	0.15767956	mM
Michaelis constant	FBP_R00762	Orthophosphate	0.082354205	mM
Michaelis constant	SCS_R00405	Orthophosphate	0.18833209	mM
Michaelis constant	PPC_R00345	Orthophosphate	0.21554728	mM
Michaelis constant	PTS_RPTSsy	Pyruvate	0.053116759	mM
Michaelis constant	PYK_R00200	Pyruvate	0.068639679	mM
Michaelis constant	PDH_R00209	Pyruvate	0.11809873	mM
Michaelis constant	ZWF_R00835	NADPplus	0.040051529	mM
Michaelis constant	PGD_R01528	NADPplus	0.28685513	mM
Michaelis constant	ZWF_R00835	NADPH	0.24842201	mM
Michaelis constant	PGD_R01528	NADPH	0.23499047	mM
Michaelis constant	GAP_R01061	NADH	0.16112276	mM
Michaelis constant	PDH_R00209	NADH	1.037958	mM
Michaelis constant	ICD_R00709	NADH	0.015940729	mM
Michaelis constant	KGD_R08549	NADH	0.062589734	mM
Michaelis constant	MDH_R00342	NADH	0.0087123834	mM
Michaelis constant	GAP_R01061	NADplus	0.55821878	mM
Michaelis constant	PDH_R00209	NADplus	0.28103816	mM
Michaelis constant	ICD_R00709	NADplus	0.089093564	mM
Michaelis constant	KGD_R08549	NADplus	0.15327455	mM
Michaelis constant	MDH_R00342	NADplus	0.06729978	mM
Michaelis constant	PFK_R04779	ATP	0.35236686	mM
Michaelis constant	PGK_R01512	ATP	0.077791253	mM
Michaelis constant	PYK_R00200	ATP	0.014478294	mM
Michaelis constant	SCS_R00405	ATP	11.079115	mM
Michaelis constant	ICD_R00709	_2_Oxoglutarate	1.4922742	mM
Michaelis constant	KGD_R08549	_2_Oxoglutarate	0.42042444	mM
Michaelis constant	CSN_R00351	Oxaloacetate	0.0072933294	mM
Michaelis constant	MDH_R00342	Oxaloacetate	0.29872423	mM
Michaelis constant	PPC_R00345	Oxaloacetate	0.17787906	mM
Michaelis constant	SDH_R02164	Ubiquinone	0.08406285	mM
Michaelis constant	TAL_R08575	D_Erythrose_4_phosphate	0.016642486	mM
Michaelis constant	TXT_R01067	D_Erythrose_4_phosphate	0.13267523	mM
Michaelis constant	SDH_R02164	Ubiquinol	0.041278275	mM
Michaelis constant	PFK_R04779	ADP	0.12210948	mM
Michaelis constant	PGK_R01512	ADP	0.12957572	mM
Michaelis constant	PYK_R00200	ADP	0.0079031498	mM
Michaelis constant	SCS_R00405	ADP	0.0036551255	mM
Michaelis constant	ACN_R01900	Isocitrate	0.58250849	mM
Michaelis constant	ICD_R00709	Isocitrate	0.10727306	mM
Michaelis constant	PGD_R01528	D_Ribulose_5_phosphate	0.023055411	mM
Michaelis constant	RPI_R01056	D_Ribulose_5_phosphate	0.30729777	mM
Michaelis constant	RPE_R01529	D_Ribulose_5_phosphate	0.092689347	mM
Michaelis constant	RPE_R01529	D_Xylulose_5_phosphate	0.017433402	mM
Michaelis constant	TXT_R01641	D_Xylulose_5_phosphate	0.16976387	mM
Michaelis constant	TXT_R01067	D_Xylulose_5_phosphate	8.5442557	mM
Michaelis constant	PTS_RPTSsy	D_Glucose_6_phosphate	0.069450506	mM
Michaelis constant	PGI_R02740	D_Glucose_6_phosphate	0.006395324	mM
Michaelis constant	ZWF_R00835	D_Glucose_6_phosphate	4.1791554	mM
Michaelis constant	GAP_R01061	_3_Phospho_D_glyceroyl_phosphate	0.59759452	mM
Michaelis constant	PGK_R01512	_3_Phospho_D_glyceroyl_phosphate	0.12934084	mM
Michaelis constant	PDH_R00209	CoA	0.083504986	mM
