!!!SBtab									
									
!!SBtab TableName='Metabolic fluxes' TableID='MetabolicFluxData' TableType='QuantityMatrix' Unit='mM/s'									
!QuantityType	!Reaction	state_1_Mean	state_1_Std	state_2_Mean	state_2_Std	state_3_Mean	state_3_Std	state_4_Mean	state_4_Std
rate of reaction	PTS_RPTSsy	0.0011510632	0.011189156	0.0010273154	0.011164406	-0.00043427302	0.011045798	0.002437889	0.011446521
rate of reaction	PGI_R02740	0.084950269	0.027948997	0.20119786	0.051198516	0.17701251	0.046361444	0.13767467	0.038493878
rate of reaction	PFK_R04779	0.0048322631	0.011925396	0.0039377135	0.011746486	0.012751641	0.013509271	0.0073294278	0.012424829
rate of reaction	ALD_R01070	-0.012291876	0.013417318	-0.0054829808	0.012055539	-0.0067685035	0.012312644	-0.0021169129	0.011382326
rate of reaction	TIM_R01015	-0.012291876	0.013417318	-0.0054829808	0.012055539	-0.0067685035	0.012312644	-0.0021169129	0.011382326
rate of reaction	GAP_R01061	-0.00013139357	0.010985222	-0.00022061556	0.011003066	-0.00037247043	0.011033437	-0.00023903336	0.01100675
rate of reaction	PGK_R01512	-0.00013139357	0.010985222	-0.00022061556	0.011003066	-0.00037247043	0.011033437	-0.00023903336	0.01100675
rate of reaction	PGM_R01518	-0.00013139357	0.010985222	-0.00022061556	0.011003066	-0.00037247043	0.011033437	-0.00023903336	0.01100675
rate of reaction	PGH_R00658	-0.00013139357	0.010985222	-0.00022061556	0.011003066	-0.00037247043	0.011033437	-0.00023903336	0.01100675
rate of reaction	PYK_R00200	-0.001147642	0.011188472	-0.0010267202	0.011164287	0.00043457628	0.011045858	-0.0024363762	0.011446218
rate of reaction	PDH_R00209	3.4192562e-06	0.010959627	5.9439432e-07	0.010959062	3.0319098e-07	0.010959004	1.5121305e-06	0.010959246
rate of reaction	ZWF_R00835	0.0033063673	0.011620217	0.0014778751	0.011254518	0.0013755108	0.011234045	0.0028386888	0.011526681
rate of reaction	GLH_R02035	0.0033063682	0.011620217	0.0014756899	0.011254081	0.0013756671	0.011234077	0.0028385286	0.011526649
rate of reaction	PGD_R01528	0.0033064075	0.011620225	0.0014756627	0.011254076	0.0013756088	0.011234065	0.0028383258	0.011526608
rate of reaction	RPI_R01056	0.0011966465	0.011198272	0.00043174881	0.011045293	0.00037850037	0.011034643	0.000677514	0.011094446
rate of reaction	RPE_R01529	0.002116677	0.011382279	0.001032977	0.011165539	0.00099160892	0.011157265	0.002122066	0.011383356
rate of reaction	TXT_R01641	0.0011830161	0.011195546	0.0004236647	0.011043676	0.00037808008	0.011034559	0.0006659767	0.011092139
rate of reaction	TAL_R08575	0.0011769539	0.011194334	0.00041628619	0.0110422	0.0003755209	0.011034047	0.00063214694	0.011085373
rate of reaction	TXT_R01067	0.00093542426	0.011146028	0.00060665963	0.011080275	0.00061217347	0.011081378	0.001446655	0.011248274
rate of reaction	FBP_R00762	0.72780832	0.15652061	1.0958943	0.23013781	0.32016987	0.074992918	0.41849093	0.09465713
rate of reaction	CSN_R00351	3.4193615e-06	0.010959627	5.9446705e-07	0.010959062	3.0319747e-07	0.010959004	1.5121373e-06	0.010959246
rate of reaction	ACN_R01325	3.420984e-06	0.010959627	5.9584365e-07	0.010959062	3.0335991e-07	0.010959004	1.512344e-06	0.010959246
rate of reaction	ACN_R01900	3.4374907e-06	0.010959631	6.0378017e-07	0.010959064	3.0441815e-07	0.010959004	1.5132232e-06	0.010959246
rate of reaction	ICD_R00709	3.4375932e-06	0.010959631	6.0382737e-07	0.010959064	3.0442469e-07	0.010959004	1.5132284e-06	0.010959246
rate of reaction	KGD_R08549	1.5274262e-05	0.010961998	4.0581989e-06	0.010959755	2.5797835e-06	0.010959459	1.6842437e-06	0.01095928
rate of reaction	SCS_R00405	1.5104399e-05	0.010961964	3.415689e-06	0.010959626	2.5539461e-06	0.010959454	1.6668851e-06	0.010959277
rate of reaction	SDH_R02164	-0.00066977383	0.011092898	-0.0039483938	0.011748622	-0.00095842624	0.011150628	-0.00042171195	0.011043286
rate of reaction	FUM_R01082	-0.00067051288	0.011093046	-0.0039579062	0.011750524	-0.000960995	0.011151142	-0.00042206201	0.011043356
rate of reaction	MDH_R00342	-0.00067112716	0.011093169	-0.0039658013	0.011752103	-0.00096313603	0.01115157	-0.00042235226	0.011043414
rate of reaction	PPC_R00345	0.00052047811	0.011063039	0.00051838064	0.011062619	0.00027117661	0.011013178	0.0001417762	0.010987298
									
!!SBtab TableName='Metabolite concentrations' TableID='MetaboliteConcentrationData' TableType='QuantityMatrix' Unit='mM'									
!QuantityType	!Compound	state_1_Mean	state_1_Std	state_2_Mean	state_2_Std	state_3_Mean	state_3_Std	state_4_Mean	state_4_Std
concentration	_S__Malate	0.052433582	0.0096397697	0.10277327	0.018894582	0.14330656	0.026346517	0.074440341	0.013685652
concentration	Acetyl_CoA	3.27533e-06	6.0216039e-07	4.665486e-07	8.5773676e-08	1.7651386e-07	3.2451587e-08	6.6783252e-07	1.2277917e-07
concentration	Fumarate	0.062297255	0.011453179	0.1208638	0.022220478	0.17054527	0.031354278	0.088548834	0.016279459
concentration	cis_Aconitate	0.0018336761	0.0003371163	0.0019179562	0.00035261096	0.00090277873	0.00016597338	0.00097392116	0.00017905272
concentration	_6_Phospho_D_gluconate	0.003189665	0.00058641113	0.0011016534	0.00020253595	0.0030383419	0.0005585908	0.0020542947	0.00037767643
concentration	Orthophosphate	0.014817008	0.0027240662	0.014637834	0.0026911254	0.007527156	0.0013838469	0.010115777	0.0018597578
concentration	Pyruvate	0.073711549	0.013551665	0.073439866	0.013501717	0.044732697	0.0082239833	0.22389338	0.041162181
concentration	NADPplus	0.21071213	0.038738845	0.1832195	0.033684401	0.086745655	0.01594795	0.19683768	0.036188065
concentration	NADPH	0.12919173	0.023751544	0.12187688	0.02240673	0.14302995	0.026295663	0.057402915	0.010553368
concentration	NADH	0.0078570933	0.001444505	0.013211202	0.0024288431	0.010514672	0.0019330935	0.0050065324	0.0009204372
concentration	NADplus	0.12985608	0.023873683	0.078957626	0.014516142	0.11551253	0.021236661	0.08395756	0.015435366
concentration	ATP	0.081840022	0.015046063	0.079873422	0.014684509	0.14005415	0.02574857	0.099228679	0.018242919
concentration	H2O	0.095479453	0.017553635	0.19541515	0.035926538	0.073473326	0.013507869	0.12147891	0.022333564
concentration	_2_Oxoglutarate	4.6052964	0.84667105	3.1245526	0.57444039	3.1553466	0.58010178	3.9111229	0.71904917
concentration	Oxaloacetate	0.066576117	0.012239836	0.10867426	0.019979463	0.11411618	0.020979946	0.080260984	0.014755761
concentration	Ubiquinone	8.8380299e-05	1.6248475e-05	5.2363818e-05	9.6269438e-06	0.00017291415	3.178979e-05	0.00013864118	2.5488799e-05
concentration	D_Erythrose_4_phosphate	3.5393601	0.65070161	5.8626771	1.077837	4.5757211	0.84123372	3.6168969	0.66495654
concentration	Ubiquinol	7.7000294	1.4156292	9.6498154	1.774092	4.307485	0.79191926	8.7407218	1.6069576
concentration	ADP	0.014801879	0.0027212846	0.012118276	0.0022279117	0.013543438	0.0024899239	0.010611824	0.0019509546
concentration	Isocitrate	1.161721e-05	2.135792e-06	1.2249132e-05	2.2519692e-06	5.7704386e-06	1.0608793e-06	6.1908093e-06	1.1381632e-06
concentration	D_Ribulose_5_phosphate	0.51181995	0.094096689	0.39776385	0.073127789	0.24898484	0.045775177	0.34129101	0.062745413
concentration	D_Xylulose_5_phosphate	0.12279804	0.022576082	0.096310874	0.017706489	0.060027105	0.011035818	0.081695176	0.015019433
concentration	D_Glucose_6_phosphate	0.055879955	0.010273376	0.10921513	0.020078902	0.18525774	0.034059125	0.049206273	0.0090464378
concentration	_3_Phospho_D_glyceroyl_phosphate	0.0026234585	0.00048231563	0.0028189035	0.00051824765	0.0025831283	0.00047490102	0.0043894481	0.00080698794
concentration	CoA	0.0050883769	0.00093548409	0.0040258146	0.00074013493	0.00069849175	0.00012841579	0.0016838026	0.00030956248
concentration	CO2	0.00011025308	2.0269726e-05	8.0275647e-05	1.4758457e-05	6.9299064e-05	1.2740442e-05	8.5263033e-05	1.5675374e-05
concentration	D_Ribose_5_phosphate	0.38616445	0.07099527	0.40735396	0.074890904	0.27172912	0.049956651	0.34744942	0.06387762
concentration	Glycerone_phosphate	0.016772193	0.0030835216	0.015837942	0.002911762	0.010068264	0.0018510226	0.022648493	0.004163863
concentration	D_Glucose	8.3517104	1.535439	8.5588464	1.5735203	3.9070412	0.71829876	8.789987	1.6160149
concentration	D_Fructose_1_6_bisphosphate	0.12938103	0.023786346	0.20144241	0.037034632	0.051884234	0.0095387736	0.12616699	0.023195453
concentration	D_Glyceraldehyde_3_phosphate	0.09089399	0.01671061	0.11791737	0.021678784	0.068944719	0.012675297	0.052216874	0.0095999284
concentration	Phosphoenolpyruvate	0.047875587	0.0088017949	0.065168142	0.011980983	0.11142106	0.020484455	0.12286696	0.022588751
concentration	Citrate	0.00015792078	2.9033301e-05	0.00016037735	2.9484934e-05	7.5298944e-05	1.3843504e-05	9.2427986e-05	1.6992631e-05
concentration	Succinyl_CoA	11.625903	2.1373903	13.346684	2.4537511	7.4273961	1.3655063	19.023385	3.4973969
concentration	_3_Phospho_D_glycerate	0.012722122	0.0023389272	0.014710344	0.0027044562	0.024317391	0.0044706853	0.026408609	0.0048551501
concentration	D_Glucono_1_5_lactone_6_phosphate	0.37295261	0.068566311	0.90713141	0.16677361	0.63173133	0.11614207	0.45943302	0.084465495
concentration	D_Fructose_6_phosphate	0.12069249	0.022188981	0.14374369	0.026426882	0.10832706	0.019915631	0.13731213	0.025244458
concentration	_2_Phospho_D_glycerate	0.0028821526	0.00052987581	0.0039063226	0.00071816666	0.0067047934	0.0012326578	0.0074146274	0.0013631588
concentration	Succinate	20.280482	3.7285108	24.728898	4.5463398	25.927496	4.7666988	41.00955	7.5394928
concentration	Sedoheptulose_7_phosphate	0.23926029	0.043987345	0.15902082	0.029235541	0.11340684	0.020849535	0.25290664	0.04649619
									
!!SBtab TableName='Enzyme concentrations' TableID='EnzymeConcentrationData' TableType='QuantityMatrix' Unit='mM'									
!QuantityType	!Reaction	state_1_Mean	state_1_Std	state_2_Mean	state_2_Std	state_3_Mean	state_3_Std	state_4_Mean	state_4_Std
concentration of enzyme	PTS_RPTSsy	0.00044751568	8.2274526e-05	0.00092248036	0.00016959547	0.00055972503	0.00010290391	0.00081496753	0.00014982954
concentration of enzyme	PGI_R02740	0.001071424	0.00019697836	0.0022879755	0.00042063799	0.0018778328	0.00034523438	0.0018272361	0.00033593232
concentration of enzyme	PFK_R04779	0.00090729382	0.00016680347	0.00085104165	0.00015646166	0.00085945166	0.00015800782	0.00076438275	0.00014052966
concentration of enzyme	ALD_R01070	0.0010642404	0.00019565767	0.0017261815	0.00031735372	0.0007563022	0.00013904408	0.0007092276	0.00013038954
concentration of enzyme	TIM_R01015	0.0018870755	0.00034693363	0.00068903935	0.00012667799	0.0011222167	0.00020631645	0.00074877162	0.0001376596
concentration of enzyme	GAP_R01061	0.00084441224	0.00015524286	0.00084558751	0.00015545894	0.001206599	0.0002218299	0.00075847788	0.00013944407
concentration of enzyme	PGK_R01512	0.000907781	0.00016689304	0.0012158395	0.00022352875	0.00088221357	0.00016219254	0.00064565424	0.00011870175
concentration of enzyme	PGM_R01518	0.0014827369	0.0002725971	0.00094547229	0.00017382248	0.00092968525	0.00017092007	0.00052699763	9.6887064e-05
concentration of enzyme	PGH_R00658	0.00084474119	0.00015530334	0.00091804296	0.00016877967	0.001152542	0.00021189167	0.00077564262	0.00014259976
concentration of enzyme	PYK_R00200	0.0012761698	0.00023462031	0.0014223419	0.00026149364	0.0012245813	0.0002251359	0.00089443285	0.00016443902
concentration of enzyme	PDH_R00209	0.0007485841	0.00013762513	0.00023744718	4.3654011e-05	0.00064911111	0.00011933729	0.0008988318	0.00016524775
concentration of enzyme	ZWF_R00835	0.0014911799	0.00027414931	0.0015213314	0.0002796926	0.0013627147	0.00025053135	0.0010439604	0.00019192925
concentration of enzyme	GLH_R02035	0.0011702736	0.00021515158	0.00051978334	9.5560736e-05	0.00048530889	8.9222703e-05	0.0010030252	0.00018440343
concentration of enzyme	PGD_R01528	0.0022657467	0.0004165513	0.0026157129	0.00048089162	0.0012798003	0.00023528777	0.0017804224	0.00032732575
concentration of enzyme	RPI_R01056	0.00079496684	0.00014615246	0.00078453365	0.00014423435	0.0010842388	0.00019933431	0.0012202172	0.00022433358
concentration of enzyme	RPE_R01529	0.0013173663	0.00024219416	0.0021929936	0.00040317583	0.0010322925	0.00018978413	0.0011490635	0.00021125216
concentration of enzyme	TXT_R01641	0.00032611126	5.9954657e-05	0.00050755281	9.3312188e-05	0.00078508844	0.00014433635	0.00029711349	5.4623497e-05
concentration of enzyme	TAL_R08575	0.00049131781	9.0327427e-05	0.00047276784	8.6917066e-05	0.00079742417	0.00014660424	0.00056762074	0.00010435551
concentration of enzyme	TXT_R01067	0.00093240804	0.00017142065	0.002432644	0.0004472349	0.0012369458	0.00022740908	0.001357206	0.00024951859
concentration of enzyme	FBP_R00762	0.0023189086	0.00042632496	0.0024411918	0.00044880639	0.0022691785	0.00041718222	0.0013868611	0.0002549706
concentration of enzyme	CSN_R00351	0.000514512	9.4591615e-05	0.00078452235	0.00014423227	0.00079658289	0.00014644957	0.001078433	0.00019826693
concentration of enzyme	ACN_R01325	0.0037710672	0.00069330032	0.0012505059	0.00022990206	0.0014686441	0.00027000618	0.0011386942	0.0002093458
concentration of enzyme	ACN_R01900	0.0029187239	0.00053659936	0.0025534758	0.0004694495	0.0048196205	0.00088607395	0.0036060892	0.00066296957
concentration of enzyme	ICD_R00709	0.0011624437	0.00021371208	0.0036840351	0.0006772997	0.0041702816	0.00076669478	0.003413968	0.00062764861
concentration of enzyme	KGD_R08549	0.00038975213	7.1654857e-05	0.00042706908	7.8515474e-05	0.00058711557	0.00010793958	0.00038926956	7.1566136e-05
concentration of enzyme	SCS_R00405	0.00053816991	9.8941056e-05	0.00087323842	0.00016054248	0.00061528607	0.00011311865	0.00042222667	7.762521e-05
concentration of enzyme	SDH_R02164	0.00041330719	7.5985388e-05	0.00092742864	0.0001705052	0.00067597016	0.00012427525	0.00059067973	0.00010859484
concentration of enzyme	FUM_R01082	0.0026802885	0.00049276365	0.0023559813	0.00043314068	0.0028539591	0.00052469252	0.0017944993	0.00032991376
concentration of enzyme	MDH_R00342	0.00050448066	9.274738e-05	0.00063541838	0.00011681992	0.00061563964	0.00011318365	0.00062143843	0.00011424974
concentration of enzyme	PPC_R00345	0.0014294099	0.00026279308	0.0010314335	0.00018962621	0.0011454505	0.00021058793	0.0006259277	0.00011507508
