!!!SBtab									
									
!!SBtab TableName='Metabolic fluxes' TableID='FluxData' TableType='QuantityMatrix' Unit='mM/s'									
!QuantityType	!Reaction	S1_Mean	S1_Std	S2_Mean	S2_Std	S3_Mean	S3_Std	S4_Mean	S4_Std
rate of reaction	PTS_RPTSsy	-0.012052362	0.012182779	-0.020422113	0.012282579	0.00012142689	0.012499354	0.0015905438	0.01210811
rate of reaction	PGI_R02740	0.097554211	0.029048659	0.28678268	0.052298177	0.24744453	0.047461106	0.1700031	0.03959354
rate of reaction	PFK_R04779	-0.0023268095	0.012151751	0.0062821372	0.01215047	-0.008233965	0.012065738	0.00679958	0.012096562
rate of reaction	ALD_R01070	-0.0064496938	0.01451698	-0.013184458	0.013155201	-0.01387785	0.013412306	0.011162065	0.012481988
rate of reaction	TIM_R01015	-0.021764966	0.01451698	-0.012197973	0.013155201	-0.018296305	0.013412306	-0.012142929	0.012481988
rate of reaction	GAP_R01061	-0.023611205	0.012059206	0.0059361912	0.012059739	0.015742434	0.012061418	0.009624301	0.012060041
rate of reaction	PGK_R01512	0.00081331964	0.012059206	-0.0078544547	0.012059739	-0.0010553238	0.012061418	-0.003807204	0.012060041
rate of reaction	PGM_R01518	-0.00057364805	0.012059206	0.011172172	0.012059739	-0.025950615	0.012061418	0.014296801	0.012060041
rate of reaction	PGH_R00658	-0.008407296	0.012059206	-0.0022743035	0.012059739	0.00029026473	0.012061418	0.0010171895	0.012060041
rate of reaction	PYK_R00200	0.0061951443	0.012182791	0.0050603869	0.012282562	-0.011990592	0.012499398	-0.01700593	0.012108197
rate of reaction	PDH_R00209	0.00095636116	0.012058618	0.017126752	0.012058622	0.0086215864	0.012058649	-0.017534239	0.012058693
rate of reaction	ZWF_R00835	0.0076948394	0.012407465	-0.013355723	0.012319379	-0.0065060015	0.012271299	-0.021026865	0.012306504
rate of reaction	GLH_R02035	-0.027542002	0.012407531	-0.010133836	0.012319416	-0.010661228	0.012271299	-0.016764255	0.012306508
rate of reaction	PGD_R01528	0.0072583329	0.012408387	0.017440314	0.012319945	0.0027269774	0.0122713	-0.00045936775	0.012306559
rate of reaction	RPI_R01056	-0.003138034	0.012225639	0.0019525857	0.012168407	0.0080929189	0.012129536	-0.011803875	0.012139258
rate of reaction	RPE_R01529	0.0021307438	0.012246664	0.035319978	0.012214034	-0.0037684193	0.012200372	-0.032580055	0.012226154
rate of reaction	TXT_R01641	0.014447151	0.012222822	0.0038851162	0.012168552	0.013229066	0.012129536	0.020953428	0.012140098
rate of reaction	TAL_R08575	-0.013319387	0.012223368	0.0019655774	0.012170134	0.0010384982	0.012129538	-0.0030295434	0.012140802
rate of reaction	TXT_R01067	-0.0056226104	0.012083763	-0.012724681	0.012105038	0.0013901874	0.012129441	0.01405866	0.012144717
rate of reaction	FBP_R00762	0.89410194	0.17281671	1.0261421	0.2532307	0.4847876	0.079736531	0.41741487	0.10179046
rate of reaction	CSN_R00351	0.010707856	0.012060327	-0.018233329	0.012062335	0.0081442316	0.012058656	-0.0020081952	0.012063585
rate of reaction	ACN_R01325	0.00021137293	0.012060962	-0.013690785	0.012063613	-0.018640426	0.01205866	-0.00094924471	0.012064951
rate of reaction	ACN_R01900	0.010943193	0.012068736	0.015466471	0.012078631	0.0042648339	0.012058703	-0.00034429745	0.012080878
rate of reaction	ICD_R00709	0.01398774	0.012068785	-0.013718166	0.012078725	-0.0011142178	0.012058703	0.025377897	0.012080978
rate of reaction	KGD_R08549	0.010540693	0.012061866	-0.0063285418	0.01206224	0.0077067023	0.012060122	-0.0049374717	0.012061688
rate of reaction	SCS_R00405	-0.005651681	0.012059878	0.019035748	0.012059383	-0.010400665	0.012059916	0.035667462	0.012059019
rate of reaction	SDH_R02164	0.0072007445	0.012059934	0.0069821775	0.012059436	-0.010683902	0.012059917	-0.020346091	0.012059047
rate of reaction	FUM_R01082	0.010123434	0.012065687	0.0069958262	0.012062019	-0.014743657	0.012060198	0.0035238128	0.012063088
rate of reaction	MDH_R00342	0.0037349197	0.012070512	-0.017137096	0.012064184	-0.0022297898	0.012060434	-0.017690554	0.012066475
rate of reaction	PPC_R00345	0.013911838	0.012063743	-0.002313179	0.012061941	-0.020778076	0.012063237	0.0054000623	0.0120619
									
!!SBtab TableName='Metabolite concentrations' TableID='MetaboliteConcentrationData' TableType='QuantityMatrix' Unit='mM'									
!QuantityType	!Compound	S1_Mean	S1_Std	S2_Mean	S2_Std	S3_Mean	S3_Std	S4_Mean	S4_Std
concentration	_S__Malate	0.10258617	0.018860185	0.10885021	0.020011811	0.020346221	0.0037405967	0.10241174	0.018828117
concentration	Acetyl_CoA	0.023623938	0.004343196	0.031914615	0.0058674141	0.00063554048	0.00011684237	0.04360666	0.0080169644
concentration	Fumarate	0.13521794	0.024859445	0.12894932	0.023706977	0.030447794	0.0055977431	0.12100402	0.022246256
concentration	cis_Aconitate	0.16163181	0.029715564	0.11725338	0.021556712	0.0066738695	0.0012269725	0.14600478	0.026842577
concentration	_6_Phospho_D_gluconate	0.09947342	0.018287914	0.041450458	0.0076205527	0.12898977	0.023714414	0.049380192	0.0090784123
concentration	Orthophosphate	0.0019918104	0.00036618886	0.0015058071	0.00027683848	0.0010149491	0.0001865956	0.001256147	0.00023093917
concentration	Pyruvate	0.13699504	0.02518616	0.088954467	0.016354034	0.044080787	0.0081041313	0.48611696	0.089371264
concentration	NADPplus	0.0016944231	0.00031151503	0.0018585955	0.00034169766	0.0011031886	0.00020281818	0.002131977	0.0003919581
concentration	NADPH	0.00099733104	0.00018335657	0.0015483294	0.0002846561	0.0015760857	0.00028975902	0.00065986758	0.00012131484
concentration	NADH	0.00085572876	0.00015732338	0.0012889706	0.00023697369	0.0011733592	0.00021571886	0.00051661042	9.4977403e-05
concentration	NADplus	0.0016548831	0.0003042457	0.00061058887	0.00011225508	0.0012578292	0.00023124844	0.0007476567	0.00013745463
concentration	ATP	0.0012458223	0.000229041	0.0007753883	0.000142553	0.0014547222	0.00026744667	0.0010411472	0.00019141205
concentration	H2O	0.0011151342	0.00020501435	0.0028708976	0.00052780661	0.00072705775	0.00013366756	0.0013448795	0.00024725239
concentration	_2_Oxoglutarate	0.41854164	0.076947728	0.48786908	0.089693386	0.13532448	0.024879034	0.42076103	0.077355757
concentration	Oxaloacetate	0.0011934407	0.00021941079	0.0012838276	0.00023602816	0.001020585	0.00018763174	0.0008383459	0.00015412758
concentration	Ubiquinone	0.00083212728	0.00015298431	0.00068986611	0.00012682998	0.0017240538	0.00031696254	0.0012273154	0.00022563855
concentration	D_Erythrose_4_phosphate	3.0496053	0.56066154	4.8187027	0.88590522	5.1130392	0.94001817	4.0155231	0.73824286
concentration	Ubiquinol	0.00064237731	0.0001180993	0.00078397036	0.00014413079	0.00042373758	7.7902987e-05	0.00076445864	0.00014054362
concentration	ADP	0.0010522423	0.00019345185	0.001065562	0.00019590064	0.0013180979	0.00024232866	0.0011873983	0.0002182999
concentration	Isocitrate	0.00094054376	0.00017291638	0.00077001233	0.00014156465	3.7898443e-05	6.9675244e-06	0.00079307028	0.00014580379
concentration	D_Ribulose_5_phosphate	0.30524295	0.056118075	0.32512472	0.059773285	0.20842034	0.038317505	0.32531348	0.059807988
concentration	D_Xylulose_5_phosphate	0.085044187	0.01563514	0.10715882	0.019700854	0.065072149	0.011963335	0.065775439	0.012092633
concentration	D_Glucose_6_phosphate	0.06800893	0.012503254	0.099920058	0.018370028	0.1457426	0.026794376	0.038763861	0.0071266291
concentration	_3_Phospho_D_glyceroyl_phosphate	0.000372021	6.8395037e-05	0.00062249748	0.00011444445	0.00091562553	0.00016833523	0.0012361059	0.00022725466
concentration	CoA	0.1365099	0.025096969	0.12464177	0.022915047	0.056077354	0.010309667	0.11594341	0.021315877
concentration	CO2	0.001123594	0.00020656966	0.00085893577	0.00015791298	0.00062396254	0.00011471379	0.00089856039	0.00016519785
concentration	D_Ribose_5_phosphate	0.30804097	0.056632485	0.33198099	0.061033792	0.26531931	0.048778225	0.33509858	0.061606952
concentration	Glycerone_phosphate	0.018976897	0.0034888503	0.016494813	0.003032526	0.011155764	0.0020509565	0.020539636	0.0037761554
concentration	D_Glucose	7.3553029	1.3522522	7.9379494	1.4593701	3.7863537	0.6961107	7.4313037	1.3662247
concentration	D_Fructose_1_6_bisphosphate	0.12761573	0.0234618	0.16735931	0.030768548	0.04610137	0.0084756099	0.11132379	0.020466572
concentration	D_Glyceraldehyde_3_phosphate	0.091326194	0.016790069	0.1111125	0.020427727	0.067046299	0.012326277	0.042783476	0.0078656243
concentration	Phosphoenolpyruvate	0.06901047	0.012687385	0.068625163	0.012616547	0.11176946	0.020548508	0.11238702	0.020662044
concentration	Citrate	0.0074555048	0.001370674	0.010768846	0.0019798226	0.00065907942	0.00012116994	0.0093147523	0.0017124916
concentration	Succinyl_CoA	0.16303746	0.029973988	0.16735656	0.030768043	0.25479414	0.046843201	0.15954839	0.029332531
concentration	_3_Phospho_D_glycerate	0.019320785	0.0035520731	0.016552009	0.0030430413	0.02863634	0.0052647123	0.042713779	0.0078528106
concentration	D_Glucono_1_5_lactone_6_phosphate	0.011504502	0.002115071	0.056514378	0.010390013	0.029258951	0.0053791776	0.0098242733	0.0018061656
concentration	D_Fructose_6_phosphate	0.12186677	0.02240487	0.14827022	0.027259072	0.1103665	0.020290577	0.11898807	0.021875629
concentration	_2_Phospho_D_glycerate	0.0025238395	0.00046400094	0.0049421427	0.00090859933	0.0080896492	0.0014872597	0.0062944913	0.0011572249
concentration	Succinate	0.0023379715	0.00042982962	0.0034100906	0.00062693577	6.1829773e-05	1.1367233e-05	0.0006355247	0.00011683947
concentration	Sedoheptulose_7_phosphate	0.18573796	0.034147412	0.18658824	0.034303735	0.12018205	0.022095139	0.24862491	0.045709005
									
!!SBtab TableName='Enzyme concentrations' TableID='EnzymeConcentrationData' TableType='QuantityMatrix' Unit='mM'									
!QuantityType	!Reaction	S1_Mean	S1_Std	S2_Mean	S2_Std	S3_Mean	S3_Std	S4_Mean	S4_Std
concentration of enzyme	PTS_RPTSsy	0.00050504118	9.2850431e-05	0.001181711	0.00021725432	0.00066933956	0.00012305623	0.00082772737	0.0001521754
concentration of enzyme	PGI_R02740	0.0010854264	0.00019955265	0.0019375551	0.00035621417	0.001645792	0.00030257432	0.001690082	0.00031071693
concentration of enzyme	PFK_R04779	0.00081559089	0.00014994414	0.00082813744	0.00015225079	0.0013154075	0.00024183404	0.0006856306	0.0001260513
concentration of enzyme	ALD_R01070	0.0012805018	0.00023541673	0.0016044408	0.00029497202	0.00047499175	8.7325926e-05	0.00061908167	0.00011381646
concentration of enzyme	TIM_R01015	0.0018105878	0.00033287159	0.00062016939	0.00011401643	0.0013229351	0.00024321797	0.0008418875	0.0001547787
concentration of enzyme	GAP_R01061	0.00094962371	0.0001745857	0.0012185019	0.00022401823	0.0012576151	0.00023120907	0.0007322327	0.00013461897
concentration of enzyme	PGK_R01512	0.00094164415	0.00017311868	0.0011079549	0.00020369446	0.00082748693	0.00015213119	0.00063101856	0.00011601103
concentration of enzyme	PGM_R01518	0.0014749085	0.00027115788	0.00096092051	0.00017666259	0.0010235315	0.00018817345	0.00051994876	9.5591148e-05
concentration of enzyme	PGH_R00658	0.00070493815	0.00012960094	0.00091475183	0.00016817461	0.0013518489	0.0002485337	0.00095173259	0.00017497342
concentration of enzyme	PYK_R00200	0.0018321906	0.00033684319	0.0012432613	0.00022857017	0.0021425127	0.00039389507	0.00085412082	0.00015702776
concentration of enzyme	PDH_R00209	0.0006307319	0.00011595832	0.00019245857	3.5382979e-05	0.00057984949	0.00010660373	0.00083637492	0.00015376523
concentration of enzyme	ZWF_R00835	0.001111961	0.00020443098	0.0010666214	0.00019609542	0.0015645395	0.00028763628	0.0011216924	0.00020622007
concentration of enzyme	GLH_R02035	0.0011243054	0.00020670046	0.00052228133	9.6019984e-05	0.00058541825	0.00010762753	0.00088630768	0.00016294523
concentration of enzyme	PGD_R01528	0.0021539999	0.00039600695	0.0022500637	0.00041366802	0.0012921894	0.00023756546	0.001727426	0.00031758251
concentration of enzyme	RPI_R01056	0.00067710812	0.00012448446	0.00068827192	0.0001265369	0.0011267325	0.00020714667	0.0011120439	0.00020444621
concentration of enzyme	RPE_R01529	0.0014653552	0.00026940152	0.0015393887	0.00028301238	0.001273671	0.0002341609	0.0012562504	0.00023095817
concentration of enzyme	TXT_R01641	0.0003051753	5.6105639e-05	0.00060768194	0.00011172065	0.00073624696	0.00013535698	0.00037154317	6.8307189e-05
concentration of enzyme	TAL_R08575	0.00053009846	9.7457142e-05	0.00034910835	6.4182609e-05	0.00087601615	0.00016105316	0.00055208806	0.00010149987
concentration of enzyme	TXT_R01067	0.0011789585	0.00021674828	0.0035436785	0.00065149553	0.0014741339	0.00027101545	0.0015815263	0.00029075926
concentration of enzyme	FBP_R00762	0.0017952293	0.00033004796	0.0016701046	0.00030704414	0.0024351418	0.00044769412	0.001370169	0.0002519018
concentration of enzyme	CSN_R00351	0.00055791963	0.00010257199	0.00082458341	0.00015159739	0.00076453907	0.0001405584	0.0012665828	0.00023285776
concentration of enzyme	ACN_R01325	0.0049040306	0.00090159253	0.0008107609	0.00014905616	0.0015369737	0.00028256838	0.0010180061	0.00018715762
concentration of enzyme	ACN_R01900	0.0031013488	0.00057017444	0.0027363921	0.00050307816	0.0033986063	0.0006248244	0.0035324351	0.00064942846
concentration of enzyme	ICD_R00709	0.0012771123	0.00023479358	0.0030748914	0.00056531032	0.0047476588	0.000872844	0.0039158146	0.00071991172
concentration of enzyme	KGD_R08549	0.00037360578	6.8686394e-05	0.00043446858	7.9875852e-05	0.00078068569	0.00014352691	0.00042659868	7.8428993e-05
concentration of enzyme	SCS_R00405	0.00060063944	0.00011042591	0.00098199631	0.00018053732	0.00052932512	9.7314967e-05	0.00058319841	0.00010721942
concentration of enzyme	SDH_R02164	0.00046214095	8.4963342e-05	0.00080405296	0.00014782292	0.00060945549	0.00011204671	0.00059345293	0.00010910469
concentration of enzyme	FUM_R01082	0.0024954083	0.00045877394	0.0024206937	0.00044503787	0.0025011881	0.00045983654	0.0017928027	0.00032960185
concentration of enzyme	MDH_R00342	0.00057428645	0.00010558098	0.00053721898	9.8766229e-05	0.00051219203	9.4165094e-05	0.00075041691	0.00013796208
concentration of enzyme	PPC_R00345	0.0010118646	0.00018602851	0.0012816095	0.00023562038	0.0013086374	0.00024058939	0.00046733643	8.5918516e-05
