!!!SBtab									
									
!!SBtab TableName='Metabolic fluxes' TableID='FluxData' TableType='QuantityMatrix' Unit='mM/s'									
!QuantityType	!Reaction	state_1_Mean	state_1_Std	state_2_Mean	state_2_Std	state_3_Mean	state_3_Std	state_4_Mean	state_4_Std
rate of reaction	E1	0.0033143198	0.00068819711	0.0029442904	0.00053838342	0.0036059309	0.00055582059	0.0022232136	0.00042747789
rate of reaction	E2	0.0035917545	0.00069045079	0.0029950881	0.00053420851	0.0030161729	0.00057028065	0.0017394396	0.00042813862
rate of reaction	E3	0.0032089723	0.00072279116	0.0017731277	0.00043138844	0.0028273142	0.00068727316	0.0019361142	0.00043513774
									
!!SBtab TableName='Metabolite concentrations' TableID='MetaboliteConcentrationData' TableType='QuantityMatrix' Unit='mM'									
!QuantityType	!Compound	state_1_Mean	state_1_Std	state_2_Mean	state_2_Std	state_3_Mean	state_3_Std	state_4_Mean	state_4_Std
concentration	X1	8.8735147	3.750968	8.8386267	3.7362204	14.846311	6.275759	12.596397	5.3246863
concentration	S2	0.14139862	0.059771322	0.57504798	0.24308142	0.081402263	0.03440996	0.18623367	0.078723773
concentration	X3	1.2051613	0.5094398	2.7053936	1.1436105	1.160134	0.49040609	0.84038627	0.35524391
concentration	X4	0.5383274	0.22755908	0.61294355	0.25910045	0.43398277	0.18345104	1.4361309	0.60707411
									
!!SBtab TableName='Enzyme concentrations' TableID='EnzymeConcentrationData' TableType='QuantityMatrix' Unit='mM'									
!QuantityType	!Reaction	state_1_Mean	state_1_Std	state_2_Mean	state_2_Std	state_3_Mean	state_3_Std	state_4_Mean	state_4_Std
concentration of enzyme	E1	0.0024175949	0.0010219537	0.0017468234	0.00073840852	0.00064960036	0.00027459584	0.00031311659	0.00013235909
concentration of enzyme	E2	0.0014013822	0.00059238534	0.0040350298	0.0017056678	0.0017565363	0.0007425143	0.00075441115	0.00031890093
concentration of enzyme	E3	0.00048010619	0.0002029481	0.00038450609	0.00016253651	0.0023871875	0.0010091	0.0018604834	0.00078645428
