!!!SBtab DocumentName='MB result' Document='MBresult' StringencyAlpha='0.100000.2' CalculationTime='13.189620 s'					
					
!!SBtab TableName='Metabolic fluxes' TableID='Flux' TableType='QuantityMatrix' Unit='mM/s'					
!QuantityType	!Reaction	state_1	state_2	state_3	state_4
rate of reaction	E1	0.00025569795	-2.5461715e-05	0.000318276	0.00029927595
rate of reaction	E2	0.0077090024	0.0070435956	0.0061190918	0.0072996495
rate of reaction	E3	0.0079647002	0.0069957806	0.0064373676	0.0075989177
					
!!SBtab TableName='Metabolite concentrations' TableID='MetaboliteConcentration' TableType='QuantityMatrix' Unit='mM'					
!QuantityType	!Compound	state_1	state_2	state_3	state_4
concentration	X1	0.64550334	1.064551	1.4188051	1.0920362
concentration	X2	0.70915813	0.92758782	0.54171897	0.44994663
concentration	X3	0.077517769	0.12343441	0.13715084	0.058609939
concentration	S4	0.80516953	2.5834915	0.72646378	0.52933247
					
!!SBtab TableName='Enzyme concentrations' TableID='EnzymeConcentration' TableType='QuantityMatrix' Unit='mM'					
!QuantityType	!Reaction	state_1	state_2	state_3	state_4
concentration of enzyme	E1	0.0017592034	0.0015837864	0.0005120882	0.00044879463
concentration of enzyme	E2	0.0014357576	0.0033281584	0.0013520916	0.0014114792
concentration of enzyme	E3	0.0009804234	0.00036759033	0.0013523226	0.001277961
					
!!SBtab TableName='Gibbs free energies of reaction' TableID='ReactionGibbsFreeEnergy' TableType='QuantityMatrix' Unit='kJ/mol'					
!QuantityType	!Reaction	state_1	state_2	state_3	state_4
Gibbs energy of reaction	E1	1.4269458	0.22296411	3.6342193	3.7700684
Gibbs energy of reaction	E2	9.2801841	7.0557286	8.8675197	9.1921478
Gibbs energy of reaction	E3	4.4130746	6.1499347	2.74365	4.0664341
