!!!SBtab Document='CMBresult' DocumentName='CMB result' RelaxationAlpha='1.000000' CalculationTime='4.048782 s'				
				
!!SBtab TableID='Reaction' TableType='Reaction' TableName='Reaction'				
!ID	!ReactionFormula	!Name	!IsReversible	
E1	X1 <=> S2	E1	True	
E2	X3 <=> S4	E2	True	
E3	S2 + S4 <=> S5	E3	True	
E4	S5 <=> X6	E4	True	
E5	S5 <=> X7	E5	True	
				
!!SBtab TableID='Compound' TableType='Compound' TableName='Compound'				
!ID	!Name	!IsConstant		
X1	X1	True		
S2	S2	False		
X3	X3	True		
S4	S4	False		
S5	S5	False		
X6	X6	True		
X7	X7	True		
				
!!SBtab TableID='Parameter' TableType='Quantity' TableName='Parameter' StandardConcentration='mM'				
!QuantityType	!Reaction	!Compound	!Mode	!Unit
equilibrium constant	E1		0.052600893	dimensionless
equilibrium constant	E2		1.7598374	dimensionless
equilibrium constant	E3		4.3739144	dimensionless
equilibrium constant	E4		0.64465148	dimensionless
equilibrium constant	E5		0.63034465	dimensionless
catalytic rate constant geometric mean	E1		266.45462	1/s
catalytic rate constant geometric mean	E2		145.66687	1/s
catalytic rate constant geometric mean	E3		513.81338	1/s
catalytic rate constant geometric mean	E4		50.766145	1/s
catalytic rate constant geometric mean	E5		724.93261	1/s
Michaelis constant	E1	X1	0.0088140816	mM
Michaelis constant	E1	S2	0.012961589	mM
Michaelis constant	E3	S2	2.6187611	mM
Michaelis constant	E2	X3	1.7360972	mM
Michaelis constant	E2	S4	0.011067772	mM
Michaelis constant	E3	S4	0.06245852	mM
Michaelis constant	E3	S5	0.35557809	mM
Michaelis constant	E4	S5	0.44568043	mM
Michaelis constant	E5	S5	0.045405703	mM
Michaelis constant	E4	X6	0.2639919	mM
Michaelis constant	E5	X7	0.015187476	mM
substrate catalytic rate constant	E1		50.394045	1/s
substrate catalytic rate constant	E2		2420.2152	1/s
substrate catalytic rate constant	E3		728.81421	1/s
substrate catalytic rate constant	E4		52.960633	1/s
substrate catalytic rate constant	E5		995.17411	1/s
product catalytic rate constant	E1		1408.8582	1/s
product catalytic rate constant	E2		8.7673351	1/s
product catalytic rate constant	E3		362.23798	1/s
product catalytic rate constant	E4		48.66259	1/s
product catalytic rate constant	E5		528.07572	1/s
				
!!SBtab TableID='ConcentrationConstraint' TableType='Quantity' TableName='Metabolite concentration constraints'				
!QuantityType	!Compound	!Min	!Max	
concentration	X1	1e-06	1000000	
concentration	S2	1e-06	1000000	
concentration	X3	1e-06	1000000	
concentration	S4	1e-06	1000000	
concentration	S5	1e-06	1000000	
concentration	X6	1e-06	1000000	
concentration	X7	1e-06	1000000	
