!!SBtab TableID='Flux' TableType='Quantity' Unit='mmol/gDW/h' Organism='Escherichia coli'								
								
!QuantityType	!Reaction	!Value	!Std	!Reaction:Identifiers:kegg.reaction	enzyme_name	ec_number	bigg_id	direction
rate of reaction	HXK_R01786	8.7	0.4	R01786	hexokinase	2.7.1.2	HEX1	1
rate of reaction	PTS_RPTSsy	8.7	0.4	RPTSsy	phosphotransferase system		GLCptspp	1
rate of reaction	PGI_R02740	7.2	0.4	R02740	glucose-6-phosphate isomerase	5.3.1.9	PGI	1
rate of reaction	PFK_R04779	7.2	0.4	R04779	6-phosphofructokinase	2.7.1.11	PFK	1
rate of reaction	ALD_R01070	7.2	0.4	R01070	fructose 1,6-bisphosphate aldolase	4.1.2.13	FBA	1
rate of reaction	TIM_R01015	7.2	0.4	R01015	triosephosphate isomerase	5.3.1.1	TPI	-1
rate of reaction	GAP_R01061	14.9	0.5	R01061	glyceraldehyde 3-phosphate dehydrogenase	1.2.1.12	GAPD	1
rate of reaction	PGK_R01512	14.9	0.5	R01512	phosphoglycerate kinase	2.7.2.3	PGK	1
rate of reaction	PGM_R01518	14.9	0.5	R01518	D-phosphoglycerate 2,3-phosphomutase	5.4.2.11	PGM	1
rate of reaction	PGH_R00658	14.9	0.5	R00658	enolase	4.2.1.11	ENO	1
rate of reaction	PYK_R00200	3.1	0.6	R00200	pyruvate kinase	2.7.1.40	PYK	1
rate of reaction	LDH_R00704	2	0.6	R00704	D-lactate dehydrogenase	1.1.1.28	LDH_D	1
rate of reaction	PDH_R00209	9.7	0.6	R00209	pyruvate dehydrogenase	1.2.4.1	PDH	1
rate of reaction	ZWF_R00835	2.37	0.1	R00835	g6p dehydrogenase	1.1.1.49	G6PDH2r	1
rate of reaction	GLH_R02035	2.37	0.1	R02035	6-phosphogluconolactonase	3.1.1.31	PGL	1
rate of reaction	PGD_R01528	2.35	0.19	R01528	6-phosphogluconate dehydrogenase	1.1.1.44	GND	1
rate of reaction	RPI_R01056	1.7	0.08	R01056	ribose 5-phosphate isomerase	5.3.1.6	RPI	1
rate of reaction	RPE_R01529	1.14	0.13	R01529	ribulose-phosphate 3-epimerase	5.1.3.1	RPE	1
rate of reaction	TXT_R01641	0.65	0.13	R01641	transketolase	2.2.1.1	TKT1	-1
rate of reaction	TAL_R08575	0.65	0.08	R08575	transaldolase	2.2.1.2	TALA	1
rate of reaction	TXT_R01067	0.49	0.08	R01067	transketolase	2.2.1.1	TKT2	-1
rate of reaction	FBP_R00762	0	0.1	R00762	fructose-1,6-bisphosphatase	3.1.3.11	FBP	1
rate of reaction	CSN_R00351	1.4	1.1	R00351	citrate synthase	2.3.3.1	CS	1
rate of reaction	ACN_R01325	1.4	1.1	R01325	aconitate hydratase	4.2.1.3	ACONTa	1
rate of reaction	ACN_R01900	1.4	1.1	R01900	aconitate hydratase	4.2.1.3	ACONTb	1
rate of reaction	ICD_R00709	1.2	0.4	R00709	isocitrate dehydrogenase (NAD+)	1.1.1.41	ICDHyr	1
rate of reaction	KGD_R08549	0.07	0.33	R08549	2-oxoglutarate dehydrogenase	1.2.4.2	AKGDH	1
rate of reaction	SCS_R00405	0.07	0.33	R00405	succinyl-CoA synthetase	6.2.1.5	SUCOAS	1
rate of reaction	SDH_R02164	0.27	1.1	R02164	succinate dehydrogenase	1.3.5.1	SUCDi	1
rate of reaction	FUM_R01082	1.1	1.1	R01082	fumarate hydratase	4.2.1.2	FUM	1
rate of reaction	MDH_R00342	1.3	0.4	R00342	malate dehydrogenase	1.1.1.37	MDH	1
rate of reaction	PPC_R00345	-1.9	0.8	R00345	phosphoenolpyruvate carboxylase	4.1.1.31	PPC	1
