!!!SBtab DocumentName='CMB result' Document='CMBresult' RelaxationAlpha='0.010000' CalculationTime='4.794314 s'					
					
!!SBtab TableName='Metabolic fluxes' TableID='MetabolicFlux' TableType='QuantityMatrix' Unit='mM/s'					
!QuantityType	!Reaction	state_1	state_2	state_3	state_4
rate of reaction	E1	0.021683845	0.017071762	0.016340393	0.01043832
rate of reaction	E2	0.023414274	0.017497022	0.013250158	0.008099953
rate of reaction	E3	0.019940219	0.012803657	0.010108752	0.0088807278
					
!!SBtab TableName='Metabolite concentrations' TableID='MetaboliteConcentration' TableType='QuantityMatrix' Unit='mM'					
!QuantityType	!Compound	state_1	state_2	state_3	state_4
concentration	X1	7.1026591	10.100046	13.759379	11.286549
concentration	S2	0.14009617	0.37031489	0.061623467	0.10613251
concentration	X3	1.0345027	3.647097	0.66413297	0.92153484
concentration	X4	0.62768645	0.63833155	0.63161905	1.4908351
					
!!SBtab TableName='Enzyme concentrations' TableID='EnzymeConcentration' TableType='QuantityMatrix' Unit='mM'					
!QuantityType	!Reaction	state_1	state_2	state_3	state_4
concentration of enzyme	E1	0.0010930401	0.0016489426	0.00053683593	0.00038925239
concentration of enzyme	E2	0.0014243228	0.0016210595	0.0015556343	0.00063643049
concentration of enzyme	E3	0.0007274074	0.00035722438	0.00046525413	0.00062988631
					
!!SBtab TableName='Gibbs free energies of reaction' TableID='ReactionGibbsFreeEnergy' TableType='QuantityMatrix' Unit='kJ/mol'					
!QuantityType	!Reaction	state_1	state_2	state_3	state_4
Gibbs energy of reaction	E1	-2.7003266	-1.1634879	-6.3754739	-4.5366961
Gibbs energy of reaction	E2	-2.7568354	-2.0429302	-1.81956	-2.3552314
Gibbs energy of reaction	E3	-3.8604082	-6.9422316	-2.7462674	-1.4293288
