!!SBtab TableID='ParameterData' TableType='Quantity'										
!QuantityType	!Compound	!Reaction	!Unit	!Median	!Mean	!Std	!Lower	!Upper	!Compound:Identifiers:kegg.compound	!Reaction:Identifiers:kegg.reaction
Michaelis constant	_S__Malate	FUM_R01082	mM	0.64666009	0.70206204	0.29677218	NaN	NaN	C00149	R01082
Michaelis constant	_S__Malate	MDH_R00342	mM	0.59870169	0.64999485	0.27476259	NaN	NaN	C00149	R00342
Michaelis constant	Acetyl_CoA	PDH_R00209	mM	0.030581258	0.033201276	0.014034679	NaN	NaN	C00024	R00209
Michaelis constant	Acetyl_CoA	CSN_R00351	mM	0.050864382	0.055222136	0.023343227	NaN	NaN	C00024	R00351
Michaelis constant	Fumarate	SDH_R02164	mM	0.10381729	0.11271173	0.047644943	NaN	NaN	C00122	R02164
Michaelis constant	Fumarate	FUM_R01082	mM	0.18043722	0.195896	0.082808182	NaN	NaN	C00122	R01082
Michaelis constant	cis_Aconitate	ACN_R01325	mM	0.016657922	0.018085073	0.007644832	NaN	NaN	C00417	R01325
Michaelis constant	cis_Aconitate	ACN_R01900	mM	0.016657922	0.018085073	0.007644832	NaN	NaN	C00417	R01900
Michaelis constant	_6_Phospho_D_gluconate	GLH_R02035	mM	0.02	0.02171348	0.0091786142	NaN	NaN	C00345	R02035
Michaelis constant	_6_Phospho_D_gluconate	PGD_R01528	mM	0.017811853	0.019337865	0.0081744064	NaN	NaN	C00345	R01528
Michaelis constant	Orthophosphate	GAP_R01061	mM	1	1.085674	0.45893071	NaN	NaN	C00009	R01061
Michaelis constant	Orthophosphate	SCS_R00405	mM	1.003992	1.090008	0.46076276	NaN	NaN	C00009	R00405
Michaelis constant	Pyruvate	PYK_R00200	mM	0.31	0.33655893	0.14226852	NaN	NaN	C00022	R00200
Michaelis constant	Pyruvate	PDH_R00209	mM	0.01	0.01085674	0.0045893071	NaN	NaN	C00022	R00209
Michaelis constant	NADPplus	ZWF_R00835	mM	0.007	0.0075997179	0.003212515	NaN	NaN	C00006	R00835
Michaelis constant	NADPplus	PGD_R01528	mM	0.016784756	0.018222773	0.00770304	NaN	NaN	C00006	R01528
Michaelis constant	NADPH	ZWF_R00835	mM	0.007	0.0075997179	0.003212515	NaN	NaN	C00005	R00835
Michaelis constant	NADPH	PGD_R01528	mM	0.00066332496	0.00072015465	0.0003044202	NaN	NaN	C00005	R01528
Michaelis constant	NADH	GAP_R01061	mM	0.059	0.064054765	0.027076912	NaN	NaN	C00004	R01061
Michaelis constant	NADH	MDH_R00342	mM	0.027138618	0.029463692	0.012454745	NaN	NaN	C00004	R00342
Michaelis constant	NADplus	GAP_R01061	mM	0.09	0.097710659	0.041303764	NaN	NaN	C00003	R01061
Michaelis constant	NADplus	PDH_R00209	mM	0.041024383	0.044539105	0.018827349	NaN	NaN	C00003	R00209
Michaelis constant	NADplus	ICD_R00709	mM	0.08	0.086853919	0.036714457	NaN	NaN	C00003	R00709
Michaelis constant	NADplus	MDH_R00342	mM	0.12812311	0.13909993	0.05879963	NaN	NaN	C00003	R00342
Michaelis constant	ATP	PFK_R04779	mM	0.12	0.13028088	0.055071685	NaN	NaN	C00002	R04779
Michaelis constant	ATP	PGK_R01512	mM	0.48	0.52112351	0.22028674	NaN	NaN	C00002	R01512
Michaelis constant	ATP	PYK_R00200	mM	0.25	0.2714185	0.11473268	NaN	NaN	C00002	R00200
Michaelis constant	ATP	SCS_R00405	mM	0.090092484	0.097811066	0.041346208	NaN	NaN	C00002	R00405
Michaelis constant	_2_Oxoglutarate	KGD_R08549	mM	4	4.3426959	1.8357228	NaN	NaN	C00026	R08549
Michaelis constant	Oxaloacetate	CSN_R00351	mM	0.033920097	0.036826167	0.015566974	NaN	NaN	C00036	R00351
Michaelis constant	Oxaloacetate	MDH_R00342	mM	0.034479991	0.037434029	0.015823927	NaN	NaN	C00036	R00342
Michaelis constant	Ubiquinone	SDH_R02164	mM	0.037084298	0.040261458	0.017019123	NaN	NaN	C00399	R02164
