!!!SBtab Document='CMBresult' DocumentName='CMB result' RelaxationAlpha='0.001000' CalculationTime='11.721714 s'				
				
!!SBtab TableID='Reaction' TableType='Reaction' TableName='Reaction'				
!ID	!ReactionFormula	!Name	!IsReversible	
E1	X1 <=> S2	E1	True	
E2	X3 <=> S4	E2	True	
E3	S2 + S4 <=> S5	E3	True	
E4	S5 <=> X6	E4	True	
E5	S5 <=> X7	E5	True	
				
!!SBtab TableID='Compound' TableType='Compound' TableName='Compound'				
!ID	!Name	!IsConstant		
X1	X1	True		
S2	S2	False		
X3	X3	True		
S4	S4	False		
S5	S5	False		
X6	X6	True		
X7	X7	True		
				
!!SBtab TableID='Parameter' TableType='Quantity' TableName='Parameter' StandardConcentration='mM'				
!QuantityType	!Reaction	!Compound	!Mode	!Unit
equilibrium constant	E1		0.085362356	dimensionless
equilibrium constant	E2		1.6734833	dimensionless
equilibrium constant	E3		3.5189483	dimensionless
equilibrium constant	E4		0.79751172	dimensionless
equilibrium constant	E5		1.0884	dimensionless
catalytic rate constant geometric mean	E1		275.67654	1/s
catalytic rate constant geometric mean	E2		105.04062	1/s
catalytic rate constant geometric mean	E3		569.66816	1/s
catalytic rate constant geometric mean	E4		53.143332	1/s
catalytic rate constant geometric mean	E5		872.23255	1/s
Michaelis constant	E1	X1	0.0090151844	mM
Michaelis constant	E1	S2	0.020298274	mM
Michaelis constant	E3	S2	2.4100287	mM
Michaelis constant	E2	X3	1.4630717	mM
Michaelis constant	E2	S4	0.0094342013	mM
Michaelis constant	E3	S4	0.038793145	mM
Michaelis constant	E3	S5	0.17712519	mM
Michaelis constant	E4	S5	0.20283756	mM
Michaelis constant	E5	S5	0.024415085	mM
Michaelis constant	E4	X6	0.12932793	mM
Michaelis constant	E5	X7	0.015946782	mM
substrate catalytic rate constant	E1		53.677311	1/s
substrate catalytic rate constant	E2		1692.1865	1/s
substrate catalytic rate constant	E3		776.38446	1/s
substrate catalytic rate constant	E4		59.435423	1/s
substrate catalytic rate constant	E5		1125.9501	1/s
product catalytic rate constant	E1		1415.8227	1/s
product catalytic rate constant	E2		6.5202818	1/s
product catalytic rate constant	E3		417.99112	1/s
product catalytic rate constant	E4		47.51735	1/s
product catalytic rate constant	E5		675.68679	1/s
				
!!SBtab TableID='ConcentrationConstraint' TableType='Quantity' TableName='Metabolite concentration constraints'				
!QuantityType	!Compound	!Min	!Max	
concentration	X1	1e-06	1000000	
concentration	S2	1e-06	1000000	
concentration	X3	1e-06	1000000	
concentration	S4	1e-06	1000000	
concentration	S5	1e-06	1000000	
concentration	X6	1e-06	1000000	
concentration	X7	1e-06	1000000	
