!!!SBtab									
									
!!SBtab TableName='Metabolic fluxes' TableID='FluxData' TableType='QuantityMatrix' Unit='mM/s'									
!QuantityType	!Reaction	S1_Mean	S1_Std	S2_Mean	S2_Std	S3_Mean	S3_Std	S4_Mean	S4_Std
rate of reaction	PTS_RPTSsy	-0.00062087198	0.012182779	-0.0011198689	0.012282579	-0.0022037453	0.012499354	-0.00024752416	0.01210811
rate of reaction	PGI_R02740	0.084950269	0.029048659	0.20119786	0.052298177	0.17701251	0.047461106	0.13767467	0.03959354
rate of reaction	PFK_R04779	-0.00046572886	0.012151751	-0.00045932471	0.01215047	-3.5667498e-05	0.012065738	-0.00018978683	0.012096562
rate of reaction	ALD_R01070	-0.012291876	0.01451698	-0.0054829808	0.013155201	-0.0067685035	0.013412306	-0.0021169129	0.012481988
rate of reaction	TIM_R01015	-0.012291876	0.01451698	-0.0054829808	0.013155201	-0.0067685035	0.013412306	-0.0021169129	0.012481988
rate of reaction	GAP_R01061	-3.0063511e-06	0.012059206	-5.668636e-06	0.012059739	-1.4066715e-05	0.012061418	-7.1779785e-06	0.012060041
rate of reaction	PGK_R01512	-3.006338e-06	0.012059206	-5.6686355e-06	0.012059739	-1.4066715e-05	0.012061418	-7.1783921e-06	0.012060041
rate of reaction	PGM_R01518	-3.0063363e-06	0.012059206	-5.6686373e-06	0.012059739	-1.4066715e-05	0.012061418	-7.178501e-06	0.012060041
rate of reaction	PGH_R00658	-3.0063362e-06	0.012059206	-5.6686375e-06	0.012059739	-1.4066715e-05	0.012061418	-7.1785023e-06	0.012060041
rate of reaction	PYK_R00200	0.00062093071	0.012182791	0.0011197834	0.012282562	0.002203967	0.012499398	0.00024795895	0.012108197
rate of reaction	PDH_R00209	6.3847245e-08	0.012058618	-8.404791e-08	0.012058622	2.2171966e-07	0.012058649	4.4118068e-07	0.012058693
rate of reaction	ZWF_R00835	0.0017443008	0.012407465	0.0013038683	0.012319379	0.0010634684	0.012271299	0.0012394958	0.012306504
rate of reaction	GLH_R02035	0.0017446288	0.012407531	0.0013040544	0.012319416	0.0010634688	0.012271299	0.0012395158	0.012306508
rate of reaction	PGD_R01528	0.0017489088	0.012408387	0.0013066995	0.012319945	0.0010634747	0.0122713	0.0012397681	0.012306559
rate of reaction	RPI_R01056	0.00083516991	0.012225639	0.00054901018	0.012168407	0.00035465379	0.012129536	0.00040326433	0.012139258
rate of reaction	RPE_R01529	0.0009402957	0.012246664	0.00077714587	0.012214034	0.00070883358	0.012200372	0.00083774354	0.012226154
rate of reaction	TXT_R01641	0.00082108283	0.012222822	0.00054973369	0.012168552	0.00035465779	0.012129536	0.00040746583	0.012140098
rate of reaction	TAL_R08575	0.00082381476	0.012223368	0.00055764409	0.012170134	0.00035466477	0.012129538	0.00041098388	0.012140802
rate of reaction	TXT_R01067	0.00012578799	0.012083763	0.00023216399	0.012105038	0.0003541789	0.012129441	0.00043055916	0.012144717
rate of reaction	FBP_R00762	0.80379052	0.17281671	1.2058605	0.2532307	0.33838963	0.079736531	0.44865929	0.10179046
rate of reaction	CSN_R00351	8.6121898e-06	0.012060327	1.8652451e-05	0.012062335	2.5598489e-07	0.012058656	2.4897827e-05	0.012063585
rate of reaction	ACN_R01325	1.1787497e-05	0.012060962	2.5042297e-05	0.012063613	2.7352147e-07	0.01205866	3.1728892e-05	0.012064951
