ATP1ter	0124#2
IDPh	R00004
ALPHNH	R00005
ACLSm	R00006
CAT	R00009
AATHB	R00010
GLXCBL	R00013
PDHam1hi	R00014
HSPMS	R00018
HYDA	R00019
GLMS_syn	R00021
RBPC	R00024
MALT	R00028
BCDO	R00032
PPBNGS	R00036
AHXDH	R00059
RBFSb	R00066
ASCBOR	R00068
FERO	R00078
CYOOm	R00081
HMBS	R00084
ATPH1	R00085
ATPM	R00086
NTPP6	R00087
ATPHs	R00088
ADECn	R00089
NADHPO	R00090
GLUS	R00093
GDR	R00094
NADN	R00102
NADDP	R00103
NADK	R00104
NADHKm	R00105
NADTRHD	R00112
GLUS_nadph	R00114
GDR_nadp_h	R00115
NADPPPS	R00118
ATPH2e	R00122
AP4AH	R00125
ADATT	R00126
ADK1	R00127
DPCOAK	R00130
UREA	R00131
H2CO3Dm	R00132
ANNAT	R00137
PPA2	R00138
HAMR	R00143
CPS	R00149
CBMKr	R00150
NDP7	R00155
NDPK2	R00156
UMPK	R00158
NDP8ex	R00159
FADDP	R00160
AFAT	R00161
PYDXPP	R00173
PYDXK	R00174
MATm	R00177
ADMDC	R00178
ACPCS	R00179
AMPDA	R00181
NTD7	R00183
AP4AH1	R00184
ADNK1	R00185
BTP	R00187
BPNT	R00188
NADS1	R00189
ADPT	R00190
APNn	R00191
ADSHm	R00192
AHCYSNS	R00194
DAPAL	R00195
EX_etoh_e	R00197
PPS	R00199
PYK	R00200
ALR	R00205
PPDK	R00206
PGAM1_PhosHydro	R00208
PDH	R00209
PFL	R00212
ME1	R00214
MALDDH	R00215
MDHC_nadp_hr	R00216
OAADC	R00217
SERD_L	R00220
SERD_D	R00221
PYRDC	R00224
ACLS	R00226
ACOAH	R00227
ACALD	R00228
PTAr	R00230
MCD	R00233
ACS	R00235
r0068	R00236
ACACT1m	R00238
GLU5K	R00239
GDH	R00243
PUTA3	R00245
GDH_nadp	R00248
OPAH	R00251
GALh	R00253
GAM	R00256
DNGALh	R00257
ALATA_L	R00258
ACGS	R00259
GLUR	R00260
ARGDh	R00261
ICDHhr	R00267
r0082	R00268
r0085	R00269
HYNE	R00270
HCITS	R00271
OXGDC	R00272
GTHPe	R00274
SPODM	R00275
PYAM5PO	R00277
PDX5POi	R00278
UDPGD	R00286
UDPGP	R00287
GALUi	R00289
UDPG4E	R00291
HEX1	R00299
G6PP	R00303
G1PP	R00304
BGLA	R00306
XYLI2	R00307
FCLT	R00310
ACKr	R00315
r0097	R00316
ACYP_2	R00317
LO	R00319
AMID4	R00321
NDP3	R00328
ATGDm	R00330
GK1	R00332
NTP3	R00335
PPGPPDP	R00336
TARTD	R00339
DTARTD	R00340
PPCK	R00341
MDH	R00342
MDH_nadp_fi	R00343
PC	R00344
PPC	R00345
CS	R00351
ACITL	R00352
ASPATh	R00355
ASPO1	R00357
DASPO1p	R00359
MOX	R00360
CITL	R00362
GLYO1	R00366
GNMT	R00367
AGTi	R00369
GLYAT	R00371
GLYTA	R00372
DNAMTn	R00380
KATp	R00391
ALAD_L	R00396
ASP4DC	R00397
ASPTA6	R00400
ALAR	R00401
SUCLm	R00405
SUCCOAPET	R00407
FRD	R00408
MCITL2	R00409
OCOAT1	R00410
SGDS	R00411
UAG2EMA	R00414
UAG4Ei	R00418
UAG2E	R00420
GTPCI	R00424
GTPCII2	R00425
NTPP2	R00426
r0120	R00428
GTPDPK	R00429
GTPOPm	R00430
PEPCK_re	R00431
SUCOAS1m	R00432
GUAC	R00434
LYSOXp	R00447
LYSMO	R00449
DAPDC	R00451
LYSRC	R00460
LYSAM	R00461
LYSDC	R00462
GLYCLTDy	R00465
GLXO2p	R00466
UGLYCH	R00469
DDPGA	R00470
MALS	R00472
GLYCTO1	R00475
ICL	R00479
ASPK	R00480
ASPO6	R00481
ASNS2	R00483
ASNN	R00485
ASP1DC	R00489
ASPT	R00490
ASPR	R00491
GGTAe2	R00494
GTHS	R00497
UDPGALOR	R00501
GALT	R00502
UGALGTg	R00503
UDPGALM	R00505
PAPSSH	R00507
BPNT2	R00508
AASPh	R00509
NTD4	R00511
CYTK1	R00512
CYTDK1	R00513
CDPPH	R00514
NTPP4	R00515
UTCY	R00516
CYTDK2	R00517
FDH	R00519
FCOAH	R00521
OXADC	R00522
FORA	R00524
NFORGLUAH	R00525
SFGTHi	R00527
SADT	R00529
SLFAT	R00530
