!!SBtab Document='e_coli_noor_2016_glucose' TableName='Parameter' TableType='Quantity' SBtabVersion='1.0' Date='2019-06-10'						
!QuantityType	!Reaction	!Compound	!Value	!Unit	!Reaction:Identifiers:kegg.reaction	!Compound:Identifiers:kegg.compound
equilibrium constant	PTS_RPTSsy		0.022320648	dimensionless	RPTSsy	
equilibrium constant	PGI_R02740		0.54116525	dimensionless	R02740	
equilibrium constant	PFK_R04779		1.6179722	dimensionless	R04779	
equilibrium constant	ALD_R01070		0.27372805	dimensionless	R01070	
equilibrium constant	TIM_R01015		4.2831167	dimensionless	R01015	
equilibrium constant	GAP_R01061		0.52380293	dimensionless	R01061	
equilibrium constant	PGK_R01512		11.288757	dimensionless	R01512	
equilibrium constant	PGM_R01518		1.0824469	dimensionless	R01518	
equilibrium constant	PGH_R00658		0.45826254	dimensionless	R00658	
equilibrium constant	PYK_R00200		1.1257112	dimensionless	R00200	
equilibrium constant	PDH_R00209		267.59168	dimensionless	R00209	
equilibrium constant	ZWF_R00835		6.2108994	dimensionless	R00835	
equilibrium constant	GLH_R02035		5.6285704	dimensionless	R02035	
equilibrium constant	PGD_R01528		10.282591	dimensionless	R01528	
equilibrium constant	RPI_R01056		1.3825552	dimensionless	R01056	
equilibrium constant	RPE_R01529		1.0259429	dimensionless	R01529	
equilibrium constant	TXT_R01641		2.3558407	dimensionless	R01641	
equilibrium constant	TAL_R08575		0.13313316	dimensionless	R08575	
equilibrium constant	TXT_R01067		7.3515145	dimensionless	R01067	
equilibrium constant	FBP_R00762		1.454115	dimensionless	R00762	
equilibrium constant	CSN_R00351		4.3268465	dimensionless	R00351	
equilibrium constant	ACN_R01325		0.0021001069	dimensionless	R01325	
equilibrium constant	ACN_R01900		0.81588817	dimensionless	R01900	
equilibrium constant	ICD_R00709		1.6769736	dimensionless	R00709	
equilibrium constant	KGD_R08549		0.11977947	dimensionless	R08549	
equilibrium constant	SCS_R00405		13.905192	dimensionless	R00405	
equilibrium constant	SDH_R02164		0.72354911	dimensionless	R02164	
equilibrium constant	FUM_R01082		14.179917	dimensionless	R01082	
equilibrium constant	MDH_R00342		0.022268795	dimensionless	R00342	
equilibrium constant	PPC_R00345		0.14490652	dimensionless	R00345	
catalytic rate constant geometric mean	PTS_RPTSsy		1465.8427	1/s	RPTSsy	
catalytic rate constant geometric mean	PGI_R02740		810.06962	1/s	R02740	
catalytic rate constant geometric mean	PFK_R04779		2192.3733	1/s	R04779	
catalytic rate constant geometric mean	ALD_R01070		617.09209	1/s	R01070	
catalytic rate constant geometric mean	TIM_R01015		8360.0873	1/s	R01015	
catalytic rate constant geometric mean	GAP_R01061		276.35336	1/s	R01061	
catalytic rate constant geometric mean	PGK_R01512		484.76286	1/s	R01512	
