,,,,,catabolic limitation,,,,,,,,,anabolic limitation,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,strain,NCM3722,NCM3722,NQ1243,NQ1243,NQ1243,NQ1390,NQ1390,NQ1390,,NCM3722,NCM3722,NQ393,NQ393,NQ393,NQ393,NQ393,NQ393
MEAN,,,,effector concentration [microM],0,400,400,100,0,400,100,40,,0,100,100,50,40,30,20,10
,Reaction Name,Reaction,Comments,Unit,,,,,,,,,,,,,,,,,
,Growth rate,,calculated based on exchange fluxes and flux ratios under constraints of measured growth rate and fluxes/ratios,[h-1],0.95,0.93,0.90,0.75,0.64,0.53,0.45,0.42,,0.93,0.90,0.89,0.60,0.50,0.44,0.32,0.23
,Glucose uptake,glucose + PEP -> G6P + PYR,uptake through PTS,mmol/h/gCDW,13.66,12.95,11.72,9.50,7.07,5.98,4.90,4.42,,12.86,11.82,12.48,8.97,7.72,7.31,6.57,5.52
,Zwf,G6P -> 6PG,ZWF + PGL,mmol/h/gCDW,3.22,2.58,2.66,1.99,1.79,1.45,1.46,1.47,,3.35,3.05,2.06,1.00,0.85,1.06,0.72,0.80
,Gnd,6PG -> P5P,,mmol/h/gCDW,2.72,2.39,2.29,1.86,1.64,1.33,1.37,1.21,,2.44,2.23,1.88,0.83,0.75,0.62,0.63,0.57
,Pgi,G6P -> F6P,,mmol/h/gCDW,10.39,10.32,9.00,7.47,5.24,4.50,3.41,2.93,,9.47,8.72,10.37,7.93,6.84,6.22,5.84,4.71
,ED pathway,6PG -> PYR + GAP,,mmol/h/gCDW,0.50,0.19,0.38,0.13,0.15,0.12,0.10,0.25,,0.91,0.82,0.18,0.17,0.11,0.44,0.09,0.23
,Pfk/FBA,F6P -> 2 GAP,PFK + FBA + TPI,mmol/h/gCDW,11.65,11.37,10.00,8.28,5.97,5.09,4.07,3.50,,10.54,9.68,11.11,8.14,7.05,6.38,6.08,4.97
,tktA,2 P5P -> GAP + S7P,,mmol/h/gCDW,0.85,0.74,0.71,0.58,0.52,0.43,0.44,0.39,,0.75,0.69,0.57,0.25,0.23,0.19,0.20,0.19
,tktB,E4P + P5P -> F6P + GAP,,mmol/h/gCDW,0.48,0.38,0.36,0.28,0.25,0.20,0.25,0.21,,0.39,0.34,0.22,0.00,0.02,0.00,0.06,0.08
,Transaldolase,GAP + S7P -> E4P + F6P,,mmol/h/gCDW,0.85,0.74,0.71,0.58,0.52,0.43,0.44,0.39,,0.75,0.69,0.57,0.25,0.23,0.19,0.20,0.19
,GAPDH/Pgk,GAP ->  3PG,GAPDH + PGK,mmol/h/gCDW,24.15,23.19,20.63,16.87,12.27,10.43,8.44,7.42,,22.27,20.40,22.51,16.39,14.18,13.16,12.27,10.22
,PGA to PEP,3PG -> PEP,PGM + ENO,mmol/h/gCDW,22.74,21.81,19.29,15.75,11.30,9.62,7.74,6.77,,20.88,19.06,21.17,15.47,13.41,12.48,11.77,9.86
,PEP to PYR,PEP -> PYR,PTS flux + PYK flux,mmol/h/gCDW,19.13,18.30,15.87,12.78,8.69,7.39,5.82,4.96,,17.30,15.60,17.70,12.61,10.65,9.60,8.98,7.31
